County	2020 Total Population	2020 LCDC Total	Ratio of 2020 Population to LCDC	Ratio of LCDCs to 100,000 Population	Rank
Leon	17,707	2	8,853.5	11.3	132
Liberty	85,284	11	7,753.1	12.9	120
Limestone	23,544	3	7,848.0	12.7	121
Lipscomb	3,651	0	-	0.0	-
Live Oak	12,030	1	12,030.0	8.3	151
Llano	19,452	3	6,484.0	15.4	99
Loving	92	0	-	0.0	-
Lubbock	317,210	108	2,937.1	34.0	25
Lynn	5,588	1	5,588.0	17.9	86
Madison	14,527	1	14,527.0	6.9	160
Marion	10,294	1	10,294.0	9.7	148
Martin	6,044	0	-	0.0	-
Mason	3,899	1	3,899.0	25.6	53
Matagorda	37,064	4	9,266.0	10.8	136
Maverick	59,938	3	19,979.3	5.0	165
McCulloch	8,660	2	4,330.0	23.1	59
McLennan	253,066	63	4,016.9	24.9	55
McMullen	783	0	-	0.0	-
Medina	50,594	14	3,613.9	27.7	46
Menard	2,188	0	-	0.0	-
Midland	187,364	49	3,823.8	26.2	50
Milam	24,635	2	12,317.5	8.1	152
Mills	4,870	1	4,870.0	20.5	69
Mitchell	9,865	1	9,865.0	10.1	143
Montague	19,199	1	19,199.0	5.2	164
Montgomery	613,951	84	7,308.9	13.7	114
Moore	21,575	1	21,575.0	4.6	168
Morris	12,448	0	-	0.0	-
Motley	1,172	0	-	0.0	-
Nacogdoches	64,106	10	6,410.6	15.6	97
Navarro	47,985	5	9,597.0	10.4	140
Newton	13,724	1	13,724.0	7.3	157
Nolan	15,642	5	3,128.4	32.0	32
Nueces	383,718	129	2,974.6	33.6	28
Ochiltree	11,309	0	-	0.0	-
Oldham	2,200	0	-	0.0	-
Orange	86,155	12	7,179.6	13.9	112
Palo Pinto	27,859	4	6,964.8	14.4	107
Panola	24,576	1	24,576.0	4.1	173
Parker	135,621	25	5,424.8	18.4	80
Parmer	9,200	0	-	0.0	-
Pecos	16,533	3	5,511.0	18.1	82
Polk	49,080	5	9,816.0	10.2	142
Potter	122,706	32	3,834.6	26.1	51
Presidio	5,906	0	-	0.0	-
Rains	11,378	0	-	0.0	-
Randall	138,104	21	6,576.4	15.2	101
