County	2020 Total Population	2020 LPC Total	Ratio of 2020 Population to LPC	Ratio of LPCs to 100,000 Population	Rank
Lampasas	21,037	15	1,402.5	71.3	47
Lavaca	20,735	6	3,455.8	28.9	167
Lee	17,595	11	1,599.5	62.5	67
Leon	17,707	2	8,853.5	11.3	207
Liberty	85,284	20	4,264.2	23.5	181
Limestone	23,544	10	2,354.4	42.5	128
Lipscomb	3,651	2	1,825.5	54.8	83
Live Oak	12,030	6	2,005.0	49.9	106
Llano	19,452	4	4,863.0	20.6	185
Loving	92	0	-	0.0	-
Lubbock	317,210	379	837.0	119.5	11
Lynn	5,588	5	1,117.6	89.5	32
Madison	14,527	2	7,263.5	13.8	201
Marion	10,294	4	2,573.5	38.9	137
Martin	6,044	0	-	0.0	-
Mason	3,899	2	1,949.5	51.3	99
Matagorda	37,064	11	3,369.5	29.7	163
Maverick	59,938	12	4,994.8	20.0	188
McCulloch	8,660	7	1,237.1	80.8	39
McLennan	253,066	220	1,150.3	86.9	33
McMullen	783	1	783.0	127.7	9
Medina	50,594	24	2,108.1	47.4	114
Menard	2,188	1	2,188.0	45.7	118
Midland	187,364	129	1,452.4	68.8	50
Milam	24,635	8	3,079.4	32.5	154
Mills	4,870	7	695.7	143.7	2
Mitchell	9,865	1	9,865.0	10.1	209
Montague	19,199	6	3,199.8	31.3	156
Montgomery	613,951	429	1,431.1	69.9	49
Moore	21,575	3	7,191.7	13.9	200
Morris	12,448	5	2,489.6	40.2	130
Motley	1,172	0	-	0.0	-
Nacogdoches	64,106	76	843.5	118.6	12
Navarro	47,985	30	1,599.5	62.5	66
Newton	13,724	1	13,724.0	7.3	211
Nolan	15,642	8	1,955.3	51.1	100
Nueces	383,718	363	1,057.1	94.6	25
Ochiltree	11,309	3	3,769.7	26.5	171
Oldham	2,200	6	366.7	272.7	1
Orange	86,155	22	3,916.1	25.5	172
Palo Pinto	27,859	4	6,964.8	14.4	199
Panola	24,576	5	4,915.2	20.3	186
Parker	135,621	91	1,490.3	67.1	54
Parmer	9,200	0	-	0.0	-
Pecos	16,533	1	16,533.0	6.0	215
Polk	49,080	22	2,230.9	44.8	121
Potter	122,706	139	882.8	113.3	13
Presidio	5,906	3	1,968.7	50.8	103
Rains	11,378	2	5,689.0	17.6	192
Randall	138,104	137	1,008.1	99.2	23
Reagan	4,226	0	-	0.0	-
Real	3,407	0	-	0.0	-
Red River	12,610	5	2,522.0	39.7	133
Reeves	15,707	1	15,707.0	6.4	214
Refugio	7,573	3	2,524.3	39.6	134
Roberts	983	0	-	0.0	-
Robertson	16,888	5	3,377.6	29.6	164
Rockwall	102,243	102	1,002.4	99.8	22
Runnels	11,009	2	5,504.5	18.2	191
Rusk	52,767	21	2,512.7	39.8	131
Sabine	9,936	2	4,968.0	20.1	187
San Augustine	8,405	1	8,405.0	11.9	205
San Jacinto	28,844	2	14,422.0	6.9	213
San Patricio	71,325	22	3,242.0	30.8	159
San Saba	5,873	3	1,957.7	51.1	102
Schleicher	3,312	1	3,312.0	30.2	161
Scurry	18,368	3	6,122.7	16.3	196
Shackelford	3,405	2	1,702.5	58.7	76
Shelby	25,545	18	1,419.2	70.5	48
Sherman	3,276	0	-	0.0	-
Smith	235,143	212	1,109.2	90.2	31
Somervell	9,294	5	1,858.8	53.8	87
Starr	64,731	19	3,406.9	29.4	166
Stephens	9,570	5	1,914.0	52.2	92
Sterling	1,252	0	-	0.0	-
Stonewall	1,523	0	-	0.0	-
Sutton	4,381	0	-	0.0	-
Swisher	7,414	1	7,414.0	13.5	203
Tarrant	2,143,755	1,826	1,174.0	85.2	35
Taylor	139,457	200	697.3	143.4	3
Terrell	1,054	0	-	0.0	-
Terry	13,040	0	-	0.0	-
Throckmorton	1,519	1	1,519.0	65.8	58
Titus	32,953	25	1,318.1	75.9	44
Tom Green	123,276	125	986.2	101.4	20
Travis	1,291,502	1,698	760.6	131.5	6
Trinity	14,233	3	4,744.3	21.1	184
Tyler	21,343	6	3,557.2	28.1	169
Upshur	41,655	16	2,603.4	38.4	138
Upton	3,983	0	-	0.0	-
Uvalde	27,937	15	1,862.5	53.7	89
Val Verde	48,253	8	6,031.6	16.6	194
Van Zandt	55,469	22	2,521.3	39.7	132
Victoria	97,744	82	1,192.0	83.9	37
Walker	73,997	79	936.7	106.8	17
Waller	50,731	19	2,670.1	37.5	142
Ward	13,592	1	13,592.0	7.4	210
Washington	35,155	16	2,197.2	45.5	119
Webb	276,183	125	2,209.5	45.3	120
Wharton	41,941	25	1,677.6	59.6	74
Wheeler	5,783	2	2,891.5	34.6	148
Wichita	133,138	149	893.5	111.9	14
