County	2020 Total Population	2020 LBSW Total	Ratio of 2020 Population to LBSW	Ratio of LBSWs to 100,000 Population	Rank
Goliad	7,717	0	-	0.0	-
Gonzales	21,347	1	21,347.0	4.7	191
Gray	24,252	6	4,042.0	24.7	58
Grayson	131,710	23	5,726.5	17.5	95
Gregg	125,730	32	3,929.1	25.5	55
Grimes	28,930	2	14,465.0	6.9	183
Guadalupe	170,266	19	8,961.4	11.2	146
Hale	33,202	7	4,743.1	21.1	78
Hall	3,305	0	-	0.0	-
Hamilton	8,220	2	4,110.0	24.3	59
Hansford	5,820	0	-	0.0	-
Hardeman	3,870	2	1,935.0	51.7	14
Hardin	56,486	18	3,138.1	31.9	39
Harris	4,978,845	335	14,862.2	6.7	185
Harrison	68,247	9	7,583.0	13.2	128
Hartley	6,067	0	-	0.0	-
Haskell	6,197	2	3,098.5	32.3	38
Hays	234,896	27	8,699.9	11.5	143
Hemphill	4,644	1	4,644.0	21.5	77
Henderson	81,179	18	4,509.9	22.2	75
Hidalgo	870,366	235	3,703.7	27.0	52
Hill	35,673	3	11,891.0	8.4	171
Hockley	24,636	4	6,159.0	16.2	101
Hood	58,643	17	3,449.6	29.0	49
Hopkins	37,040	17	2,178.8	45.9	23
Houston	22,620	4	5,655.0	17.7	93
Howard	41,236	12	3,436.3	29.1	48
Hudspeth	3,400	0	-	0.0	-
Hunt	95,324	13	7,332.6	13.6	123
Hutchinson	21,461	4	5,365.3	18.6	90
Irion	1,508	0	-	0.0	-
Jack	8,841	2	4,420.5	22.6	70
Jackson	15,899	0	-	0.0	-
Jasper	35,525	9	3,947.2	25.3	57
Jeff Davis	2,113	0	-	0.0	-
Jefferson	258,678	88	2,939.5	34.0	36
Jim Hogg	5,077	1	5,077.0	19.7	83
Jim Wells	42,890	13	3,299.2	30.3	44
Johnson	171,701	22	7,804.6	12.8	129
Jones	19,735	3	6,578.3	15.2	106
Karnes	15,393	1	15,393.0	6.5	186
Kaufman	125,134	19	6,586.0	15.2	107
Kendall	46,278	5	9,255.6	10.8	151
Kenedy	476	0	-	0.0	-
Kent	795	1	795.0	125.8	3
Kerr	52,267	5	10,453.4	9.6	160
Kimble	4,344	0	-	0.0	-
King	309	0	-	0.0	-
Kinney	3,462	0	-	0.0	-
Kleberg	30,987	8	3,873.4	25.8	54
Knox	3,937	1	3,937.0	25.4	56
La Salle	8,309	0	-	0.0	-
Lamar	50,014	19	2,632.3	38.0	29
Lamb	12,776	3	4,258.7	23.5	67
Lampasas	21,037	1	21,037.0	4.8	190
Lavaca	20,735	4	5,183.8	19.3	85
Lee	17,595	2	8,797.5	11.4	144
Leon	17,707	3	5,902.3	16.9	100
Liberty	85,284	3	28,428.0	3.5	198
Limestone	23,544	8	2,943.0	34.0	37
Lipscomb	3,651	0	-	0.0	-
Live Oak	12,030	1	12,030.0	8.3	172
Llano	19,452	2	9,726.0	10.3	155
Loving	92	0	-	0.0	-
Lubbock	317,210	160	1,982.6	50.4	17
Lynn	5,588	0	-	0.0	-
Madison	14,527	3	4,842.3	20.7	80
Marion	10,294	3	3,431.3	29.1	47
Martin	6,044	0	-	0.0	-
Mason	3,899	0	-	0.0	-
Matagorda	37,064	4	9,266.0	10.8	152
Maverick	59,938	9	6,659.8	15.0	110
McCulloch	8,660	1	8,660.0	11.5	142
McLennan	253,066	80	3,163.3	31.6	40
McMullen	783	0	-	0.0	-
Medina	50,594	4	12,648.5	7.9	176
Menard	2,188	0	-	0.0	-
Midland	187,364	36	5,204.6	19.2	86
Milam	24,635	2	12,317.5	8.1	175
Mills	4,870	3	1,623.3	61.6	11
Mitchell	9,865	1	9,865.0	10.1	156
Montague	19,199	5	3,839.8	26.0	53
Montgomery	613,951	34	18,057.4	5.5	188
Moore	21,575	3	7,191.7	13.9	121
Morris	12,448	3	4,149.3	24.1	61
Motley	1,172	0	-	0.0	-
Nacogdoches	64,106	29	2,210.6	45.2	25
Navarro	47,985	11	4,362.3	22.9	69
Newton	13,724	1	13,724.0	7.3	182
Nolan	15,642	3	5,214.0	19.2	88
Nueces	383,718	86	4,461.8	22.4	73
Ochiltree	11,309	1	11,309.0	8.8	166
Oldham	2,200	1	2,200.0	45.5	24
Orange	86,155	11	7,832.3	12.8	130
Palo Pinto	27,859	3	9,286.3	10.8	153
Panola	24,576	3	8,192.0	12.2	133
Parker	135,621	18	7,534.5	13.3	126
Parmer	9,200	1	9,200.0	10.9	149
Pecos	16,533	2	8,266.5	12.1	135
Polk	49,080	7	7,011.4	14.3	118
Potter	122,706	63	1,947.7	51.3	15
Presidio	5,906	0	-	0.0	-
Rains	11,378	2	5,689.0	17.6	94
Randall	138,104	51	2,707.9	36.9	31
Reagan	4,226	0	-	0.0	-
Real	3,407	1	3,407.0	29.4	46
Red River	12,610	6	2,101.7	47.6	20
Reeves	15,707	1	15,707.0	6.4	187
Refugio	7,573	0	-	0.0	-
Roberts	983	1	983.0	101.7	4
Robertson	16,888	4	4,222.0	23.7	63
Rockwall	102,243	12	8,520.3	11.7	140
Runnels	11,009	2	5,504.5	18.2	91
Rusk	52,767	8	6,595.9	15.2	108
Sabine	9,936	1	9,936.0	10.1	157
San Augustine	8,405	1	8,405.0	11.9	137
San Jacinto	28,844	1	28,844.0	3.5	199
San Patricio	71,325	7	10,189.3	9.8	159
San Saba	5,873	1	5,873.0	17.0	99
Schleicher	3,312	0	-	0.0	-
Scurry	18,368	2	9,184.0	10.9	148
Shackelford	3,405	0	-	0.0	-
Shelby	25,545	6	4,257.5	23.5	66
Sherman	3,276	1	3,276.0	30.5	42
Smith	235,143	86	2,734.2	36.6	32
Somervell	9,294	4	2,323.5	43.0	27
Starr	64,731	10	6,473.1	15.4	105
Stephens	9,570	2	4,785.0	20.9	79
Sterling	1,252	0	-	0.0	-
Stonewall	1,523	1	1,523.0	65.7	9
Sutton	4,381	0	-	0.0	-
Swisher	7,414	1	7,414.0	13.5	125
Tarrant	2,143,755	415	5,165.7	19.4	84
Taylor	139,457	68	2,050.8	48.8	18
Terrell	1,054	0	-	0.0	-
Terry	13,040	1	13,040.0	7.7	178
Throckmorton	1,519	0	-	0.0	-
Titus	32,953	10	3,295.3	30.3	43
Tom Green	123,276	42	2,935.1	34.1	35
Travis	1,291,502	176	7,338.1	13.6	124
Trinity	14,233	0	-	0.0	-
Tyler	21,343	4	5,335.8	18.7	89
Upshur	41,655	8	5,206.9	19.2	87
Upton	3,983	0	-	0.0	-
Uvalde	27,937	3	9,312.3	10.7	154
Val Verde	48,253	2	24,126.5	4.1	196
Van Zandt	55,469	9	6,163.2	16.2	102
Victoria	97,744	14	6,981.7	14.3	116
Walker	73,997	12	6,166.4	16.2	103
Waller	50,731	4	12,682.8	7.9	177
Ward	13,592	1	13,592.0	7.4	181
Washington	35,155	6	5,859.2	17.1	98
Webb	276,183	35	7,890.9	12.7	131
Wharton	41,941	6	6,990.2	14.3	117
Wheeler	5,783	1	5,783.0	17.3	96
Wichita	133,138	117	1,137.9	87.9	5
Wilbarger	13,038	17	766.9	130.4	2
Willacy	22,134	5	4,426.8	22.6	71
Williamson	589,914	56	10,534.2	9.5	161
Wilson	51,802	6	8,633.7	11.6	141
Winkler	9,295	0	-	0.0	-
Wise	65,807	8	8,225.9	12.2	134
Wood	45,292	11	4,117.5	24.3	60
Yoakum	9,225	0	-	0.0	-
Young	18,712	9	2,079.1	48.1	19
Zapata	14,409	0	-	0.0	-
Zavala	12,682	3	4,227.3	23.7	64
Texas Total	29,677,668	4,339	6,839.7	14.6	- 
