".Hunt County, Texas","99,956","100,231","103,394"
".Hutchinson County, Texas","20,617","20,539","20,495"
".Irion County, Texas","1,513","1,522","1,552"
".Jack County, Texas","8,472","8,492","8,712"
".Jackson County, Texas","14,988","15,000","15,121"
".Jasper County, Texas","32,980","32,900","32,975"
".Jeff Davis County, Texas","1,996","1,978","1,949"
".Jefferson County, Texas","256,526","255,979","253,704"
".Jim Hogg County, Texas","4,838","4,839","4,801"
".Jim Wells County, Texas","38,891","38,813","38,847"
".Johnson County, Texas","179,927","180,733","187,280"
".Jones County, Texas","19,663","19,676","19,873"
".Karnes County, Texas","14,710","14,721","14,754"
".Kaufman County, Texas","145,310","146,986","157,768"
".Kendall County, Texas","44,279","44,527","46,788"
".Kenedy County, Texas",350,346,340
".Kent County, Texas",753,759,749
".Kerr County, Texas","52,598","52,676","53,161"
".Kimble County, Texas","4,286","4,289","4,365"
".King County, Texas",265,270,258
".Kinney County, Texas","3,129","3,127","3,130"
".Kleberg County, Texas","31,040","30,958","30,635"
".Knox County, Texas","3,353","3,361","3,351"
".Lamar County, Texas","50,088","50,077","50,098"
".Lamb County, Texas","13,045","12,984","12,898"
".Lampasas County, Texas","21,627","21,707","22,252"
".La Salle County, Texas","6,664","6,642","6,670"
".Lavaca County, Texas","20,337","20,338","20,544"
".Lee County, Texas","17,478","17,499","17,706"
".Leon County, Texas","15,719","15,727","15,959"
".Liberty County, Texas","91,628","92,351","97,621"
".Limestone County, Texas","22,146","22,103","22,119"
".Lipscomb County, Texas","3,059","3,042","2,931"
".Live Oak County, Texas","11,335","11,343","11,377"
".Llano County, Texas","21,243","21,249","21,978"
".Loving County, Texas",64,67,57
".Lubbock County, Texas","310,639","311,419","314,451"
".Lynn County, Texas","5,596","5,606","5,688"
".McCulloch County, Texas","7,630","7,567","7,533"
".McLennan County, Texas","260,579","261,023","263,115"
".McMullen County, Texas",600,599,608
".Madison County, Texas","13,455","13,445","13,718"
".Marion County, Texas","9,725","9,752","9,645"
".Martin County, Texas","5,237","5,250","5,211"
".Mason County, Texas","3,953","3,964","3,943"
".Matagorda County, Texas","36,255","36,269","36,344"
".Maverick County, Texas","57,887","57,844","58,056"
".Medina County, Texas","50,748","50,920","51,981"
".Menard County, Texas","1,962","1,971","1,982"
".Midland County, Texas","169,983","170,221","167,969"
