"Fiscal.Year","County","CPS_confirmed_victim","CPS_unconfirmed_victim","CPS_family_preservation_removals","CPS_investigation_removals","Children.in.DFPS.Responsibility","Adult_disabled_18_64_pop","Adult_disabled_18_64_perc","Adult_65_over_pop","Adult_65_over_perc","APS_total_county_pop","APS_clients","APS_service_stages","APS_alleged_victims_in_repeat_invest","APS_alleged_victims_in_initial_invest","APS_recidivism"
2020,"Mason",6,14,0,5,12,180,5,1198,31,3899,4,4,4,12,0.333
2020,"Matagorda",142,280,8,22,117,2645,7,6610,18,37064,48,51,14,126,0.111
2020,"Maverick",64,222,11,1,36,4291,7,8069,13,59938,47,48,21,134,0.157
2020,"McCulloch",26,94,1,15,36,742,9,2143,25,8660,48,50,22,67,0.328
2020,"McLennan",1197,2376,106,406,1241,16544,7,38133,15,253066,324,325,200,1200,0.167
2020,"McMullen",3,5,NA,NA,2,59,8,280,36,783,2,2,0,2,0
2020,"Medina",145,387,12,19,147,4232,8,8790,17,50594,88,88,16,200,0.08
2020,"Menard",9,18,1,7,11,219,10,717,33,2188,11,14,5,12,0.417
2020,"Midland",336,1119,20,79,219,9780,5,18060,10,187364,101,101,38,354,0.107
2020,"Milam",73,193,6,38,90,2123,9,5473,22,24635,43,43,18,132,0.136
2020,"Mills",13,26,0,9,26,419,9,1387,28,4870,8,8,4,18,0.222
2020,"Mitchell",64,92,3,25,47,652,7,1739,18,9865,22,22,7,38,0.184
2020,"Montague",115,143,3,20,63,1985,10,4449,23,19199,83,84,27,159,0.17
2020,"Montgomery",826,3293,22,205,633,29339,5,87049,14,613951,652,661,248,1443,0.172
2020,"Moore",53,192,3,21,49,884,4,2596,12,21575,30,31,7,44,0.159
2020,"Morris",47,118,1,24,49,1180,9,2964,24,12448,36,37,19,97,0.196
2020,"Motley",NA,8,NA,NA,4,54,5,399,34,1172,4,4,0,4,0
2020,"Nacogdoches",182,435,15,88,280,6082,9,10547,16,64106,144,147,45,280,0.161
2020,"Navarro",135,399,9,15,73,4149,9,9052,19,47985,88,88,32,224,0.143
2020,"Newton",15,81,NA,NA,20,1337,10,2830,21,13724,28,28,7,78,0.09
2020,"Nolan",107,213,12,23,84,1437,9,2905,19,15642,48,48,19,109,0.174
2020,"None Specified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Nueces",1188,3343,118,211,776,25882,7,55377,14,383718,871,888,427,2207,0.193
2020,"Ochiltree",29,50,0,11,31,598,5,1344,12,11309,16,16,0,39,0
2020,"Oldham",3,8,0,1,6,62,3,453,21,2200,4,4,2,5,0.4
2020,"Orange",281,765,8,95,283,7021,8,15816,18,86155,171,172,62,403,0.154
2020,"Out of State",12,26,0,5,NA,NA,NA,NA,NA,NA,15,15,4,40,0.1
2020,"Palo Pinto",201,314,3,44,143,2485,9,5727,21,27859,28,28,24,156,0.154
2020,"Panola",70,142,2,28,70,1841,7,4851,20,24576,33,34,15,77,0.195
2020,"Parker",464,767,22,78,247,7790,6,24652,18,135621,77,80,57,385,0.148
2020,"Parmer",25,42,0,1,15,562,6,1378,15,9200,11,11,4,16,0.25
2020,"Pecos",62,90,2,25,67,851,5,2310,14,16533,35,35,8,60,0.133
2020,"Polk",123,449,3,31,103,5493,11,10046,20,49080,154,156,46,331,0.139
2020,"Potter",678,1714,11,157,587,7788,6,17606,14,122706,424,436,153,807,0.19
2020,"Presidio",10,15,NA,NA,1,458,8,1371,23,5906,26,26,4,38,0.105
2020,"Rains",27,67,4,8,34,942,8,2812,25,11378,15,15,9,58,0.155
2020,"Randall",396,1053,2,84,284,7579,5,22009,16,138104,199,201,59,455,0.13
2020,"Reagan",9,17,NA,NA,9,116,3,616,15,4226,NA,NA,0,5,0
2020,"Real",6,33,0,3,7,287,8,1120,33,3407,15,16,2,19,0.105
2020,"Red River",62,99,3,15,38,1033,8,3176,25,12610,39,39,9,60,0.15
2020,"Reeves",36,64,0,17,33,875,6,2079,13,15707,18,18,4,56,0.071
2020,"Refugio",34,118,0,6,26,627,8,1823,24,7573,13,13,3,28,0.107
2020,"Roberts",NA,NA,NA,NA,NA,68,7,249,25,983,2,2,0,2,0
2020,"Robertson",52,146,8,35,85,1301,8,3413,20,16888,22,22,10,73,0.137
2020,"Rockwall",220,442,7,35,123,3910,4,14503,14,102243,28,28,9,146,0.062
2020,"Runnels",34,100,5,2,28,795,7,2546,23,11009,59,60,16,60,0.267
2020,"Rusk",177,346,8,49,154,3630,7,9318,18,52767,69,69,29,171,0.17
2020,"Sabine",14,56,5,2,18,1265,13,2978,30,9936,18,18,10,55,0.182
2020,"San Augustine",23,77,3,7,19,960,11,2334,28,8405,27,27,15,67,0.224
2020,"San Jacinto",76,279,3,9,52,3092,11,6411,22,28844,101,101,32,173,0.185
2020,"San Patricio",220,628,5,27,159,5103,7,11561,16,71325,182,185,62,366,0.169
2020,"San Saba",25,25,1,12,27,377,6,1459,25,5873,19,19,6,26,0.231
2020,"Schleicher",1,22,NA,NA,8,146,4,671,20,3312,3,3,1,11,0.091
2020,"Scurry",77,154,1,31,63,1208,7,2764,15,18368,32,32,12,76,0.158
2020,"Shackelford",3,23,2,0,4,344,10,711,21,3405,4,4,1,9,0.111
