"Fiscal.Year","County","CPS_confirmed_victim","CPS_unconfirmed_victim","CPS_family_preservation_removals","CPS_investigation_removals","Children.in.DFPS.Responsibility","Adult_disabled_18_64_pop","Adult_disabled_18_64_perc","Adult_65_over_pop","Adult_65_over_perc","APS_total_county_pop","APS_clients","APS_service_stages","APS_alleged_victims_in_repeat_invest","APS_alleged_victims_in_initial_invest","APS_recidivism"
2021,"Falls",83,95,1,18,78,1948,12,3260,20,16493,31,31,11,89,0.124
2021,"Fannin",84,290,4,22,105,2597,7,7569,22,34671,71,71,19,144,0.132
2021,"Fayette",59,116,16,15,68,1604,6,6884,26,26272,43,45,16,96,0.167
2021,"Fisher",25,26,1,11,15,244,6,1064,27,3980,6,6,6,22,0.273
2021,"Floyd",24,44,NA,NA,7,281,5,1287,22,5743,16,16,6,33,0.182
2021,"Foard",3,4,2,0,7,75,6,352,28,1238,9,9,1,9,0.111
2021,"Fort Bend",527,2809,11,43,179,29899,3,114245,13,871351,468,471,212,1398,0.152
2021,"Franklin",30,80,1,8,28,806,7,2221,20,10954,14,15,6,33,0.182
2021,"Freestone",44,140,4,13,51,1995,10,4038,20,19865,27,27,7,83,0.084
2021,"Frio",79,218,11,16,99,1813,9,2760,14,20327,24,24,7,54,0.13
2021,"Gaines",38,143,0,1,27,1407,6,2446,11,22628,18,18,4,39,0.103
2021,"Galveston",757,1957,59,141,517,23597,7,55792,15,362099,497,502,199,1277,0.156
2021,"Garza",14,55,0,10,17,652,10,812,12,6820,17,18,8,30,0.267
2021,"Gillespie",52,121,5,11,27,1228,5,7882,30,26361,55,57,17,102,0.167
2021,"Glasscock",NA,6,NA,NA,NA,11,1,311,23,1380,1,1,0,3,0
2021,"Goliad",18,61,6,2,15,476,6,2076,27,7768,17,17,3,36,0.083
2021,"Gonzales",40,203,7,3,26,1669,8,3941,18,21488,24,25,11,66,0.167
2021,"Gray",101,243,5,47,129,2153,9,3822,16,24456,72,73,19,122,0.156
2021,"Grayson",356,1225,7,83,282,11036,8,25679,19,132740,283,290,77,621,0.124
2021,"Gregg",501,1038,36,124,484,9013,7,20416,16,126034,107,108,60,506,0.119
2021,"Grimes",79,216,1,29,52,1949,7,5855,20,29128,60,63,23,130,0.177
2021,"Guadalupe",268,1243,3,12,112,11090,6,26026,15,174869,190,192,80,453,0.177
2021,"Hale",174,269,5,31,91,1758,5,4790,15,32901,71,73,25,160,0.156
2021,"Hall",9,33,0,8,20,199,6,834,25,3303,16,16,0,14,0
2021,"Hamilton",28,80,4,5,21,777,9,2009,24,8210,7,7,5,46,0.109
2021,"Hansford",7,23,0,4,4,338,6,1003,17,5855,6,7,4,11,0.364
2021,"Hardeman",8,40,0,5,6,477,12,791,21,3854,14,14,3,22,0.136
2021,"Hardin",107,421,4,54,172,4882,9,10632,19,56626,63,65,26,241,0.108
2021,"Harris",7405,31402,162,829,3640,246026,5,553323,11,5071573,5091,5153,1983,13346,0.149
2021,"Harrison",162,497,14,45,157,4383,6,12077,18,68492,116,118,33,248,0.133
2021,"Hartley",19,17,0,5,9,311,5,947,16,6082,4,4,0,7,0
2021,"Haskell",25,40,0,23,38,807,13,1387,22,6237,21,21,8,44,0.182
2021,"Hays",500,1190,33,153,482,11793,5,33403,14,244221,170,170,67,505,0.133
2021,"Hemphill",5,13,NA,NA,1,378,8,657,14,4761,2,2,0,3,0
2021,"Henderson",218,922,23,70,362,6967,9,19050,23,81369,181,188,61,480,0.127
2021,"Hidalgo",1881,6244,81,129,654,55379,6,105784,12,879547,1077,1090,402,2527,0.159
2021,"Hill",168,356,2,76,142,2830,8,7909,22,35678,48,49,24,178,0.135
2021,"Hockley",96,228,2,29,83,1756,7,3934,16,24799,87,98,36,151,0.238
2021,"Hood",248,525,2,44,112,2584,4,15808,27,59402,53,53,27,209,0.129
2021,"Hopkins",111,348,5,40,102,2602,7,7770,21,37194,80,81,17,162,0.105
2021,"Houston",55,222,1,18,49,1935,9,4958,22,22531,43,43,8,111,0.072
2021,"Howard",122,394,1,26,106,3976,9,5245,13,41941,75,75,33,219,0.151
2021,"Hudspeth",16,34,NA,NA,1,457,13,816,24,3403,11,11,3,23,0.13
2021,"Hunt",356,831,12,96,283,7777,8,17197,18,96303,183,186,75,438,0.171
2021,"Hutchinson",92,288,9,36,97,2069,10,3716,17,21424,72,74,15,103,0.146
2021,"Irion",NA,10,NA,NA,8,74,5,406,27,1509,1,1,0,6,0
2021,"Jack",37,88,4,4,17,851,10,1558,18,8830,15,15,11,53,0.208
2021,"Jackson",66,106,0,7,37,1398,9,3017,19,16099,26,26,3,49,0.061
2021,"Jasper",62,321,3,35,99,2472,7,7424,21,35456,72,73,39,191,0.204
2021,"Jeff Davis",NA,14,NA,NA,2,112,5,757,36,2092,1,1,2,4,0.5
2021,"Jefferson",799,1930,29,210,538,19430,7,39344,15,259249,480,486,161,1200,0.134
2021,"Jim Hogg",18,78,1,5,15,404,8,895,18,5053,9,9,3,22,0.136
2021,"Jim Wells",189,451,3,49,124,3159,7,7047,16,43074,62,62,33,233,0.142
2021,"Johnson",514,1386,17,83,257,8724,5,27809,16,173888,135,137,72,504,0.143
2021,"Jones",65,149,2,22,81,2310,12,3192,16,19702,54,54,12,114,0.105
2021,"Karnes",47,84,0,8,44,909,6,2550,16,15466,25,25,3,53,0.057
2021,"Kaufman",446,1222,14,38,186,8788,7,18986,15,127644,109,111,38,307,0.124
2021,"Kendall",59,191,3,6,27,2522,5,10233,21,47967,45,45,13,95,0.137
2021,"Kenedy",NA,3,NA,NA,NA,27,6,124,26,483,NA,NA,0,1,0
2021,"Kent",NA,4,NA,NA,NA,114,14,255,32,798,2,2,0,5,0
2021,"Kerr",165,364,13,26,95,4013,8,14517,28,52544,187,189,46,374,0.123
2021,"Kimble",16,60,0,3,9,303,7,1316,31,4309,11,12,2,34,0.059
2021,"King",NA,NA,NA,NA,NA,34,11,81,26,313,2,2,0,2,0
2021,"Kinney",7,16,0,4,11,450,13,858,25,3458,9,9,1,22,0.045
2021,"Kleberg",115,343,17,20,74,2128,7,4585,15,30910,57,57,11,127,0.087
2021,"Knox",8,32,0,5,8,331,8,900,23,3960,32,34,12,36,0.333
2021,"La Salle",22,80,8,5,20,827,10,1386,16,8479,11,11,7,27,0.259
2021,"Lamar",164,429,26,46,199,4400,9,10627,21,50009,126,136,38,274,0.139
2021,"Lamb",31,109,2,5,31,925,7,2528,20,12672,85,89,20,144,0.139
2021,"Lampasas",99,201,4,38,121,2393,11,4698,22,21193,46,46,29,127,0.228
2021,"Lavaca",34,113,11,2,25,1111,5,4631,22,20958,32,32,11,70,0.157
2021,"Lee",47,115,0,20,52,877,5,3604,20,17691,24,25,5,64,0.078
2021,"Leon",34,95,0,19,32,1619,9,4371,25,17805,22,22,5,61,0.082
2021,"Liberty",253,939,17,73,180,7490,9,13667,16,86326,221,231,73,394,0.185
2021,"Limestone",88,222,2,34,73,1880,8,4908,21,23559,39,39,10,118,0.085
2021,"Lipscomb",6,14,0,3,7,220,6,747,20,3694,2,2,0,5,0
2021,"Live Oak",27,111,0,5,12,1228,10,2652,22,12081,7,7,10,38,0.263
2021,"Llano",102,175,9,43,140,1941,10,6791,35,19481,32,32,22,136,0.162
2021,"Loving",NA,4,NA,NA,NA,11,12,37,40,93,NA,NA,0,1,0
2021,"Lubbock",970,2780,48,294,1030,22997,7,44436,14,321818,847,894,386,1891,0.204
2021,"Lynn",19,52,0,9,16,675,12,1038,19,5562,29,29,10,59,0.169
2021,"Madison",29,76,7,12,28,1121,8,2357,16,14636,22,22,5,47,0.106
2021,"Marion",41,117,0,16,40,878,9,2651,26,10255,37,40,16,71,0.225
2021,"Martin",17,31,0,6,12,227,4,970,16,6195,3,3,1,13,0.077
2021,"Mason",8,20,NA,NA,11,179,5,1203,31,3900,10,10,8,22,0.364
2021,"Matagorda",115,325,16,18,87,2634,7,6734,18,37055,57,60,16,133,0.12
2021,"Maverick",104,229,8,26,58,4326,7,8269,14,60484,46,46,8,127,0.063
2021,"McCulloch",27,118,3,7,44,737,8,2195,25,8700,37,38,9,57,0.158
2021,"McLennan",1230,2528,37,318,1232,16581,7,39227,15,254824,303,305,173,1111,0.156
2021,"McMullen",NA,5,NA,NA,NA,55,7,301,38,787,NA,NA,0,2,0
2021,"Medina",171,407,11,23,122,4267,8,9080,18,51121,63,64,18,164,0.11
2021,"Menard",3,14,2,1,10,215,10,731,33,2185,6,6,0,12,0
2021,"Midland",304,1199,12,34,178,10112,5,18663,10,193981,103,104,54,385,0.14
2021,"Milam",133,231,9,44,114,2100,9,5617,23,24634,46,47,25,141,0.177
2021,"Mills",9,36,0,6,16,410,8,1415,29,4863,9,9,2,20,0.1
2021,"Mitchell",54,75,0,4,36,650,7,1762,18,9895,22,22,8,37,0.216
2021,"Montague",95,175,7,18,69,1967,10,4484,23,19154,75,77,27,166,0.163
2021,"Montgomery",950,3304,27,182,586,30139,5,92118,15,632702,588,595,251,1527,0.164
2021,"Moore",53,197,4,20,67,881,4,2666,12,21543,35,35,6,51,0.118
2021,"Morris",66,125,1,24,47,1161,9,3028,24,12393,29,29,9,71,0.127
2021,"Motley",NA,7,NA,NA,NA,53,5,405,35,1165,4,4,2,5,0.4
2021,"Nacogdoches",160,445,21,24,234,6062,9,10807,17,64181,105,105,44,244,0.18
2021,"Navarro",155,456,5,20,79,4123,9,9298,19,47962,59,59,26,208,0.125
2021,"Newton",29,84,0,20,21,1326,10,2852,21,13654,25,25,9,56,0.161
2021,"Nolan",104,241,10,39,104,1436,9,2951,19,15689,63,66,24,133,0.18
2021,"None Specified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Nueces",1000,3029,125,235,840,26070,7,57203,15,388438,775,785,329,2048,0.161
2021,"Ochiltree",33,79,1,6,25,604,5,1395,12,11431,26,27,8,33,0.242
2021,"Oldham",2,9,NA,NA,NA,63,3,467,21,2210,2,2,0,3,0
2021,"Orange",296,840,6,69,262,7015,8,16237,19,86539,146,147,47,401,0.117
2021,"Out of State",9,36,0,1,NA,NA,NA,NA,NA,NA,22,22,7,39,0.179
2021,"Palo Pinto",151,309,12,30,156,2460,9,5885,21,27815,36,37,33,156,0.212
2021,"Panola",52,225,3,25,75,1839,7,4947,20,24647,39,39,7,82,0.085
2021,"Parker",431,1086,32,71,253,7850,6,25748,19,137707,72,73,63,438,0.144
2021,"Parmer",17,47,0,4,8,554,6,1400,15,9097,13,13,2,17,0.118
2021,"Pecos",43,118,5,19,68,848,5,2367,14,16598,51,52,16,84,0.19
2021,"Polk",104,504,5,31,110,5496,11,10352,21,49480,123,127,52,282,0.184
2021,"Potter",529,1732,17,143,551,7757,6,18233,15,122765,417,431,169,838,0.202
2021,"Presidio",14,24,1,0,1,447,8,1352,23,5758,20,20,3,49,0.061
2021,"Rains",34,120,3,8,37,940,8,2857,25,11425,18,18,11,55,0.2
2021,"Randall",310,1076,12,73,256,7658,5,22818,16,140273,207,210,67,447,0.15
2021,"Reagan",5,27,NA,NA,1,119,3,649,15,4326,4,4,5,15,0.333
2021,"Real",8,39,0,4,8,283,8,1138,33,3415,8,8,3,20,0.15
2021,"Red River",34,118,4,7,31,1023,8,3201,25,12565,27,27,4,54,0.074
2021,"Reeves",25,104,1,9,36,886,6,2118,13,15931,26,27,11,40,0.275
2021,"Refugio",18,65,4,11,28,620,8,1861,25,7589,11,11,5,30,0.167
2021,"Roberts",1,5,NA,NA,NA,68,7,256,26,991,2,2,0,2,0
2021,"Robertson",82,140,5,40,96,1299,8,3465,20,16924,25,25,6,73,0.082
2021,"Rockwall",257,512,5,36,111,4006,4,15512,15,104969,36,36,18,170,0.106
2021,"Runnels",44,82,6,4,28,793,7,2606,24,11072,39,40,14,83,0.169
2021,"Rusk",163,398,4,47,139,3606,7,9510,18,52713,73,77,23,161,0.143
2021,"Sabine",25,90,4,19,33,1234,13,3007,31,9840,28,28,4,58,0.069
2021,"San Augustine",31,68,3,7,23,951,11,2330,28,8365,28,29,3,60,0.05
2021,"San Jacinto",53,235,4,10,47,3092,11,6586,23,29085,73,74,14,159,0.088
2021,"San Patricio",227,710,2,35,136,5138,7,11823,16,72040,114,115,72,385,0.187
2021,"San Saba",13,31,2,7,27,372,6,1479,25,5856,7,7,3,25,0.12
2021,"Schleicher",13,20,0,3,7,145,4,684,21,3325,9,9,1,14,0.071
2021,"Scurry",85,194,0,34,69,1218,7,2797,15,18541,56,58,16,102,0.157
2021,"Shackelford",9,26,0,7,9,339,10,732,21,3414,13,13,4,22,0.182
2021,"Shelby",76,217,1,21,57,2092,8,4645,18,25537,59,59,15,116,0.129
2021,"Sherman",6,14,0,4,6,246,7,600,18,3299,6,6,1,11,0.091
2021,"Smith",782,1623,40,195,564,15882,7,41357,17,237577,469,478,144,1012,0.142
2021,"Somervell",24,98,3,9,18,500,5,2125,23,9388,9,9,1,30,0.033
2021,"Starr",139,394,9,36,86,5464,8,8375,13,65010,70,70,18,169,0.107
2021,"Stephens",36,86,4,6,31,896,9,2031,21,9570,20,21,9,44,0.205
2021,"Sterling",4,7,NA,NA,1,99,8,326,26,1257,3,3,0,7,0
2021,"Stonewall",3,7,2,1,3,129,8,482,32,1524,8,8,5,13,0.385
2021,"Sutton",12,49,1,4,16,128,3,950,22,4406,4,4,3,11,0.273
2021,"Swisher",40,103,0,7,31,524,7,1500,20,7365,24,24,10,35,0.286
2021,"Tarrant",6511,12729,77,586,2044,119131,5,275973,13,2178720,2366,2410,860,6060,0.142
2021,"Taylor",911,1794,58,181,757,10565,8,21645,15,140207,602,619,287,1316,0.218
2021,"Terrell",NA,9,NA,NA,NA,40,4,342,32,1057,4,4,1,5,0.2
2021,"Terry",34,139,0,5,36,905,7,2051,16,13096,128,147,38,161,0.236
2021,"Throckmorton",3,13,NA,NA,5,127,8,419,28,1513,8,8,1,15,0.067
2021,"Titus",68,296,0,18,57,1943,6,5311,16,32989,35,35,15,99,0.152
2021,"Tom Green",392,1097,46,124,533,8155,7,20091,16,124765,508,522,238,1127,0.211
2021,"Travis",1988,6008,142,360,1613,60827,5,138844,11,1317306,1013,1025,563,3204,0.176
2021,"Trinity",44,138,4,15,40,1823,13,3976,28,14183,27,27,6,76,0.079
2021,"Tyler",45,270,0,8,49,2454,12,4874,23,21313,39,39,14,120,0.117
2021,"Unknown",NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Upshur",129,345,5,50,152,3785,9,8366,20,41899,83,86,26,141,0.184
2021,"Upton",11,26,0,3,9,153,4,797,20,4056,1,1,1,10,0.1
2021,"Uvalde",118,287,3,9,58,2058,7,4682,17,28166,41,41,11,92,0.12
2021,"Val Verde",115,247,2,18,59,3588,7,7353,15,48180,39,40,17,158,0.108
2021,"Van Zandt",158,478,17,57,211,4738,8,12424,22,55778,90,91,37,290,0.128
2021,"Victoria",273,712,22,35,195,6869,7,15996,16,98869,168,171,53,374,0.142
2021,"Walker",86,368,0,18,52,2915,4,10537,14,74751,55,56,22,160,0.138
2021,"Waller",79,271,1,9,39,3454,7,7343,14,51529,47,50,11,125,0.088
2021,"Ward",60,88,6,9,68,785,6,1931,14,13986,18,19,5,47,0.106
2021,"Washington",90,196,0,40,66,2069,6,7822,22,35306,52,52,24,130,0.185
2021,"Webb",534,1639,35,128,457,16516,6,29007,10,278650,199,204,94,616,0.153
2021,"Wharton",72,252,11,18,50,2875,7,7890,19,41999,43,44,13,127,0.102
2021,"Wheeler",10,34,0,5,8,359,6,1329,23,5813,10,10,1,15,0.067
2021,"Wichita",565,1457,20,193,463,12019,9,22532,17,133234,720,733,292,1320,0.221
2021,"Wilbarger",47,162,0,21,56,1417,11,2720,21,12973,78,78,22,119,0.185
2021,"Willacy",125,273,1,10,50,1943,9,3242,15,22115,41,42,18,114,0.158
2021,"Williamson",707,3236,16,90,347,32975,5,81282,13,609818,233,234,159,1044,0.152
2021,"Wilson",112,324,9,25,80,3411,6,9746,18,52777,56,57,21,167,0.126
2021,"Winkler",17,73,0,10,28,509,5,1133,12,9569,3,3,5,25,0.2
2021,"Wise",199,543,3,55,157,6056,9,11884,18,66500,58,58,28,223,0.126
2021,"Wood",110,327,7,31,102,4100,9,12788,28,45611,112,115,29,264,0.11
2021,"Yoakum",9,45,0,3,10,368,4,1283,14,9404,12,12,3,23,0.13
2021,"Young",65,203,4,18,63,1183,6,4269,23,18730,72,74,27,166,0.163
2021,"Zapata",45,93,14,11,39,1218,8,1970,14,14418,13,13,5,39,0.128
2021,"Zavala",59,169,8,15,45,1423,11,1774,14,12780,17,18,11,49,0.224
