"yfips","year","fips","state","county_name","total_pop","total_pop_15to64","female_pop_15to64","male_pop_15to64","aapi_pop_15to64","black_pop_15to64","latinx_pop_15to64","native_pop_15to64","white_pop_15to64","urbanicity","region","division","commuting_zone","metro_area","land_area","total_jail_pop","female_jail_pop","male_jail_pop","female_adult_jail_pop","female_juvenile_jail_pop","male_adult_jail_pop","male_juvenile_jail_pop","aapi_jail_pop","black_jail_pop","latinx_jail_pop","native_jail_pop","white_jail_pop","other_race_jail_pop","total_jail_pretrial","total_jail_from_prison","total_jail_from_other_jail","total_jail_from_fed","total_jail_from_bia","total_jail_from_bop","total_jail_from_ice","total_jail_from_marshals","total_jail_from_other_fed","jail_rated_capacity","private_jail_flag","regional_jail_flag","total_jail_adm","total_jail_dis","total_jail_pop_dcrp","female_jail_pop_dcrp","male_jail_pop_dcrp","total_jail_adm_dcrp","female_jail_adm_dcrp","male_jail_adm_dcrp","total_prison_pop","female_prison_pop","male_prison_pop","aapi_prison_pop","black_prison_pop","latinx_prison_pop","native_prison_pop","other_race_prison_pop","white_prison_pop","aapi_female_prison_pop","aapi_male_prison_pop","black_female_prison_pop","black_male_prison_pop","latinx_female_prison_pop","latinx_male_prison_pop","native_female_prison_pop","native_male_prison_pop","other_race_female_prison_pop","other_race_male_prison_pop","white_female_prison_pop","white_male_prison_pop","total_prison_adm","female_prison_adm","male_prison_adm","aapi_prison_adm","black_prison_adm","latinx_prison_adm","native_prison_adm","other_race_prison_adm","white_prison_adm","aapi_female_prison_adm","aapi_male_prison_adm","black_female_prison_adm","black_male_prison_adm","latinx_female_prison_adm","latinx_male_prison_adm","native_female_prison_adm","native_male_prison_adm","other_race_female_prison_adm","other_race_male_prison_adm","white_female_prison_adm","white_male_prison_adm","total_jail_pop_rate","female_jail_pop_rate","male_jail_pop_rate","aapi_jail_pop_rate","black_jail_pop_rate","latinx_jail_pop_rate","native_jail_pop_rate","white_jail_pop_rate","total_jail_adm_rate","total_jail_pretrial_rate","total_prison_pop_rate","female_prison_pop_rate","male_prison_pop_rate","aapi_prison_pop_rate","black_prison_pop_rate","latinx_prison_pop_rate","native_prison_pop_rate","white_prison_pop_rate","total_prison_adm_rate","female_prison_adm_rate","male_prison_adm_rate","aapi_prison_adm_rate","black_prison_adm_rate","latinx_prison_adm_rate","native_prison_adm_rate","white_prison_adm_rate"
201848433,2018,48433,"TX","Stonewall County",1362,760,372,388,15,27,166,4,548,"rural","South","West South Central",644,NA,916.31,2,1,2,1,0,2,0,0,0.67,1.2,0,2,0,2,0,1,0,0,0,0,0,0,10,0,0,208,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.16,268.82,515.46,0,2481.48,722.89,0,364.96,27368.42,263.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848435,2018,48435,"TX","Sutton County",3758,2341,1139,1202,8,16,1521,4,792,"rural","South","West South Central",606,NA,1453.93,7,1,10,1,0,10,0,0,0.27,3,0,0.82,0,2,0,0,0,0,0,0,0,0,28,0,0,260,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.02,87.8,831.95,0,1687.5,197.24,0,103.54,11106.36,85.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848437,2018,48437,"TX","Swisher County",7462,4581,2011,2570,29,430,2138,27,1957,"rural","South","West South Central",419,NA,890.16,13,2,11,2,0,11,0,0,5,4,0,4,0,13,0,0,0,0,0,0,0,0,14,0,0,284,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.78,99.45,428.02,0,1162.79,187.09,0,204.39,6199.52,283.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848439,2018,48439,"TX","Tarrant County",2084931,1393252,708568,684684,90995,245739,401108,6420,648990,"urban","South","West South Central",102,19100,863.68,3501,574,3216,572,2,3184,32,98.24,1400.57,776.65,16.37,1525.08,75.16,2519,106,33,21,0,0,6,0,15,5142,0,0,38003,37276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.28,81.01,469.71,107.96,569.94,193.63,254.98,234.99,2727.65,180.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848441,2018,48441,"TX","Taylor County",137640,89019,44886,44133,2666,7329,21851,452,56721,"small/mid","South","West South Central",86,10180,915.55,547,97,478,96,1,477,1,1,133,147,2.23,294,0,416,0,6,43,0,0,0,43,0,826,0,0,10296,11284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614.48,216.1,1083.09,37.51,1814.71,672.74,493.36,518.33,11566.07,467.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848443,2018,48443,"TX","Terrell County",823,437,203,234,6,8,248,7,168,"rural","South","West South Central",610,NA,2358.02,2,0,1,0,0,1,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,52,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.67,0,427.35,0,25000,403.23,0,595.24,11899.31,228.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848445,2018,48445,"TX","Terry County",12287,7562,3415,4147,39,395,4368,30,2730,"rural","South","West South Central",270,NA,888.84,77,6,123,6,0,121,2,0,5,58,0,17,0,65,0,15,18,0,3,0,15,0,174,0,0,4056,3744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018.25,175.7,2966,0,1265.82,1327.84,0,622.71,53636.6,859.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848447,2018,48447,"TX","Throckmorton County",1515,842,437,405,6,8,125,4,699,"rural","South","West South Central",608,NA,912.55,86.23,6.13,71.73,6.13,0,71.73,0,0.56,8.36,51.1,0.37,17.47,0,75.45,0,2.42,75.45,0,0,75.45,0,0,103.14,1,1,994.94,1015.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10241.09,1402.75,17711.11,9333.33,104500,40880,9250,2499.28,118163.9,8960.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848449,2018,48449,"TX","Titus County",33033,20281,10255,10026,241,1925,9194,94,8827,"rural","South","West South Central",286,34420,406.06,119,14,51,14,0,51,0,1.24,44,6,0,57,0,87,0,0,21,0,0,7,14,0,182,0,0,1508,2132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.76,136.52,508.68,514.52,2285.71,65.26,0,645.75,7435.53,428.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848451,2018,48451,"TX","Tom Green County",118189,76035,37614,38421,1275,3289,31214,314,39943,"small/mid","South","West South Central",193,41660,1522,454.49,102.75,334.94,102.75,0,334.94,0,0.99,43.47,216.38,0,176.86,0,321.11,0,3.95,13.83,0,0,0,13.83,0,443.62,0,1,7043.59,6962.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597.74,273.17,871.76,77.65,1321.68,693.21,0,442.78,9263.62,422.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848453,2018,48453,"TX","Travis County",1248743,897339,438389,458950,71957,75636,294554,2802,452390,"urban","South","West South Central",27,12420,991.92,2441,312,2054,308,4,2043,11,0,745,850,0,758,0,1784,0,7,6,0,0,6,0,0,3167,0,0,44177,44145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.03,71.17,447.54,0,984.98,288.57,0,167.55,4923.11,198.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848455,2018,48455,"TX","Trinity County",14740,8384,4430,3954,38,856,937,47,6506,"rural","South","West South Central",387,26660,693.79,7,0,4,0,0,4,0,0,3.5,0,0,7,0,4,0,0,0,0,0,0,0,0,7,0,0,520,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.49,0,101.16,0,408.88,0,0,107.59,6202.29,47.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848457,2018,48457,"TX","Tyler County",21696,13363,5681,7682,69,1807,1357,81,10049,"rural","South","West South Central",118,NA,924.5,34,12,21,12,0,21,0,0,10,1.14,0,23,0,29,0,0,0,0,0,0,0,0,34,0,0,104,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.43,211.23,273.37,0,553.4,84.01,0,228.88,778.27,217.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848459,2018,48459,"TX","Upshur County",41260,25575,12836,12739,146,2159,2321,162,20787,"small/mid","South","West South Central",163,30980,582.93,200,29,179,29,0,179,0,0,84,0,0,124,0,148,0,33,62,0,62,0,0,0,226,0,0,1820,1820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782.01,225.93,1405.13,0,3890.69,0,0,596.53,7116.32,578.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848461,2018,48461,"TX","Upton County",3671,2254,1096,1158,5,58,1232,19,940,"rural","South","West South Central",333,NA,1241.32,47,5,42,5,0,42,0,0,1,18,0,19,0,29,3,29,1,0,1,0,0,0,54,0,0,572,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2085.18,456.2,3626.94,0,1724.14,1461.04,0,2021.28,25377.11,1286.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848463,2018,48463,"TX","Uvalde County",26846,16296,8168,8128,122,145,12077,40,3912,"rural","South","West South Central",506,46620,1551.95,129,4,40,4,0,40,0,0,32,14,0,52,0,84,0,0,0,0,0,0,0,0,214,0,0,1560,1560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791.61,48.97,492.13,0,22068.97,115.92,0,1329.24,9572.9,515.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848465,2018,48465,"TX","Val Verde County",49208,30320,14422,15898,263,480,24825,72,4680,"rural","South","West South Central",392,19620,3144.75,1160,49,1340,49,0,1340,0,0,4,1356,1,28,0,1182,90,4,1295,0,3,28,1264,0,1437,1,0,17201,16943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3825.86,339.76,8428.73,0,833.33,5462.24,1388.89,598.29,56731.53,3898.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848467,2018,48467,"TX","Van Zandt County",56019,34216,17360,16856,230,1039,4017,259,28671,"rural","South","West South Central",42,NA,842.56,158,21,146,21,0,146,0,0,24,4,0,132,0,152,160,0,2,0,0,2,0,0,160,0,0,2392,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.77,120.97,866.16,0,2309.91,99.58,0,460.4,6990.88,444.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848469,2018,48469,"TX","Victoria County",92035,57758,29169,28589,924,3570,27772,162,25330,"small/mid","South","West South Central",149,47020,882.11,392,69,348,69,0,348,0,0,60,209,0,148,0,350,47,8,30,0,0,7,23,0,528,0,0,5354,5323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678.69,236.55,1217.25,0,1680.67,752.56,0,584.29,9269.71,605.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848471,2018,48471,"TX","Walker County",72480,53843,20969,32874,679,13531,10113,182,29338,"rural","South","West South Central",387,26660,784.19,63,18,135,18,0,135,0,1.02,60.39,10.35,0,61.25,0,92,2,2,0,0,0,0,0,0,192,0,0,3900,3640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.01,85.84,410.66,150.22,446.31,102.34,0,208.77,7243.28,170.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848473,2018,48473,"TX","Waller County",53126,36000,18044,17956,478,10069,10418,117,14918,"suburban","South","West South Central",9,26420,513.34,85,9,70,9,0,70,0,0,41,18,0,20,0,69,0,0,0,0,0,0,0,0,110,0,0,2014,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.11,49.88,389.84,0,407.19,172.78,0,134.07,5594.44,191.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848475,2018,48475,"TX","Ward County",11720,7275,3506,3769,45,314,4022,46,2848,"rural","South","West South Central",97,NA,835.6,43,6,40,6,0,40,0,0,1,25,0,19,0,26,39,3,4,0,0,0,4,0,68,0,0,1174,1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591.07,171.14,1061.29,0,318.47,621.58,0,667.13,16137.46,357.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848477,2018,48477,"TX","Washington County",35108,21147,10631,10516,487,3947,3578,57,13078,"rural","South","West South Central",588,14780,603.96,84,18,74,18,0,74,0,0.92,34,26,0,32,0,88,0,0,0,0,0,0,0,0,177,0,0,1976,2392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.22,169.32,703.69,188.91,861.41,726.66,0,244.69,9344.12,416.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848479,2018,48479,"TX","Webb County",275910,173959,88352,85607,1044,576,166206,74,6059,"small/mid","South","West South Central",538,29700,3361.48,544,29,513,29,0,512,1,0,3.21,528.1,0,10.69,0,461,12,7,38,0,4,32,2,0,553,0,0,10660,9204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.72,32.82,599.25,0,557.29,317.74,0,176.43,6127.88,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848481,2018,48481,"TX","Wharton County",41619,25652,12879,12773,131,3393,11048,46,11034,"rural","South","West South Central",9,20900,1086.15,130,15,101,15,0,101,0,1,47,56,0,25,0,121,9,1,12,0,0,12,0,0,144,0,0,2548,1768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.78,116.47,790.73,763.36,1385.2,506.88,0,226.57,9932.95,471.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848483,2018,48483,"TX","Wheeler County",5191,3093,1546,1547,17,116,817,19,2124,"rural","South","West South Central",273,NA,914.52,3,3,10,3,0,10,0,0,0.67,0.62,0,4,0,2,1,0,0,0,0,0,0,0,9,0,0,260,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.99,194.05,646.41,0,577.59,75.89,0,188.32,8406.08,64.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848485,2018,48485,"TX","Wichita County",132064,87612,40476,47136,2331,10495,16934,799,57053,"small/mid","South","West South Central",68,48660,627.78,485,96,387,96,0,387,0,7.34,129,88,1,265,0,400,0,0,16,0,0,7,9,0,624,0,0,8788,8424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.58,237.18,821.03,314.89,1229.16,519.66,125.16,464.48,10030.59,456.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848487,2018,48487,"TX","Wilbarger County",12820,8178,4027,4151,262,696,2517,87,4616,"rural","South","West South Central",453,46900,970.87,30,0,23,0,0,23,0,0,9.86,1.64,0,11.5,0,NA,0,0,0,0,0,0,0,0,49,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.84,0,554.08,0,1416.67,65.16,0,249.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848489,2018,48489,"TX","Willacy County",21515,14268,5833,8435,132,389,12655,15,1077,"rural","South","West South Central",291,39700,590.59,62,5,38,5,0,38,0,0,2,59,0,1,0,52,2,0,5,0,0,0,5,0,84,0,0,312,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434.54,85.72,450.5,0,514.14,466.22,0,92.85,2186.71,364.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848491,2018,48491,"TX","Williamson County",566719,377381,190538,186843,31002,28091,95937,1473,220878,"suburban","South","West South Central",27,12420,1118.34,626,94,500,94,0,495,5,0,130,153,0,311,0,466,37,502,55,0,0,50,5,0,1128,0,0,12824,12899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.88,49.33,267.6,0,462.78,159.48,0,140.8,3398.16,123.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848493,2018,48493,"TX","Wilson County",50224,32469,16141,16328,203,521,13343,142,18260,"suburban","South","West South Central",69,41700,803.74,117,13,112,13,0,112,0,0,6,80,0,39,0,0,7,68,78,0,0,0,78,0,161,0,0,312,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360.34,80.54,685.94,0,1151.63,599.57,0,213.58,960.92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848495,2018,48495,"TX","Winkler County",7720,4883,2296,2587,44,121,2996,27,1695,"rural","South","West South Central",97,NA,841.12,88.23,0.98,93.13,0.98,0,93.13,0,0,3.56,68.62,0,19.61,0,68.62,0,24.51,44.11,0,0,0,44.11,0,99.01,0,1,1172.47,560.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1806.88,42.68,3599.92,0,2942.15,2290.39,0,1156.93,24011.26,1405.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848497,2018,48497,"TX","Wise County",68305,44209,21963,22246,317,731,8806,374,33981,"suburban","South","West South Central",447,19100,904.39,186,47,154,47,0,152,2,0,15,25,0,161,0,169,45,5,3,0,0,3,0,0,338,0,0,3247,3225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.73,214,692.26,0,2051.98,283.9,0,473.79,7344.66,382.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848499,2018,48499,"TX","Wood County",45129,25907,12846,13061,177,1763,2907,158,20902,"rural","South","West South Central",286,NA,645.24,151,29,98,29,0,98,0,0,6,6,0,115,0,105,0,0,0,0,0,0,0,0,158,0,0,1367,1399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.85,225.75,750.33,0,340.33,206.4,0,550.19,5276.57,405.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848501,2018,48501,"TX","Yoakum County",8591,5195,2501,2694,27,66,3507,24,1571,"rural","South","West South Central",533,NA,799.72,15,1,14,1,0,14,0,0,0.8,10,0,2,0,9,3,0,1,0,0,1,0,0,48,0,0,624,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.74,39.98,519.67,0,1212.12,285.14,0,127.31,12011.55,173.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848503,2018,48503,"TX","Young County",18045,10768,5345,5423,85,171,2136,60,8316,"rural","South","West South Central",608,NA,914.47,80,0,35,0,0,35,0,0,4,10,3.08,63,0,68,2,0,0,0,0,0,0,0,144,0,0,1456,1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.94,0,645.4,0,2339.18,468.16,5133.33,757.58,13521.55,631.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
