"yfips","year","fips","state","county_name","total_pop","total_pop_15to64","female_pop_15to64","male_pop_15to64","aapi_pop_15to64","black_pop_15to64","latinx_pop_15to64","native_pop_15to64","white_pop_15to64","urbanicity","region","division","commuting_zone","metro_area","land_area","total_jail_pop","female_jail_pop","male_jail_pop","female_adult_jail_pop","female_juvenile_jail_pop","male_adult_jail_pop","male_juvenile_jail_pop","aapi_jail_pop","black_jail_pop","latinx_jail_pop","native_jail_pop","white_jail_pop","other_race_jail_pop","total_jail_pretrial","total_jail_from_prison","total_jail_from_other_jail","total_jail_from_fed","total_jail_from_bia","total_jail_from_bop","total_jail_from_ice","total_jail_from_marshals","total_jail_from_other_fed","jail_rated_capacity","private_jail_flag","regional_jail_flag","total_jail_adm","total_jail_dis","total_jail_pop_dcrp","female_jail_pop_dcrp","male_jail_pop_dcrp","total_jail_adm_dcrp","female_jail_adm_dcrp","male_jail_adm_dcrp","total_prison_pop","female_prison_pop","male_prison_pop","aapi_prison_pop","black_prison_pop","latinx_prison_pop","native_prison_pop","other_race_prison_pop","white_prison_pop","aapi_female_prison_pop","aapi_male_prison_pop","black_female_prison_pop","black_male_prison_pop","latinx_female_prison_pop","latinx_male_prison_pop","native_female_prison_pop","native_male_prison_pop","other_race_female_prison_pop","other_race_male_prison_pop","white_female_prison_pop","white_male_prison_pop","total_prison_adm","female_prison_adm","male_prison_adm","aapi_prison_adm","black_prison_adm","latinx_prison_adm","native_prison_adm","other_race_prison_adm","white_prison_adm","aapi_female_prison_adm","aapi_male_prison_adm","black_female_prison_adm","black_male_prison_adm","latinx_female_prison_adm","latinx_male_prison_adm","native_female_prison_adm","native_male_prison_adm","other_race_female_prison_adm","other_race_male_prison_adm","white_female_prison_adm","white_male_prison_adm","total_jail_pop_rate","female_jail_pop_rate","male_jail_pop_rate","aapi_jail_pop_rate","black_jail_pop_rate","latinx_jail_pop_rate","native_jail_pop_rate","white_jail_pop_rate","total_jail_adm_rate","total_jail_pretrial_rate","total_prison_pop_rate","female_prison_pop_rate","male_prison_pop_rate","aapi_prison_pop_rate","black_prison_pop_rate","latinx_prison_pop_rate","native_prison_pop_rate","white_prison_pop_rate","total_prison_adm_rate","female_prison_adm_rate","male_prison_adm_rate","aapi_prison_adm_rate","black_prison_adm_rate","latinx_prison_adm_rate","native_prison_adm_rate","white_prison_adm_rate"
201848413,2018,48413,"TX","Schleicher County",2895,1737,880,857,10,32,980,3,712,"rural","South","West South Central",606,NA,1310.64,9,0,5,0,0,5,0,0,1,2,0,6,0,7,0,0,0,0,0,0,0,0,10,0,0,364,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518.13,0,583.43,0,3125,204.08,0,842.7,20955.67,402.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848415,2018,48415,"TX","Scurry County",16866,10744,4578,6166,68,662,4378,46,5590,"rural","South","West South Central",541,43660,905.45,45.39,4.83,33.8,4.83,0,33.8,0,0,1.93,18.35,0,20.28,0,12.55,0,0,0,0,0,0,0,0,139.06,0,1,1757.51,2159.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422.47,105.5,548.17,0,291.54,419.14,0,362.79,16358.06,116.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848417,2018,48417,"TX","Shackelford County",3253,1982,1018,964,13,29,233,6,1701,"rural","South","West South Central",86,NA,914.29,16,2,6,2,0,6,0,0,1.18,4,0,9,0,11,0,7,0,0,0,0,0,0,20,0,0,260,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807.27,196.46,622.41,0,4068.97,1716.74,0,529.1,13118.06,554.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848419,2018,48419,"TX","Shelby County",25418,15562,7736,7826,272,2896,2957,42,9395,"rural","South","West South Central",551,NA,795.59,55,7,48,7,0,48,0,0,17,4,0,23,0,28,5,5,1,0,0,1,0,0,66,0,0,884,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353.43,90.49,613.34,0,587.02,135.27,0,244.81,5680.5,179.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848421,2018,48421,"TX","Sherman County",3079,1891,881,1010,13,34,880,10,954,"rural","South","West South Central",444,NA,923.04,2,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.76,0,297.03,0,8823.53,0,0,314.47,2749.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848423,2018,48423,"TX","Smith County",230221,145073,75009,70064,3069,27044,29248,576,85136,"small/mid","South","West South Central",475,46340,921.51,804,197,651,196,1,646,5,3,305,115,45.62,419,0,421,3,23,23,0,19,4,0,0,1149,0,0,9177,9086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554.2,262.64,929.15,97.75,1127.79,393.19,7920.14,492.15,6325.78,290.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848425,2018,48425,"TX","Somervell County",9016,5685,2896,2789,54,76,1148,36,4371,"suburban","South","West South Central",102,19100,186.46,40,11,27,11,0,27,0,0,2,2,0,39,0,27,3,37,0,0,0,0,0,0,57,0,0,832,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703.61,379.83,968.09,0,2631.58,174.22,0,892.24,14635,474.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848427,2018,48427,"TX","Starr County",64525,39399,20010,19389,83,53,37991,14,1258,"rural","South","West South Central",291,40100,1223.18,205,8,226,8,0,220,6,0,0.94,232,0,2,0,0,0,4,80,0,0,0,80,0,275,0,0,1040,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.32,39.98,1165.61,0,1773.58,610.67,0,158.98,2639.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848429,2018,48429,"TX","Stephens County",9433,5877,2623,3254,62,187,1529,50,4049,"rural","South","West South Central",632,NA,896.72,32,2,25,2,0,25,0,0,1,7,0,18,0,23,4,0,0,0,0,0,0,0,48,0,0,529,529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544.5,76.25,768.29,0,534.76,457.82,0,444.55,9001.19,391.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848431,2018,48431,"TX","Sterling County",1311,816,390,426,6,17,329,5,459,"rural","South","West South Central",193,NA,923.45,2.56,0.19,2.06,0.19,0,2.06,0,0,0.46,0.06,0.75,1.94,0,1.31,0.13,0.25,0.13,0,0.06,0,0.06,0,4.56,0,1,169.01,162.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313.73,48.72,483.57,0,2705.88,18.24,15000,422.66,20712.01,160.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
