"State","County","Number of providers with 30-patient waivers","Number of providers with 100-patient waivers","Number of providers with 275-patient waivers","Total number of waivered providers","Patient capacity","Patient capacity rate","High need for treatment services","Low-to-no patient capacity"
"Alabama","Autauga County","0","1","1","2","375","676.7","Yes","No"
"Alabama","Baldwin County","12","3","6","21","2,310","1,107.58","Yes","No"
"Alabama","Barbour County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Bibb County","5","0","0","5","150","662.46","Yes","No"
"Alabama","Blount County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Bullock County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Butler County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Calhoun County","5","2","0","7","350","305.38","Yes","Yes"
"Alabama","Chambers County","1","0","0","1","30","88.64","Yes","Yes"
"Alabama","Cherokee County","0","0","1","1","275","1,069","Yes","No"
"Alabama","Chilton County","1","0","0","1","30","68.27","Yes","Yes"
"Alabama","Choctaw County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Clarke County","1","1","0","2","130","532.96","Yes","No"
"Alabama","Clay County","2","1","1","4","435","3,224.13","Yes","No"
"Alabama","Cleburne County","0","0","0","0","0","0","No","Yes"
"Alabama","Coffee County","0","1","1","2","375","732.05","Yes","No"
"Alabama","Colbert County","4","0","2","6","670","1,235.8","Yes","No"
"Alabama","Conecuh County","1","0","0","1","30","242.03","Yes","Yes"
"Alabama","Coosa County","0","0","0","0","0","0","No","Yes"
"Alabama","Covington County","1","3","0","4","330","880.99","Yes","No"
"Alabama","Crenshaw County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Cullman County","4","1","2","7","770","933.66","Yes","No"
"Alabama","Dale County","2","0","0","2","60","121.89","No","Yes"
"Alabama","Dallas County","0","0","0","0","0","0","Yes","Yes"
"Alabama","DeKalb County","3","2","0","5","290","409.03","Yes","Yes"
"Alabama","Elmore County","2","0","0","2","60","73.35","Yes","Yes"
"Alabama","Escambia County","2","0","1","3","335","887.93","Yes","No"
"Alabama","Etowah County","6","6","4","16","1,880","1,833","Yes","No"
"Alabama","Fayette County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Franklin County","1","2","0","3","230","727.2","Yes","No"
"Alabama","Geneva County","0","0","0","0","0","0","No","Yes"
"Alabama","Greene County","0","0","0","0","0","0","No","Yes"
"Alabama","Hale County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Henry County","0","0","0","0","0","0","No","Yes"
"Alabama","Houston County","7","5","4","16","1,810","1,739.45","Yes","No"
"Alabama","Jackson County","1","2","0","3","230","441.14","Yes","Yes"
"Alabama","Jefferson County","78","35","40","153","16,840","2,553.37","Yes","No"
"Alabama","Lamar County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Lauderdale County","10","4","1","15","975","1,056.13","Yes","No"
"Alabama","Lawrence County","3","1","0","4","190","571.53","Yes","No"
"Alabama","Lee County","1","0","0","1","30","18.87","No","Yes"
"Alabama","Limestone County","1","1","1","3","405","436.64","No","Yes"
"Alabama","Lowndes County","0","0","0","0","0","0","No","Yes"
"Alabama","Macon County","4","1","2","7","770","4,060.54","No","No"
"Alabama","Madison County","20","16","11","47","5,225","1,463.72","Yes","No"
"Alabama","Marengo County","2","1","0","3","160","813.3","Yes","No"
"Alabama","Marion County","1","3","2","6","880","2,933.53","Yes","No"
"Alabama","Marshall County","6","2","5","13","1,755","1,844.32","Yes","No"
"Alabama","Mobile County","29","10","5","44","3,245","782.24","Yes","No"
"Alabama","Monroe County","2","1","0","3","160","743.15","Yes","No"
"Alabama","Montgomery County","8","7","2","17","1,490","658.28","Yes","No"
"Alabama","Morgan County","4","4","4","12","1,620","1,361.21","Yes","No"
"Alabama","Perry County","0","0","0","0","0","0","No","Yes"
"Alabama","Pickens County","1","0","0","1","30","147.61","No","Yes"
"Alabama","Pike County","1","0","0","1","30","90.13","Yes","Yes"
"Alabama","Randolph County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Russell County","0","1","0","1","100","171.9","Yes","Yes"
"Alabama","St. Clair County","2","1","2","5","710","806.64","Yes","No"
"Alabama","Shelby County","14","10","12","36","4,720","2,240.98","Yes","No"
"Alabama","Sumter County","1","0","0","1","30","230.06","No","Yes"
"Alabama","Talladega County","1","2","0","3","230","287.13","Yes","Yes"
"Alabama","Tallapoosa County","3","1","1","5","465","1,141.75","Yes","No"
"Alabama","Tuscaloosa County","10","5","3","18","1,625","788.44","Yes","No"
"Alabama","Walker County","4","6","0","10","720","1,108.25","Yes","No"
"Alabama","Washington County","0","0","0","0","0","0","No","Yes"
"Alabama","Wilcox County","0","1","0","1","100","910.25","No","No"
"Alabama","Winston County","4","0","2","6","670","2,814.53","Yes","No"
"Alaska","Aleutians East Borough","0","0","0","0","0","0","No","Yes"
"Alaska","Aleutians West Census Area","0","0","0","0","0","0","No","Yes"
"Alaska","Anchorage Municipality","103","13","4","120","5,490","1,841.1","No","No"
"Alaska","Bethel Census Area","13","3","0","16","690","3,840.16","No","No"
"Alaska","Bristol Bay Borough","0","0","0","0","0","0","No","Yes"
"Alaska","Denali Borough","0","0","0","0","0","0","No","Yes"
"Alaska","Dillingham Census Area","1","0","0","1","30","605.57","No","No"
"Alaska","Fairbanks North Star Borough","4","0","0","4","120","119.28","No","Yes"
"Alaska","Haines Borough","1","0","0","1","30","1,201.92","No","No"
"Alaska","Hoonah-Angoon Census Area","0","0","0","0","0","0","No","Yes"
"Alaska","Juneau City and Borough","11","5","1","17","1,105","3,403.35","No","No"
"Alaska","Kenai Peninsula Borough","12","3","1","16","935","1,598.13","Yes","No"
"Alaska","Ketchikan Gateway Borough","2","1","0","3","160","1,163.97","No","No"
"Alaska","Kodiak Island Borough","4","0","0","4","120","873.87","Yes","No"
"Alaska","Kusilvak Census Area","0","0","0","0","0","0","No","Yes"
"Alaska","Lake and Peninsula Borough","0","0","0","0","0","0","No","Yes"
"Alaska","Matanuska-Susitna Borough","14","3","0","17","720","689.89","Yes","No"
"Alaska","Nome Census Area","1","1","0","2","130","1,310.88","No","No"
"Alaska","North Slope Borough","0","0","0","0","0","0","No","Yes"
"Alaska","Northwest Arctic Borough","1","0","0","1","30","390.98","No","Yes"
"Alaska","Petersburg Borough","5","0","0","5","150","4,763.42","No","No"
"Alaska","Prince of Wales-Hyder Census Area","3","0","0","3","90","1,417.99","No","No"
"Alaska","Sitka City and Borough","3","0","0","3","90","1,019.25","No","No"
"Alaska","Skagway Municipality","0","0","0","0","0","0","No","Yes"
"Alaska","Southeast Fairbanks Census Area","2","0","0","2","60","872.6","No","No"
"Alaska","Valdez-Cordova Census Area","3","0","0","3","90","962.05","No","No"
"Alaska","Wrangell City and Borough","0","0","0","0","0","0","No","Yes"
"Alaska","Yakutat City and Borough","0","0","0","0","0","0","No","Yes"
"Alaska","Yukon-Koyukuk Census Area","12","3","0","15","660","11,943.54","Yes","No"
"Arizona","Apache County","9","0","0","9","270","369.3","No","Yes"
"Arizona","Cochise County","10","1","0","11","400","318.04","Yes","Yes"
"Arizona","Coconino County","21","0","0","21","630","447.1","No","Yes"
"Arizona","Gila County","6","0","1","7","455","849.58","Yes","No"
"Arizona","Graham County","1","0","0","1","30","79.79","Yes","Yes"
"Arizona","Greenlee County","0","0","0","0","0","0","No","Yes"
"Arizona","La Paz County","0","0","0","0","0","0","Yes","Yes"
"Arizona","Maricopa County","440","99","36","575","33,000","777.75","Yes","No"
"Arizona","Mohave County","27","2","0","29","1,010","492.09","Yes","No"
"Arizona","Navajo County","9","0","0","9","270","245.4","Yes","Yes"
"Arizona","Pima County","131","22","9","162","8,605","846.78","Yes","No"
"Arizona","Pinal County","24","5","0","29","1,220","291.49","No","Yes"
"Arizona","Santa Cruz County","1","0","0","1","30","65.24","No","Yes"
"Arizona","Yavapai County","54","7","3","64","3,145","1,394.3","Yes","No"
"Arizona","Yuma County","5","1","0","6","250","121.58","Yes","Yes"
"Arkansas","Arkansas County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Ashley County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Baxter County","2","0","1","3","335","815.84","Yes","No"
"Arkansas","Benton County","5","0","0","5","150","58.07","Yes","Yes"
"Arkansas","Boone County","0","1","0","1","100","268.07","Yes","Yes"
"Arkansas","Bradley County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Calhoun County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Carroll County","1","0","0","1","30","108.51","Yes","Yes"
"Arkansas","Chicot County","0","0","0","0","0","0","No","Yes"
"Arkansas","Clark County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Clay County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Cleburne County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Cleveland County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Columbia County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Conway County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Craighead County","3","2","1","6","565","533.85","Yes","No"
"Arkansas","Crawford County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Crittenden County","1","0","1","2","305","619.48","Yes","No"
"Arkansas","Cross County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Dallas County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Desha County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Drew County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Faulkner County","1","0","0","1","30","24.54","Yes","Yes"
"Arkansas","Franklin County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Fulton County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Garland County","4","5","3","12","1,445","1,482.4","Yes","No"
"Arkansas","Grant County","0","0","0","0","0","0","No","Yes"
"Arkansas","Greene County","1","0","0","1","30","67.27","Yes","Yes"
"Arkansas","Hempstead County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Hot Spring County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Howard County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Independence County","1","0","0","1","30","80.71","Yes","Yes"
"Arkansas","Izard County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Jackson County","1","0","0","1","30","174.21","Yes","Yes"
"Arkansas","Jefferson County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Johnson County","0","1","0","1","100","382.03","Yes","Yes"
"Arkansas","Lafayette County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Lawrence County","0","0","0","0","0","0","No","Yes"
"Arkansas","Lee County","0","0","0","0","0","0","No","Yes"
"Arkansas","Lincoln County","0","0","0","0","0","0","No","Yes"
"Arkansas","Little River County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Logan County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Lonoke County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Madison County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Marion County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Miller County","2","2","0","4","260","593.78","Yes","No"
"Arkansas","Mississippi County","1","1","0","2","130","303.49","Yes","Yes"
"Arkansas","Monroe County","1","0","0","1","30","418.47","Yes","Yes"
"Arkansas","Montgomery County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Nevada County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Newton County","0","0","0","0","0","0","No","Yes"
"Arkansas","Ouachita County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Perry County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Phillips County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Pike County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Poinsett County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Polk County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Pope County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Prairie County","0","0","0","0","0","0","No","Yes"
"Arkansas","Pulaski County","31","18","9","58","5,205","1,323.59","Yes","No"
"Arkansas","Randolph County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","St. Francis County","0","1","0","1","100","381.74","Yes","Yes"
"Arkansas","Saline County","1","0","0","1","30","25.27","Yes","Yes"
"Arkansas","Scott County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Searcy County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Sebastian County","9","1","0","10","370","289.53","Yes","Yes"
"Arkansas","Sevier County","5","0","0","5","150","887.05","No","No"
"Arkansas","Sharp County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Stone County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Union County","0","2","0","2","200","501.42","Yes","No"
"Arkansas","Van Buren County","0","0","0","0","0","0","Yes","Yes"
"Arkansas","Washington County","16","8","3","27","2,105","923.05","Yes","No"
"Arkansas","White County","0","3","0","3","300","378.49","Yes","Yes"
"Arkansas","Woodruff County","1","0","0","1","30","451.74","Yes","Yes"
"Arkansas","Yell County","0","0","0","0","0","0","No","Yes"
"California","Alameda County","218","26","1","245","9,415","571.4","No","No"
"California","Alpine County","1","0","0","1","30","2,801.12","No","No"
"California","Amador County","3","2","0","5","290","775.75","Yes","No"
"California","Butte County","27","5","3","35","2,135","941.09","Yes","No"
"California","Calaveras County","3","0","0","3","90","199.24","Yes","Yes"
"California","Colusa County","1","0","0","1","30","138.97","Yes","Yes"
"California","Contra Costa County","156","27","10","193","10,130","892.41","No","No"
"California","Del Norte County","3","1","1","5","465","1,688.45","Yes","No"
"California","El Dorado County","19","7","0","26","1,270","684.18","Yes","No"
"California","Fresno County","49","11","1","61","2,845","290.33","No","Yes"
"California","Glenn County","2","0","0","2","60","213.64","Yes","Yes"
"California","Humboldt County","34","6","5","45","2,995","2,191.79","Yes","No"
"California","Imperial County","9","2","0","11","470","259.84","Yes","Yes"
"California","Inyo County","6","0","0","6","180","992.06","Yes","No"
"California","Kern County","29","6","1","36","1,745","197.22","Yes","Yes"
"California","Kings County","3","1","0","4","190","126.85","No","Yes"
"California","Lake County","8","2","2","12","990","1,544.08","Yes","No"
"California","Lassen County","4","0","0","4","120","388.73","Yes","Yes"
"California","Los Angeles County","879","191","41","1,111","56,745","559.73","No","No"
"California","Madera County","1","1","0","2","130","84.04","No","Yes"
"California","Marin County","51","14","4","69","4,030","1,546.13","No","No"
"California","Mariposa County","2","0","0","2","60","344.63","Yes","Yes"
"California","Mendocino County","16","9","1","26","1,655","1,888.67","Yes","No"
"California","Merced County","12","3","0","15","660","245.65","No","Yes"
"California","Modoc County","2","0","0","2","60","682.21","Yes","No"
"California","Mono County","2","0","0","2","60","429.15","Yes","Yes"
"California","Monterey County","33","7","5","45","3,065","704.22","No","No"
"California","Napa County","18","4","2","24","1,490","1,048.07","No","No"
"California","Nevada County","12","4","1","17","1,035","1,044.33","Yes","No"
"California","Orange County","260","67","22","349","20,550","647.75","No","No"
"California","Placer County","26","13","3","42","2,905","763.41","No","No"
"California","Plumas County","4","0","0","4","120","644.23","Yes","No"
"California","Riverside County","113","31","6","150","8,140","340.91","No","Yes"
"California","Sacramento County","136","27","14","177","10,630","701.9","No","No"
"California","San Benito County","1","1","0","2","130","218.8","No","Yes"
"California","San Bernardino County","83","19","3","105","5,215","243.68","No","Yes"
"California","San Diego County","320","87","12","419","21,600","651.04","No","No"
"California","San Francisco County","548","34","7","589","21,765","2,499.18","Yes","No"
"California","San Joaquin County","31","9","0","40","1,830","249.42","No","Yes"
"California","San Luis Obispo County","26","11","3","40","2,705","956.21","No","No"
"California","San Mateo County","102","14","5","121","5,835","762.95","No","No"
"California","Santa Barbara County","41","13","3","57","3,355","751.96","No","No"
"California","Santa Clara County","221","31","2","254","10,280","535.58","No","No"
"California","Santa Cruz County","48","10","2","60","2,990","1,088.57","No","No"
"California","Shasta County","39","10","2","51","2,720","1,514.22","Yes","No"
"California","Sierra County","0","0","0","0","0","0","No","Yes"
"California","Siskiyou County","7","1","0","8","310","710.96","Yes","No"
"California","Solano County","37","7","3","47","2,635","598.58","No","No"
"California","Sonoma County","80","19","4","103","5,400","1,073.41","No","No"
"California","Stanislaus County","16","3","1","20","1,055","194.81","Yes","Yes"
"California","Sutter County","8","2","0","10","440","455.25","Yes","Yes"
"California","Tehama County","6","3","1","10","755","1,193.19","Yes","No"
"California","Trinity County","0","0","0","0","0","0","Yes","Yes"
"California","Tulare County","18","4","2","24","1,490","323.61","No","Yes"
"California","Tuolumne County","15","1","1","17","825","1,533.34","Yes","No"
"California","Ventura County","81","17","4","102","5,230","615.48","No","No"
"California","Yolo County","23","0","0","23","690","319.74","Yes","Yes"
"California","Yuba County","4","0","2","6","670","890.07","Yes","No"
"Colorado","Adams County","89","12","4","105","4,970","997.62","Yes","No"
"Colorado","Alamosa County","5","1","0","6","250","1,501.14","Yes","No"
"Colorado","Arapahoe County","51","17","10","78","5,980","938.68","No","No"
"Colorado","Archuleta County","0","0","0","0","0","0","No","Yes"
"Colorado","Baca County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Bent County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Boulder County","43","12","1","56","2,765","858.09","No","No"
"Colorado","Broomfield County","0","0","0","0","0","0","No","Yes"
"Colorado","Chaffee County","5","1","0","6","250","1,311.79","Yes","No"
"Colorado","Cheyenne County","0","0","0","0","0","0","No","Yes"
"Colorado","Clear Creek County","2","0","2","4","610","6,464.6","No","No"
"Colorado","Conejos County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Costilla County","0","0","0","0","0","0","No","Yes"
"Colorado","Crowley County","0","0","0","0","0","0","No","Yes"
"Colorado","Custer County","0","0","0","0","0","0","No","Yes"
"Colorado","Delta County","2","0","0","2","60","197.1","Yes","Yes"
"Colorado","Denver County","188","17","15","220","11,465","1,654.26","Yes","No"
"Colorado","Dolores County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Douglas County","12","2","2","16","1,110","337.76","No","Yes"
"Colorado","Eagle County","3","1","0","4","190","351.92","No","Yes"
"Colorado","Elbert County","0","0","0","0","0","0","Yes","Yes"
"Colorado","El Paso County","46","11","3","60","3,305","480.18","Yes","No"
"Colorado","Fremont County","3","0","0","3","90","189.69","Yes","Yes"
"Colorado","Garfield County","4","0","0","4","120","203.78","Yes","Yes"
"Colorado","Gilpin County","0","0","0","0","0","0","No","Yes"
"Colorado","Grand County","0","0","0","0","0","0","No","Yes"
"Colorado","Gunnison County","0","0","0","0","0","0","No","Yes"
"Colorado","Hinsdale County","0","0","0","0","0","0","No","Yes"
"Colorado","Huerfano County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Jackson County","0","0","0","0","0","0","No","Yes"
"Colorado","Jefferson County","34","10","1","45","2,295","401.34","No","Yes"
"Colorado","Kiowa County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Kit Carson County","0","0","0","0","0","0","No","Yes"
"Colorado","Lake County","0","0","0","0","0","0","No","Yes"
"Colorado","La Plata County","5","2","0","7","350","629.24","No","No"
"Colorado","Larimer County","54","11","5","70","4,095","1,204.44","No","No"
"Colorado","Las Animas County","1","0","0","1","30","212.72","Yes","Yes"
"Colorado","Lincoln County","0","0","0","0","0","0","No","Yes"
"Colorado","Logan County","1","0","0","1","30","136.87","Yes","Yes"
"Colorado","Mesa County","32","2","1","35","1,435","956.14","No","No"
"Colorado","Mineral County","0","0","0","0","0","0","No","Yes"
"Colorado","Moffat County","3","1","0","4","190","1,449.39","Yes","No"
"Colorado","Montezuma County","5","0","0","5","150","555.58","Yes","No"
"Colorado","Montrose County","3","2","0","5","290","699.28","No","No"
"Colorado","Morgan County","2","0","0","2","60","212.21","No","Yes"
"Colorado","Otero County","2","0","0","2","60","327.96","Yes","Yes"
"Colorado","Ouray County","0","0","0","0","0","0","No","Yes"
"Colorado","Park County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Phillips County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Pitkin County","3","1","0","4","190","1,070.3","No","No"
"Colorado","Prowers County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Pueblo County","29","5","2","36","1,920","1,162.77","Yes","No"
"Colorado","Rio Blanco County","2","0","0","2","60","916.73","Yes","No"
"Colorado","Rio Grande County","1","0","0","1","30","261.35","Yes","Yes"
"Colorado","Routt County","3","0","0","3","90","365.14","Yes","Yes"
"Colorado","Saguache County","0","0","0","0","0","0","No","Yes"
"Colorado","San Juan County","0","0","0","0","0","0","No","Yes"
"Colorado","San Miguel County","0","0","0","0","0","0","No","Yes"
"Colorado","Sedgwick County","0","0","0","0","0","0","No","Yes"
"Colorado","Summit County","4","1","0","5","220","724.3","No","No"
"Colorado","Teller County","0","0","0","0","0","0","Yes","Yes"
"Colorado","Washington County","0","0","0","0","0","0","No","Yes"
"Colorado","Weld County","20","7","2","29","1,850","627.26","No","No"
"Colorado","Yuma County","5","0","0","5","150","1,484.71","No","No"
"Connecticut","Fairfield County","111","30","9","150","8,805","932.56","No","No"
"Connecticut","Hartford County","152","60","18","230","15,510","1,738.03","No","No"
"Connecticut","Litchfield County","14","6","0","20","1,020","558.69","No","No"
"Connecticut","Middlesex County","56","12","1","69","3,155","1,931.68","No","No"
"Connecticut","New Haven County","311","78","24","413","23,730","2,769.37","No","No"
"Connecticut","New London County","37","11","3","51","3,035","1,124.9","No","No"
"Connecticut","Tolland County","22","8","3","33","2,285","1,512.06","No","No"
"Connecticut","Windham County","11","5","0","16","830","714.33","No","No"
"Delaware","Kent County","14","4","0","18","820","469.04","Yes","Yes"
"Delaware","New Castle County","80","19","17","116","8,975","1,611.35","Yes","No"
"Delaware","Sussex County","13","3","3","19","1,515","687.85","Yes","No"
"District of Columbia","District of Columbia","156","27","2","185","7,930","1,164.17","No","No"
"Florida","Alachua County","45","15","11","71","5,875","2,229.64","No","No"
"Florida","Baker County","1","0","0","1","30","107.38","Yes","Yes"
"Florida","Bay County","21","9","3","33","2,355","1,280.07","Yes","No"
"Florida","Bradford County","1","0","1","2","305","1,132.73","Yes","No"
"Florida","Brevard County","45","19","6","70","4,900","846.1","Yes","No"
"Florida","Broward County","162","51","18","231","14,910","780.78","No","No"
"Florida","Calhoun County","1","0","0","1","30","208","No","Yes"
"Florida","Charlotte County","14","6","2","22","1,570","879.72","No","No"
"Florida","Citrus County","10","0","0","10","300","208.88","Yes","Yes"
"Florida","Clay County","18","7","5","30","2,615","1,255.33","Yes","No"
"Florida","Collier County","21","12","2","35","2,380","651.81","No","No"
"Florida","Columbia County","6","4","1","11","855","1,233.78","Yes","No"
"Florida","DeSoto County","0","1","0","1","100","279.33","No","Yes"
"Florida","Dixie County","0","0","0","0","0","0","Yes","Yes"
"Florida","Duval County","97","33","25","155","13,085","1,412.68","Yes","No"
"Florida","Escambia County","23","7","5","35","2,765","877.26","No","No"
"Florida","Flagler County","2","1","3","6","985","909.43","No","No"
"Florida","Franklin County","0","0","0","0","0","0","No","Yes"
"Florida","Gadsden County","2","0","0","2","60","130.42","No","Yes"
"Florida","Gilchrist County","0","0","0","0","0","0","No","Yes"
"Florida","Glades County","1","1","0","2","130","930.57","No","No"
"Florida","Gulf County","1","0","0","1","30","187.62","No","Yes"
"Florida","Hamilton County","0","0","0","0","0","0","No","Yes"
"Florida","Hardee County","1","0","1","2","305","1,114.77","No","No"
"Florida","Hendry County","0","0","0","0","0","0","No","Yes"
"Florida","Hernando County","12","6","1","19","1,235","675.47","Yes","No"
"Florida","Highlands County","4","2","1","7","595","589.59","No","No"
"Florida","Hillsborough County","133","39","16","188","12,290","893.01","No","No"
"Florida","Holmes County","2","1","0","3","160","821.06","Yes","No"
"Florida","Indian River County","17","5","3","25","1,835","1,210.72","Yes","No"
"Florida","Jackson County","2","0","2","4","610","1,264.8","No","No"
"Florida","Jefferson County","0","0","0","0","0","0","No","Yes"
"Florida","Lafayette County","0","1","0","1","100","1,160.5","No","No"
"Florida","Lake County","16","6","5","27","2,455","731.97","No","No"
"Florida","Lee County","55","25","6","86","5,800","802.95","No","No"
"Florida","Leon County","9","7","3","19","1,795","623.65","No","No"
"Florida","Levy County","2","0","0","2","60","150.15","Yes","Yes"
"Florida","Liberty County","0","0","0","0","0","0","No","Yes"
"Florida","Madison County","1","0","0","1","30","164.62","No","Yes"
"Florida","Manatee County","31","6","8","45","3,730","992.32","No","No"
"Florida","Marion County","18","15","3","36","2,865","820.87","Yes","No"
"Florida","Martin County","16","7","1","24","1,455","916.82","No","No"
"Florida","Miami-Dade County","190","38","6","234","11,150","410.99","No","Yes"
"Florida","Monroe County","6","3","1","10","755","954.77","No","No"
"Florida","Nassau County","4","6","2","12","1,270","1,575.25","Yes","No"
"Florida","Okaloosa County","7","3","5","15","1,885","937.02","Yes","No"
"Florida","Okeechobee County","3","2","0","5","290","719.35","No","No"
"Florida","Orange County","104","38","5","147","8,295","631.1","No","No"
"Florida","Osceola County","18","10","1","29","1,815","540.15","No","No"
"Florida","Palm Beach County","225","68","29","322","21,525","1,490.85","No","No"
"Florida","Pasco County","21","8","4","33","2,530","493.79","Yes","No"
"Florida","Pinellas County","71","34","13","118","9,105","947.72","No","No"
"Florida","Polk County","26","8","1","35","1,855","278.47","No","Yes"
"Florida","Putnam County","8","4","0","12","640","885.48","Yes","No"
"Florida","St. Johns County","11","14","1","26","2,005","852.88","No","No"
"Florida","St. Lucie County","29","8","5","42","3,045","993.45","No","No"
"Florida","Santa Rosa County","5","3","3","11","1,275","747.81","No","No"
"Florida","Sarasota County","29","15","5","49","3,745","907.73","No","No"
"Florida","Seminole County","8","14","5","27","3,015","661.94","No","No"
"Florida","Sumter County","4","2","1","7","595","479.85","No","No"
"Florida","Suwannee County","0","0","0","0","0","0","Yes","Yes"
"Florida","Taylor County","0","0","0","0","0","0","Yes","Yes"
"Florida","Union County","1","0","0","1","30","198.12","No","Yes"
"Florida","Volusia County","48","15","7","70","4,865","919.03","No","No"
"Florida","Wakulla County","0","0","0","0","0","0","No","Yes"
"Florida","Walton County","7","0","1","8","485","736.09","No","No"
"Florida","Washington County","1","1","1","3","405","1,648.42","No","No"
"Georgia","Appling County","1","3","0","4","330","1,790.75","Yes","No"
"Georgia","Atkinson County","0","0","0","0","0","0","No","Yes"
"Georgia","Bacon County","1","1","0","2","130","1,143.16","Yes","No"
"Georgia","Baker County","0","0","0","0","0","0","No","Yes"
"Georgia","Baldwin County","2","0","0","2","60","132.91","Yes","Yes"
"Georgia","Banks County","0","0","0","0","0","0","No","Yes"
"Georgia","Barrow County","1","1","0","2","130","168.56","Yes","Yes"
"Georgia","Bartow County","1","0","1","2","305","293.81","Yes","Yes"
"Georgia","Ben Hill County","1","0","0","1","30","173.98","Yes","Yes"
"Georgia","Berrien County","0","0","0","0","0","0","No","Yes"
"Georgia","Bibb County","15","6","1","22","1,325","867.37","Yes","No"
"Georgia","Bleckley County","0","1","0","1","100","771.01","Yes","No"
"Georgia","Brantley County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Brooks County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Bryan County","2","1","0","3","160","441.62","Yes","Yes"
"Georgia","Bulloch County","8","3","1","12","815","1,090.71","Yes","No"
"Georgia","Burke County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Butts County","0","0","0","0","0","0","No","Yes"
"Georgia","Calhoun County","0","0","0","0","0","0","No","Yes"
"Georgia","Camden County","3","2","1","6","565","1,065.88","No","No"
"Georgia","Candler County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Carroll County","7","3","0","10","510","438.67","Yes","Yes"
"Georgia","Catoosa County","2","3","0","5","360","542.19","Yes","No"
"Georgia","Charlton County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Chatham County","28","11","3","42","2,765","956.48","Yes","No"
"Georgia","Chattahoochee County","3","0","0","3","90","824.02","No","No"
"Georgia","Chattooga County","0","0","0","0","0","0","Yes","Yes"
