County,2020 Total Population,2020 Psychiatrist Total,Ratio of 2020 Population to Psychiatrist,"Ratio of Psychiatrists to 100,000 Population",Rank
Marion,"10,294",0,-,0,-
Martin,"6,044",0,-,0,-
Mason,"3,899",0,-,0,-
Matagorda,"37,064",1,"37,064.00",2.7,67
Maverick,"59,938",1,"59,938.00",1.7,77
McCulloch,"8,660",0,-,0,-
McLennan,"253,066",23,"11,002.90",9.1,21
McMullen,783,0,-,0,-
Medina,"50,594",0,-,0,-
Menard,"2,188",0,-,0,-
Midland,"187,364",11,"17,033.10",5.9,40
Milam,"24,635",0,-,0,-
Mills,"4,870",0,-,0,-
Mitchell,"9,865",0,-,0,-
Montague,"19,199",0,-,0,-
Montgomery,"613,951",43,"14,277.90",7,30
Moore,"21,575",0,-,0,-
Morris,"12,448",0,-,0,-
Motley,"1,172",0,-,0,-
Nacogdoches,"64,106",3,"21,368.70",4.7,48
Navarro,"47,985",0,-,0,-
Newton,"13,724",0,-,0,-
Nolan,"15,642",0,-,0,-
Nueces,"383,718",23,"16,683.40",6,38
Ochiltree,"11,309",0,-,0,-
Oldham,"2,200",0,-,0,-
Orange,"86,155",1,"86,155.00",1.2,84
Palo Pinto,"27,859",0,-,0,-
Panola,"24,576",0,-,0,-
Parker,"135,621",4,"33,905.30",2.9,64
Parmer,"9,200",0,-,0,-
Pecos,"16,533",0,-,0,-
Polk,"49,080",0,-,0,-
Potter,"122,706",15,"8,180.40",12.2,10
Presidio,"5,906",0,-,0,-
Rains,"11,378",0,-,0,-
Randall,"138,104",0,-,0,-
Reagan,"4,226",0,-,0,-
Real,"3,407",0,-,0,-
Red River,"12,610",0,-,0,-
Reeves,"15,707",0,-,0,-
Refugio,"7,573",0,-,0,-
Roberts,983,0,-,0,-
Robertson,"16,888",0,-,0,-
Rockwall,"102,243",4,"25,560.80",3.9,53
Runnels,"11,009",0,-,0,-
Rusk,"52,767",0,-,0,-
Sabine,"9,936",0,-,0,-
San Augustine,"8,405",0,-,0,-
San Jacinto,"28,844",0,-,0,-
San Patricio,"71,325",0,-,0,-
San Saba,"5,873",0,-,0,-
Schleicher,"3,312",0,-,0,-
Scurry,"18,368",0,-,0,-
Shackelford,"3,405",0,-,0,-
Shelby,"25,545",0,-,0,-
Sherman,"3,276",0,-,0,-
Smith,"235,143",21,"11,197.30",8.9,22
Somervell,"9,294",0,-,0,-
Starr,"64,731",1,"64,731.00",1.5,79
Stephens,"9,570",0,-,0,-
Sterling,"1,252",0,-,0,-
Stonewall,"1,523",0,-,0,-
Sutton,"4,381",0,-,0,-
Swisher,"7,414",0,-,0,-
Tarrant,"2,143,755",152,"14,103.70",7.1,29
Taylor,"139,457",10,"13,945.70",7.2,28
Terrell,"1,054",0,-,0,-
Terry,"13,040",0,-,0,-
Throckmorton,"1,519",0,-,0,-
Titus,"32,953",2,"16,476.50",6.1,36
Tom Green,"123,276",10,"12,327.60",8.1,24
Travis,"1,291,502",241,"5,358.90",18.7,6
Trinity,"14,233",0,-,0,-
Tyler,"21,343",0,-,0,-
Upshur,"41,655",1,"41,655.00",2.4,70
Upton,"3,983",0,-,0,-
Uvalde,"27,937",1,"27,937.00",3.6,57
Val Verde,"48,253",1,"48,253.00",2.1,73
Van Zandt,"55,469",0,-,0,-
Victoria,"97,744",3,"32,581.30",3.1,61
Walker,"73,997",1,"73,997.00",1.4,80
Waller,"50,731",2,"25,365.50",3.9,52
Ward,"13,592",0,-,0,-
Washington,"35,155",2,"17,577.50",5.7,42
Webb,"276,183",8,"34,522.90",2.9,65
Wharton,"41,941",1,"41,941.00",2.4,71
Wheeler,"5,783",0,-,0,-
Wichita,"133,138",25,"5,325.50",18.8,5
Wilbarger,"13,038",5,"2,607.60",38.3,1
Willacy,"22,134",0,-,0,-
Williamson,"589,914",55,"10,725.70",9.3,20
Wilson,"51,802",1,"51,802.00",1.9,74
Winkler,"9,295",0,-,0,-
Wise,"65,807",2,"32,903.50",3,62
Wood,"45,292",0,-,0,-
Yoakum,"9,225",0,-,0,-
Young,"18,712",0,-,0,-
Zapata,"14,409",0,-,0,-
Zavala,"12,682",0,-,0,-
