"County","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","FIPS","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013"
"Ellis County","177,721","18",10.1,"28",15.8,"139",78.2,"16",9,"60",33.8,"104",58.5,"48139","Metropolitan Statistical Area","Central","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Erath County","41,526","22",53,"5",12,"50",120.4,"6",14.4,"17",40.9,"21",50.6,"48143","Micropolitan Statistical Area","Central","44500","Stephenville, TX","Micropolitan Statistical Area-Central",4,"TX",5,3
"Falls County","16,603","4",24.1,"4",24.1,"11",66.3,"2",12,"2",12,"1",6,"48145","Metropolitan Statistical Area","Outlying","47380","Waco, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2
"Fannin County","34,597","4",11.6,"15",43.4,"13",37.6,"12",34.7,"13",37.6,"10",28.9,"48147","Micropolitan Statistical Area","Central","14300","Bonham, TX","Micropolitan Statistical Area-Central",6,"TX",6,4
"Fayette County","26,086","0",0,"0",0,"5",19.2,"6",23,"4",15.3,"12",46,"48149",NA,NA,NA,NA,NA,6,"TX",6,4
"Fisher County","3,985","0",0,"0",0,"1",25.1,"0",0,"1",25.1,"2",50.2,"48151",NA,NA,NA,NA,NA,8,"TX",6,7
"Floyd County","5,786","0",0,"0",0,"3",51.8,"1",17.3,"1",17.3,"3",51.8,"48153",NA,NA,NA,NA,NA,6,"TX",6,6
"Foard County","1,240","0",0,"0",0,"0",0,"2",161.3,"1",80.6,"0",0,"48155",NA,NA,NA,NA,NA,9,"TX",6,10
"Fort Bend County","840,383","122",14.5,"175",20.8,"573",68.2,"46",5.5,"256",30.5,"539",64.1,"48157","Metropolitan Statistical Area","Central","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Franklin County","10,924","2",18.3,"1",9.2,"3",27.5,"1",9.2,"4",36.6,"3",27.5,"48159",NA,NA,NA,NA,NA,7,"TX",6,9
"Freestone County","19,860","0",0,"0",0,"7",35.2,"0",0,"1",5,"9",45.3,"48161",NA,NA,NA,NA,NA,7,"TX",6,9
"Frio County","20,023","0",0,"2",10,"3",15,"0",0,"1",5,"10",49.9,"48163","Micropolitan Statistical Area","Central","37770","Pearsall, TX","Micropolitan Statistical Area-Central",6,"TX",6,4
"Gaines County","22,121","1",4.5,"0",0,"3",13.6,"1",4.5,"1",4.5,"8",36.2,"48165",NA,NA,NA,NA,NA,7,"TX",6,9
"Galveston County","355,196","79",22.2,"71",20,"191",53.8,"42",11.8,"92",25.9,"245",69,"48167","Metropolitan Statistical Area","Central","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Garza County","6,784","2",29.5,"0",0,"3",44.2,"1",14.7,"1",14.7,"2",29.5,"48169",NA,NA,NA,NA,NA,6,"TX",6,6
"Gillespie County","26,191","5",19.1,"5",19.1,"14",53.5,"2",7.6,"7",26.7,"30",114.5,"48171","Micropolitan Statistical Area","Central","23240","Fredericksburg, TX","Micropolitan Statistical Area-Central",7,"TX",5,8
"Glasscock County","1,365","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48173",NA,NA,NA,NA,NA,8,"TX",5,5
"Goliad County","7,717","1",13,"1",13,"7",90.7,"0",0,"2",25.9,"1",13,"48175","Metropolitan Statistical Area","Outlying","47020","Victoria, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Gonzales County","21,347","3",14.1,"1",4.7,"5",23.4,"1",4.7,"4",18.7,"9",42.2,"48177",NA,NA,NA,NA,NA,6,"TX",6,4
"Gray County","24,252","3",12.4,"1",4.1,"12",49.5,"6",24.7,"4",16.5,"12",49.5,"48179","Micropolitan Statistical Area","Central","37420","Pampa, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Grayson County","131,710","36",27.3,"21",15.9,"94",71.4,"23",17.5,"46",34.9,"124",94.1,"48181","Metropolitan Statistical Area","Central","43300","Sherman-Denison, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Gregg County","125,730","49",39,"35",27.8,"106",84.3,"32",25.5,"44",35,"150",119.3,"48183","Metropolitan Statistical Area","Central","30980","Longview, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Grimes County","28,930","3",10.4,"1",3.5,"9",31.1,"2",6.9,"0",0,"14",48.4,"48185",NA,NA,NA,NA,NA,6,"TX",6,4
"Guadalupe County","170,266","25",14.7,"47",27.6,"111",65.2,"19",11.2,"80",47,"61",35.8,"48187","Metropolitan Statistical Area","Central","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Hale County","33,202","11",33.1,"3",9,"37",111.4,"7",21.1,"4",12,"19",57.2,"48189","Micropolitan Statistical Area","Central","38380","Plainview, TX","Micropolitan Statistical Area-Central",4,"TX",5,5
"Hall County","3,305","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48191",NA,NA,NA,NA,NA,9,"TX",6,12
"Hamilton County","8,220","4",48.7,"1",12.2,"5",60.8,"2",24.3,"1",12.2,"10",121.7,"48193",NA,NA,NA,NA,NA,6,"TX",6,6
"Hansford County","5,820","0",0,"0",0,"2",34.4,"0",0,"0",0,"4",68.7,"48195",NA,NA,NA,NA,NA,7,"TX",6,9
"Hardeman County","3,870","0",0,"3",77.5,"0",0,"2",51.7,"0",0,"3",77.5,"48197",NA,NA,NA,NA,NA,9,"TX",6,9
"Hardin County","56,486","8",14.2,"2",3.5,"26",46,"18",31.9,"7",12.4,"10",17.7,"48199","Metropolitan Statistical Area","Outlying","13140","Beaumont-Port Arthur, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2
"Harris County","4,978,845","993",19.9,"1,722",34.6,"3,204",64.4,"335",6.7,"1,771",35.6,"4,416",88.7,"48201","Metropolitan Statistical Area","Central","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",1,1
"Harrison County","68,247","12",17.6,"6",8.8,"37",54.2,"9",13.2,"11",16.1,"16",23.4,"48203","Metropolitan Statistical Area","Outlying","30980","Longview, TX","Metropolitan Statistical Area-Outlying",4,"TX",5,5
"Hartley County","6,067","0",0,"1",16.5,"1",16.5,"0",0,"1",16.5,"8",131.9,"48205",NA,NA,NA,NA,NA,7,"TX",6,11
"Haskell County","6,197","1",16.1,"1",16.1,"2",32.3,"2",32.3,"1",16.1,"4",64.5,"48207",NA,NA,NA,NA,NA,6,"TX",6,6
"Hays County","234,896","72",30.7,"88",37.5,"214",91.1,"27",11.5,"121",51.5,"150",63.9,"48209","Metropolitan Statistical Area","Central","12420","Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Hemphill County","4,644","0",0,"0",0,"2",43.1,"1",21.5,"0",0,"6",129.2,"48211",NA,NA,NA,NA,NA,7,"TX",6,11
"Henderson County","81,179","10",12.3,"17",20.9,"28",34.5,"18",22.2,"5",6.2,"43",53,"48213","Micropolitan Statistical Area","Central","11980","Athens, TX","Micropolitan Statistical Area-Central",4,"TX",5,3
"Hidalgo County","870,366","126",14.5,"84",9.7,"433",49.7,"235",27,"249",28.6,"546",62.7,"48215","Metropolitan Statistical Area","Central","32580","McAllen-Edinburg-Mission, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Hill County","35,673","9",25.2,"6",16.8,"15",42,"3",8.4,"8",22.4,"12",33.6,"48217",NA,NA,NA,NA,NA,6,"TX",6,4
"Hockley County","24,636","1",4.1,"1",4.1,"15",60.9,"4",16.2,"3",12.2,"11",44.7,"48219","Micropolitan Statistical Area","Central","30220","Levelland, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Hood County","58,643","9",15.3,"9",15.3,"53",90.4,"17",29,"15",25.6,"42",71.6,"48221","Micropolitan Statistical Area","Central","24180","Granbury, TX","Micropolitan Statistical Area-Central",1,"TX",2,1
"Hopkins County","37,040","4",10.8,"7",18.9,"22",59.4,"17",45.9,"17",45.9,"15",40.5,"48223","Micropolitan Statistical Area","Central","44860","Sulphur Springs, TX","Micropolitan Statistical Area-Central",6,"TX",5,3
"Houston County","22,620","3",13.3,"4",17.7,"11",48.6,"4",17.7,"5",22.1,"5",22.1,"48225",NA,NA,NA,NA,NA,7,"TX",6,9
"Howard County","41,236","3",7.3,"9",21.8,"10",24.3,"12",29.1,"11",26.7,"19",46.1,"48227","Micropolitan Statistical Area","Central","13700","Big Spring, TX","Micropolitan Statistical Area-Central",4,"TX",5,5
"Hudspeth County","3,400","0",0,"0",0,"0",0,"0",0,"0",0,"1",29.4,"48229","Metropolitan Statistical Area","Outlying","21340","El Paso, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2
"Hunt County","95,324","13",13.6,"18",18.9,"74",77.6,"13",13.6,"36",37.8,"51",53.5,"48231","Metropolitan Statistical Area","Outlying","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Hutchinson County","21,461","0",0,"0",0,"1",4.7,"4",18.6,"2",9.3,"8",37.3,"48233","Micropolitan Statistical Area","Central","14420","Borger, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Irion County","1,508","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48235","Metropolitan Statistical Area","Outlying","41660","San Angelo, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Jack County","8,841","3",33.9,"0",0,"2",22.6,"2",22.6,"0",0,"9",101.8,"48237",NA,NA,NA,NA,NA,6,"TX",6,4
"Jackson County","15,899","0",0,"0",0,"7",44,"0",0,"2",12.6,"9",56.6,"48239",NA,NA,NA,NA,NA,6,"TX",6,6
"Jasper County","35,525","1",2.8,"0",0,"17",47.9,"9",25.3,"8",22.5,"15",42.2,"48241",NA,NA,NA,NA,NA,6,"TX",6,6
"Jeff Davis County","2,113","0",0,"0",0,"1",47.3,"0",0,"1",47.3,"1",47.3,"48243",NA,NA,NA,NA,NA,9,"TX",6,12
"Jefferson County","258,678","78",30.2,"29",11.2,"170",65.7,"88",34,"70",27.1,"181",70,"48245","Metropolitan Statistical Area","Central","13140","Beaumont-Port Arthur, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Jim Hogg County","5,077","0",0,"0",0,"0",0,"1",19.7,"2",39.4,"0",0,"48247",NA,NA,NA,NA,NA,6,"TX",6,6
"Jim Wells County","42,890","15",35,"1",2.3,"25",58.3,"13",30.3,"6",14,"22",51.3,"48249","Micropolitan Statistical Area","Central","10860","Alice, TX","Micropolitan Statistical Area-Central",4,"TX",5,5
"Johnson County","171,701","27",15.7,"30",17.5,"108",62.9,"22",12.8,"49",28.5,"64",37.3,"48251","Metropolitan Statistical Area","Central","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Jones County","19,735","3",15.2,"0",0,"5",25.3,"3",15.2,"2",10.1,"4",20.3,"48253","Metropolitan Statistical Area","Outlying","10180","Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Karnes County","15,393","3",19.5,"0",0,"5",32.5,"1",6.5,"4",26,"5",32.5,"48255",NA,NA,NA,NA,NA,6,"TX",6,4
"Kaufman County","125,134","38",30.4,"29",23.2,"81",64.7,"19",15.2,"47",37.6,"43",34.4,"48257","Metropolitan Statistical Area","Outlying","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Kendall County","46,278","19",41.1,"7",15.1,"60",129.7,"5",10.8,"9",19.4,"48",103.7,"48259","Metropolitan Statistical Area","Outlying","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Kenedy County","476","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48261","Micropolitan Statistical Area","Outlying","28780","Kingsville, TX","Micropolitan Statistical Area-Outlying",9,"TX",5,8
"Kent County","795","0",0,"0",0,"0",0,"1",125.8,"0",0,"0",0,"48263",NA,NA,NA,NA,NA,9,"TX",6,10
"Kerr County","52,267","58",111,"24",45.9,"72",137.8,"5",9.6,"26",49.7,"53",101.4,"48265","Micropolitan Statistical Area","Central","28500","Kerrville, TX","Micropolitan Statistical Area-Central",4,"TX",5,3
"Kimble County","4,344","0",0,"0",0,"0",0,"0",0,"2",46,"2",46,"48267",NA,NA,NA,NA,NA,7,"TX",6,9
"King County","309","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48269",NA,NA,NA,NA,NA,9,"TX",6,12
"Kinney County","3,462","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48271",NA,NA,NA,NA,NA,7,"TX",6,10
