"fips","Name","pov_perc_all","pov_perc_under_18","pov_perc_under_5","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment"
"48121","Denton County","6.9000000000000004","7.5999999999999996",".","1.4876","0.2331","18.874400000000001","2.7136999999999998","2.3043",859064,1188,781,"     2.9"
"48123","DeWitt County","20.5","27.600000000000001",".","1.8009999999999999","*","16.1172","5.0061","2.8083",20187,115,60,"     3.1"
"48125","Dickens County","18.899999999999999","27.699999999999999",".","*","0","15.702500000000001","*","*",2249,371.02,211.88,"     3.4"
"48127","Dimmit County","25.5","34.399999999999999",".","2.1739000000000002","*","16.729700000000001","1.7013","2.4575",10308,66,64,"     3.7"
"48129","Donley County","16.300000000000001","24.800000000000001",".","2.8938999999999999","0","17.041799999999999","2.2507999999999999","5.1447000000000003",3319,12,9,"     2.8"
"48131","Duval County","20","32.100000000000001",".","2.4096000000000002","0","20.8584","3.0872999999999999","3.9910000000000001",11212,28,12,"     5.4"
"48133","Eastland County","17","23.199999999999999",".","0.95140000000000002","*","16.404199999999999","2.1654","2.395",18322,80,65,"     3.9"
"48135","Ector County","13.6","17.899999999999999",".","2.2334999999999998","0.1613","17.037600000000001","2.0076999999999998","2.3464",162124,636,450,"     5.1"
"48137","Edwards County","19.100000000000001","31.800000000000001",".","*","0","11.5578","*","*",1928,8,1,"     2.8"
"48139","Ellis County","7.9000000000000004","11.1",".","1.5049999999999999","0.2041","20.681100000000001","3.1631","2.6528999999999998",179436,465,460,"     3.1"
"48141","El Paso County","17.600000000000001","22.699999999999999",".","1.6697","0.2069","15.4533","2.0859000000000001","2.2174",840758,2330,1435,"     4.3"
"48143","Erath County","12.6","15.5",".","0.90910000000000002","0.93130000000000002","17.649699999999999","1.3304","2.4390000000000001",42446,72,72,"     2.9"
"48145","Falls County","20","25.199999999999999",".","3.125","*","19.067799999999998","3.3898000000000001","3.0720000000000001",17335,35,30,"     3.7"
"48147","Fannin County","15.4","17.5",".","1.4551000000000001","0.2298","18.858899999999998","4.0781000000000001","2.9102000000000001",35286,452,452,"     2.9"
"48149","Fayette County","9.4000000000000004","14.4",".","1.5448999999999999","*","15.750400000000001","1.5851","2.5482",25349,27,12,"     3.1"
"48151","Fisher County","13.300000000000001","17.600000000000001",".","2.2624","0","18.401199999999999","1.6591","*",3839,7,5,"     3.0"
"48153","Floyd County","17.699999999999999","29.5",".","*","0","15.648899999999999","2.1627999999999998","1.7811999999999999",5837,NA,NA,"     3.9"
"48155","Foard County","16.800000000000001","29.899999999999999",".","*","0","21.343900000000001","7.5099","*",1200,NA,NA,"     2.4"
"48157","Fort Bend County","7.4000000000000004","9.4000000000000004",".","1.2157","0.29980000000000001","13.7463","1.7153","3.1333000000000002",787858,987,2847,"     4.0"
"48159","Franklin County","12.9","20.399999999999999",".","1.5531999999999999","0.71679999999999999","19.653500000000001","2.7479","4.0023999999999997",10766,34,46,"     3.0"
"48161","Freestone County","13.300000000000001","16.699999999999999",".","1.6886000000000001","*","18.5366","3.2645","2.7017000000000002",19808,56,47,"     5.5"
"48163","Frio County","22.300000000000001","28.800000000000001",".","2.2606000000000002","*","13.829800000000001","2.3936000000000002","4.7872000000000003",19816,348,48,"     3.3"
"48165","Gaines County","11.1","19.800000000000001",".","1.2295","*","15.437200000000001","1.776","1.571",20901,21,17,"     2.8"
"48167","Galveston County","9.9000000000000004","14.1",".","2.7056","0.15210000000000001","18.475899999999999","3.3868999999999998","3.0529000000000002",337890,1123,832,"     4.6"
"48169","Garza County","20.600000000000001","23.399999999999999",".","*","0","16.465900000000001","*","*",6578,65.67,46.25,"     3.1"
"48171","Gillespie County","9.1999999999999993","15.199999999999999",".","1.7751999999999999","*","17.0867","1.5375000000000001","1.4423999999999999",26804,10,4,"     2.4"
"48173","Glasscock County","7.2999999999999998","9.9000000000000004",".","*","0","7.3620000000000001","*","0",1388,1,NA,"     2.8"
"48175","Goliad County","13.199999999999999","20.800000000000001",".","2.1930000000000001","*","17.368400000000001","3.4211","2.8069999999999999",7584,30,14,"     4.5"
"48177","Gonzales County","14.300000000000001","22.300000000000001",".","1.4974000000000001","*","13.513500000000001","1.8992","2.1183000000000001",20826,93,65,"     2.7"
"48179","Gray County","14.199999999999999","18",".","1.7705","*","16.377300000000002","4.4603000000000002","2.9281999999999999",21895,56,49,"     4.5"
"48181","Grayson County","13.6","20.800000000000001",".","2.093","0.17630000000000001","19.580300000000001","4.1474000000000002","2.8531",133991,379,277,"     3.3"
"48183","Gregg County","18.100000000000001","26.300000000000001",".","1.8127","0.1678","19.241399999999999","3.2225999999999999","3.1286",123707,697,497,"     4.4"
"48185","Grimes County","15.300000000000001","20.600000000000001",".","1.8555999999999999","*","19.4405","2.5977999999999999","2.5121000000000002",28360,72,58,"     4.6"
"48187","Guadalupe County","8.5","10.699999999999999",".","1.6491","0.107","15.459199999999999","2.8639999999999999","2.1652999999999998",163694,364,250,"     3.1"
"48189","Hale County","17.600000000000001","24.600000000000001",".","1.9461999999999999","*","19.433299999999999","2.1179000000000001","2.5758000000000001",33830,95,56,"     4.3"
"48191","Hall County","18.600000000000001","36.700000000000003",".","1.9783999999999999","0","14.748200000000001","2.5179999999999998","*",3028,5,8,"     3.4"
"48193","Hamilton County","14.699999999999999","20.899999999999999",".","2.4496000000000002","*","23.559100000000001","1.9452","3.17",8484,12,13,"     2.9"
"48195","Hansford County","10.699999999999999","15.4",".","*","0","14.979799999999999","*","2.0243000000000002",5463,3,3,"     2.2"
"48197","Hardeman County","15","23.600000000000001",".","2.2663000000000002","0","15.864000000000001","4.6741999999999999","1.8413999999999999",3922,8,3,"     3.3"
"48199","Hardin County","10.4","12.9",".","1.4731000000000001","*","20.098199999999999","7.3993000000000002","2.7429999999999999",57207,154,162,"     5.6"
"48201","Harris County","15.9","23.300000000000001",".","1.6759999999999999","0.1996","16.064","2.7395999999999998","3.0329999999999999",4698619,8673,6609,"     4.4"
"48203","Harrison County","15.6","21.899999999999999",".","1.5785","0.1797","21.5092","3.6191","2.5154000000000001",66726,250,238,"     4.8"
"48205","Hartley County","9.5","9.0999999999999996",".","*","*","15.866400000000001","*","*",5619,15.1,9.15,"     1.5"
"48207","Haskell County","20","25.600000000000001",".","1.3613","0","14.0314","1.9895","2.0941999999999998",5813,377.77,330.55,"     2.7"
"48209","Hays County","9.5999999999999996","9.9000000000000004",".","1.8166","9.2700000000000005E-2","17.226900000000001","3.3428","1.6620999999999999",222631,356,219,"     2.8"
"48211","Hemphill County","9.5","14.5",".","*","0","8.7335999999999991","*","*",3825,4.89,0.82,"     3.3"
"48213","Henderson County","14.199999999999999","22.600000000000001",".","1.9655","0.1047","20.2836","3.4397000000000002","2.3039000000000001",82299,350,389,"     3.5"
"48215","Hidalgo County","23.899999999999999","32.5",".","1.8611","0.15260000000000001","22.032399999999999","3.2322000000000002","2.4125000000000001",865939,1055,936,"     7.0"
"48217","Hill County","14","20.399999999999999",".","1.7277","*","19.289899999999999","2.3353000000000002","2.5440999999999998",36354,139,100,"     3.4"
"48219","Hockley County","12.9","19.5",".","1.5530999999999999","*","17.644500000000001","2.0708000000000002","2.3296000000000001",22980,75,58,"     3.7"
"48221","Hood County","9.4000000000000004","14.800000000000001",".","1.4714","*","19.304200000000002","2.0951","1.7053",60537,142,98,"     3.6"
"48223","Hopkins County","12.699999999999999","18.899999999999999",".","1.877","*","19.934000000000001","5.1963999999999997","2.8675999999999999",36810,94,83,"     3.0"
"48225","Houston County","20","27.699999999999999",".","1.4085000000000001","*","15.4636","2.7582","2.8169",23169,92,76,"     3.4"
"48227","Howard County","15.699999999999999","17.800000000000001",".","2.2837999999999998","*","15.9598","2.5829","2.3382000000000001",36459,58,57,"     5.4"
"48229","Hudspeth County","24.199999999999999","33.100000000000001",".","*","0","7.4074","*","*",4795,107,102,"     3.7"
"48231","Hunt County","12.6","17.600000000000001",".","2.2978999999999998","0.11169999999999999","21.343699999999998","6.8140000000000001","3.5347",96493,347,215,"     3.6"
"48233","Hutchinson County","12.1","15.4",".","1.5116000000000001","*","15.1495","2.7545000000000002","1.9819",21198,60,49,"     4.6"
"48235","Irion County","6.9000000000000004","7.4000000000000004",".","*","0","9.6153999999999993","*","0",1522,5.51,3.89,"     3.1"
"48237","Jack County","13.6","18.399999999999999",".","1.34","0","17.755400000000002","2.7637999999999998","2.2612999999999999",8843,15,17,"     3.8"
"48239","Jackson County","12.699999999999999","17.5",".","2.1707999999999998","*","18.668600000000001","1.3507","3.4731999999999998",14874,60,43,"     3.3"
"48241","Jasper County","17.300000000000001","24.899999999999999",".","1.7390000000000001","*","20.945699999999999","7.1512000000000002","3.2044000000000001",35872,94,88,"     6.9"
"48243","Jeff Davis County","22.199999999999999","59.700000000000003",".","*","0","7.6596000000000002","*","*",2252,NA,NA,"     2.9"
"48245","Jefferson County","18.300000000000001","25.899999999999999",".","1.5366","0.32619999999999999","19.196200000000001","6.8369","3.5697000000000001",255001,945,663,"     6.9"
"48247","Jim Hogg County","20.100000000000001","30.5",".","2.4779","0","21.061900000000001","*","3.0087999999999999",5248,11,6,"     6.4"
"48249","Jim Wells County","20.100000000000001","32.899999999999999",".","2.5823999999999998","0.30220000000000002","22.774699999999999","4.6978","4.4504999999999999",40822,61,55,"     6.9"
"48251","Johnson County","9.5","11.699999999999999",".","1.5044999999999999","0.20749999999999999","22.567299999999999","4.2911000000000001","3.1126999999999998",171361,805,623,"     3.2"
"48253","Jones County","19.5","21.199999999999999",".","1.7008000000000001","*","16.005199999999999","2.0933000000000002","2.9655",19817,35,22,"     4.0"
"48255","Karnes County","17.5","22.899999999999999",".","1.8519000000000001","*","17.5381","2.3420000000000001","4.4118000000000004",15650,10,NA,"     3.1"
"48257","Kaufman County","9.1999999999999993","12.699999999999999",".","1.7758","0.17580000000000001","21.0989","4.0526999999999997","2.9098999999999999",128622,422,364,"     3.4"
"48259","Kendall County","6.7000000000000002","8.5999999999999996",".","1.6324000000000001","*","15.8857","1.7533000000000001","1.9045000000000001",45641,55,39,"     2.7"
"48261","Kenedy County","10.800000000000001","13.800000000000001",".","*","0","*","*","*",442,1.23,0.99,"     4.3"
"48263","Kent County","11.300000000000001","12.300000000000001",".","*","0","28.682200000000002","*","*",726,5.33,3.75,"     2.3"
"48265","Kerr County","11.6","16.5",".","1.99","*","16.786799999999999","1.8099000000000001","2.0587",52405,135,204,"     3.3"
"48267","Kimble County","15.699999999999999","32.700000000000003",".","1.2422","*","13.250500000000001","1.5528","1.4493",4362,11,14,"     2.9"
"48269","King County","12.4","21.300000000000001",".","0","0","*","*","*",277,43.98,25.12,"     0.6"
"48271","Kinney County","17.899999999999999","22.699999999999999",".","2.0407999999999999","0","9.1837","*","*",3767,28,28,"     4.7"
"48273","Kleberg County","20.800000000000001","30",".","1.5103","*","19.130400000000002","3.524","4.2104999999999997",31129,91.77,74.01,"     4.9"
"48275","Knox County","16.300000000000001","24.600000000000001",".","2.4077000000000002","0","21.348299999999998","3.3708","5.9390000000000001",3653,8,4,"     3.4"
"48277","Lamar County","19.600000000000001","26.899999999999999",".","1.754","0.27929999999999999","18.869399999999999","6.2786","3.2845",49728,152,82,"     4.0"
"48279","Lamb County","17.600000000000001","24.5",".","1.0465","*","14.9419","1.9186000000000001","2.1511999999999998",13158,43,39,"     3.6"
"48281","Lampasas County","10","18",".","1.7650999999999999","*","17.4985","2.4954000000000001","2.1911",21229,27,26,"     3.3"
"48283","La Salle County","24","28.300000000000001",".","2.1604999999999999","0","11.728400000000001","1.6975","3.7037",7531,NA,NA,"     2.7"
"48285","Lavaca County","10.6","14.5",".","1.6276999999999999","0","20.040700000000001","2.8483999999999998","3.5859999999999999",20110,29,22,"     3.2"
"48287","Lee County","10.6","15",".","2.2545999999999999","*","17.594999999999999","3.3599000000000001","3.1387999999999998",17144,44,20,"     3.2"
"48289","Leon County","13.800000000000001","17.899999999999999",".","1.5290999999999999","*","16.177399999999999","2.8134999999999999","1.6514",17270,30,19,"     5.1"
"48291","Liberty County","14.4","20",".","1.8196000000000001","*","18.333300000000001","5.9480000000000004","3.1345999999999998",86323,225,122,"     6.5"
"48293","Limestone County","16.800000000000001","19.699999999999999",".","1.5054000000000001","0.67259999999999998","23.382400000000001","3.0108999999999999","5.8296000000000001",23519,839,132,"     4.5"
"48295","Lipscomb County","11.300000000000001","14.800000000000001",".","*","0","11.447100000000001","*","*",3355,3,2,"     2.4"
"48297","Live Oak County","17","23.800000000000001",".","2.0491999999999999","*","17.459","4.0164","3.6065999999999998",12166,46.27,41.54,"     4.6"
"48299","Llano County","10.9","20.300000000000001",".","2.6364999999999998","*","17.535","3.8919999999999999","1.2345999999999999",21646,40,35,"     3.6"
"48301","Loving County","3.8999999999999999","11.300000000000001",".","0","0","0","*","0",152,1.77,1.38,"     0.8"
"48303","Lubbock County","15.800000000000001","18.399999999999999",".","1.6691","0.26690000000000003","19.392099999999999","2.5175999999999998","2.8601999999999999",307412,1211,1174,"     3.0"
"48305","Lynn County","14.4","19.600000000000001",".","*","0","17.451499999999999","1.8006","1.5235000000000001",5877,15,44,"     2.9"
"48307","McCulloch County","16.199999999999999","27.100000000000001",".","1.3815999999999999","*","15.6579","1.5132000000000001","2.0394999999999999",7987,21,16,"     4.4"
"48309","McLennan County","17","20.699999999999999",".","1.9419","0.14019999999999999","21.305299999999999","2.7195","3.8073000000000001",254607,1562,1241,"     3.4"
"48311","McMullen County","9.6999999999999993","12",".","0","0","13.6364","*","*",749,2.73,2.46,"     2.0"
"48313","Madison County","17.399999999999999","21.600000000000001",".","1.8385","*","21.7334","3.0859999999999999","2.6920999999999999",14422,36,17,"     4.0"
"48315","Marion County","20","31.100000000000001",".","1.5419","0","20.9251","4.13","3.1387999999999998",9928,33,28,"     5.1"
"48317","Martin County","11.1","17",".","2.4390000000000001","0","18.118500000000001","2.4390000000000001","3.1358999999999999",5753,7,4,"     3.2"
"48319","Mason County","9.8000000000000007","20.100000000000001",".","1.7957000000000001","0","15.8249","*","*",4280,2,0,"     3.0"
"48321","Matagorda County","17.300000000000001","24",".","2.1938","*","16.773299999999999","3.0392999999999999","3.1993",36552,120,119,"     6.2"
"48323","Maverick County","20","27.899999999999999",".","2.0872000000000002","*","14.181900000000001","1.0249999999999999","2.3668",58485,102,18,"    10.2"
"48325","Medina County","11.199999999999999","17.199999999999999",".","1.7091000000000001","*","16.494399999999999","3.5771000000000002","3.4579",50921,78,63,"     3.4"
"48327","Menard County","19.100000000000001","34.5",".","*","0","14.226800000000001","2.6804000000000001","*",2139,5,2,"     3.7"
"48329","Midland County","9.6999999999999993","13.1",".","1.8556999999999999","0.13539999999999999","17.362200000000001","2.0787","2.23",172578,464,399,"     3.5"
"48331","Milam County","17.399999999999999","24",".","2.2761999999999998","*","18.056000000000001","5.9981999999999998","2.1839",25131,105,67,"     3.9"
"48333","Mills County","14.4","22.800000000000001",".","1.8059000000000001","0","16.14","3.4988999999999999","2.2572999999999999",4921,4,4,"     3.7"
"48335","Mitchell County","18.699999999999999","21.899999999999999",".","1.8692","*","16.3032","2.3883999999999999","2.9076",8145,16,36,"     4.9"
"48337","Montague County","12.4","18.199999999999999",".","1.3453999999999999","*","16.351900000000001","2.9237000000000002","2.6907999999999999",19596,61,52,"     3.2"
"48339","Montgomery County","8.1999999999999993","10.9",".","1.6004","0.1593","17.011099999999999","2.9874999999999998","2.1486000000000001",590925,939,750,"     4.0"
"48341","Moore County","10.6","14.800000000000001",".","1.4730000000000001","*","17.2941","1.4184000000000001","2.2913000000000001",21485,39,26,"     2.3"
"48343","Morris County","17","25.100000000000001",".","1.5238","*","18.381","4.2857000000000003","3.7143000000000002",12339,27,13,"     7.4"
"48345","Motley County","16.300000000000001","27.5",".","*","0","12.890599999999999","*","*",1234,NA,NA,"     4.1"
"48347","Nacogdoches County","19.5","23.5",".","1.6587000000000001","*","15.7643","3.0122","2.9060999999999999",65711,233,0,"     3.8"
"48349","Navarro County","14.800000000000001","21.899999999999999",".","1.8321000000000001","0.27029999999999998","21.594799999999999","3.1987000000000001","3.7242999999999999",49565,211,218,"     3.7"
"48351","Newton County","21.300000000000001","27.899999999999999",".","1.7283999999999999","0","21.728400000000001","9.2592999999999996","3.2715999999999998",13746,579,154,"     7.4"
"48353","Nolan County","17.199999999999999","24.399999999999999",".","1.7234","*","21.360499999999998","2.5396999999999998","3.4014000000000002",14751,43,31,"     3.4"
"48355","Nueces County","17.5","25.899999999999999",".","2.2107999999999999","0.29160000000000003","19.005099999999999","5.4573999999999998","4.1866000000000003",362265,1044,500,"     5.0"
"48357","Ochiltree County","9.1999999999999993","14.199999999999999",".","1.0837000000000001","0","9.8521999999999998","*","1.8718999999999999",9947,25,25,"     3.1"
"48359","Oldham County","14","28.800000000000001",".","*","0","11.0266","*","*",2131,7,4,"     2.7"
"48361","Orange County","15.1","21.100000000000001",".","1.4085000000000001","0.2074","18.986799999999999","6.5728","2.7951000000000001",83572,181,103,"     6.4"
"48363","Palo Pinto County","13.9","20.899999999999999",".","2.0348999999999999","*","20.526399999999999","3.5390000000000001","2.8090999999999999",28875,97,81,"     3.9"
"48365","Panola County","15.300000000000001","19.5",".","1.4339","*","14.152100000000001","2.8367","1.7767999999999999",23148,43,35,"     4.8"
"48367","Parker County","8","9.8000000000000007",".","1.7363","*","19.2668","3.5823","2.6463999999999999",138371,425,363,"     3.0"
"48369","Parmer County","12.199999999999999","17.699999999999999",".","*","0","12.7256","1.3537999999999999","1.1733",9864,32,0,"     1.9"
"48371","Pecos County","16.5","19.699999999999999",".","1.2574000000000001","*","12.9054","1.456","2.7134",15673,27,31,"     5.0"
"48373","Polk County","15","22.899999999999999",".","1.8247","*","15.6747","2.3546999999999998","1.9115",50031,955,215,"     6.0"
"48375","Potter County","20.800000000000001","29.199999999999999",".","2.4615999999999998","0.23719999999999999","18.981000000000002","3.2385000000000002","2.9685999999999999",119648,612,461,"     3.0"
"48377","Presidio County","19.399999999999999","32.399999999999999",".","1.2397","0","8.4298000000000002","*","*",6948,73,76,"     7.0"
"48379","Rains County","13.6","20.300000000000001",".","2.2069999999999999","*","20.402200000000001","4.6101000000000001","2.5011999999999999",12159,22,20,"     2.9"
"48381","Randall County","9.5999999999999996","11.6",".","1.4556","0.1348","17.6629","2.0284","1.9004000000000001",136271,364,179,"     2.5"
"48383","Reagan County","8.3000000000000007","10.1",".","*","0","13.2013","3.9603999999999999","*",3741,78,17,"     4.7"
"48385","Real County","16.399999999999999","32.100000000000001",".","2.1964999999999999","0","16.763000000000002","2.0809000000000002","5.5491000000000001",3478,NA,NA,"     4.5"
"48387","Red River County","15.699999999999999","25.600000000000001",".","1.5564","*","18.248999999999999","6.5369999999999999","2.8016000000000001",12175,31,26,"     4.5"
