Fiscal Year,County,Adult Disabled 18-64: Population,Adult Disabled 18-64: % of Population,65 and older: Population,65 and older: % of Population,Total Population
2019,Mason,192,5,1196,31,3901
2019,Matagorda,2674,7,6455,17,37064
2019,Maverick,4886,8,7805,13,59379
2019,McCulloch,602,7,2085,24,8619
2019,McLennan,16370,7,36983,15,251303
2019,McMullen,49,6,262,34,774
2019,Medina,3670,7,8553,17,50118
2019,Menard,132,6,703,32,2185
2019,Midland,8657,5,17531,10,181073
2019,Milam,2314,9,5359,22,24655
2019,Mills,444,9,1356,28,4876
2019,Mitchell,968,10,1685,17,9802
2019,Montague,1744,9,4388,23,19247
2019,Montgomery,31254,5,82228,14,595887
2019,Moore,1418,7,2501,12,21612
2019,Morris,1058,8,2908,23,12506
2019,Motley,63,5,393,33,1174
2019,Nacogdoches,5777,9,10231,16,63981
2019,Navarro,4267,9,8843,18,47977
2019,Newton,2070,15,2784,20,13784
2019,Nolan,1381,9,2862,18,15589
2019,Nueces,27113,7,53540,14,379038
2019,Ochiltree,560,5,1281,11,11190
2019,Oldham,99,5,422,19,2192
2019,Orange,7071,8,15319,18,85744
2019,Palo Pinto,2683,10,5609,20,27891
2019,Panola,1739,7,4730,19,24531
2019,Parker,7836,6,23449,18,133578
2019,Parmer,666,7,1348,15,9288
2019,Pecos,1071,6,2267,14,16477
2019,Polk,5541,11,9719,20,48689
2019,Potter,7980,7,17033,14,122653
2019,Presidio,447,7,1386,23,6049
2019,Rains,957,8,2798,25,11325
2019,Randall,7648,6,21141,16,136026
2019,Reagan,181,4,577,14,4122
2019,Real,181,5,1094,32,3403
2019,Red River,1082,9,3137,25,12645
2019,Reeves,857,6,2038,13,15501
2019,Refugio,769,10,1787,24,7563
2019,Roberts,57,6,240,25,977
2019,Robertson,1305,8,3352,20,16856
2019,Rockwall,4762,5,13574,14,99619
2019,Runnels,617,6,2494,23,10948
2019,Rusk,4019,8,9115,17,52822
2019,Sabine,1165,12,3005,30,10019
2019,San Augustine,1101,13,2326,28,8445
2019,San Jacinto,3039,11,6222,22,28602
2019,San Patricio,4787,7,11265,16,70615
2019,San Saba,406,7,1448,25,5890
2019,Schleicher,132,4,654,20,3300
2019,Scurry,1391,8,2716,15,18208
2019,Shackelford,320,9,689,20,3394
2019,Shelby,2287,9,4497,18,25565
2019,Sherman,278,9,547,17,3239
2019,Smith,15560,7,38798,17,232715
2019,Somervell,402,4,1987,22,9194
2019,Starr,5667,9,8045,12,64444
2019,Stephens,786,8,1981,21,9573
2019,Sterling,104,8,300,24,1238
2019,Stonewall,108,7,466,31,1519
2019,Sutton,158,4,895,21,4350
2019,Swisher,708,10,1477,20,7444
2019,Tarrant,120069,6,250084,12,2108938
2019,Taylor,11609,8,20642,15,138697
2019,Terrell,31,3,322,31,1048
2019,Terry,953,7,2001,15,13001
2019,Throckmorton,116,8,421,28,1528
2019,Titus,2309,7,5019,15,32934
2019,Tom Green,8066,7,19073,16,121814
2019,Travis,61394,5,124094,10,1265178
2019,Trinity,1924,13,3875,27,14285
2019,Tyler,3028,14,4749,22,21379
2019,Upshur,3786,9,7880,19,41389
2019,Upton,145,4,729,19,3916
2019,Uvalde,2112,8,4585,17,27729
2019,Val Verde,3715,8,7210,15,48334
2019,Van Zandt,4726,9,11906,22,55170
2019,Victoria,6670,7,15118,16,96533
2019,Walker,3131,4,9827,13,73219
2019,Waller,3370,7,6778,14,49950
2019,Ward,811,6,1830,14,13230
2019,Washington,2300,7,7498,21,35010
2019,Webb,15563,6,26816,10,273467
2019,Wharton,2904,7,7477,18,41883
2019,Wheeler,427,7,1250,22,5751
2019,Wichita,11832,9,21317,16,133012
2019,Wilbarger,1361,10,2593,20,13085
2019,Willacy,2050,9,3123,14,22157
2019,Williamson,28319,5,71311,12,570803
2019,Wilson,3039,6,8842,17,50837
2019,Winkler,557,6,1088,12,9022
2019,Wise,5531,8,11000,17,65160
2019,Wood,4292,10,12421,28,44993
2019,Yoakum,414,5,1197,13,9060
2019,Young,1119,6,4098,22,18695
2019,Zapata,1172,8,1884,13,14403
2019,Zavala,1643,13,1729,14,12572
2019,Unknown,,,,,
2019,Out of State,,,,,
2019,None Specified,,,,,
2018,Anderson,4925,8,8645,15,58293
2018,Andrews,957,5,2046,10,20388
2018,Angelina,8452,9,14231,16,89860
2018,Aransas,2276,9,7299,27,26700
2018,Archer,593,7,1684,20,8452
2018,Armstrong,63,3,560,29,1954
2018,Atascosa,2949,6,7508,15,50265
2018,Austin,1945,6,5847,19,30002
2018,Bailey,426,6,1074,14,7582
2018,Bandera,2036,10,5731,27,21083
2018,Bastrop,6274,7,13228,16,83657
2018,Baylor,303,8,880,24,3640
2018,Bee,3481,10,4172,12,33924
2018,Bell,30191,9,35013,10,345285
2018,Bexar,158115,8,243623,12,2013625
2018,Blanco,856,8,2910,26,11303
2018,Borden,57,8,194,29,675
2018,Bosque,1256,7,4467,25,17828
2018,Bowie,6544,7,15843,17,92615
2018,Brazoria,18006,5,43927,12,362609
2018,Brazos,9785,4,19962,9,221079
2018,Brewster,960,10,1908,21,9192
2018,Briscoe,47,3,437,28,1576
2018,Brooks,651,9,1436,20,7187
2018,Brown,2482,6,8255,21,38827
2018,Burleson,1122,6,3711,21,17589
2018,Burnet,3928,8,10562,22,47080
2018,Caldwell,2997,7,6297,15,42953
2018,Calhoun,2058,9,3962,18,22570
2018,Callahan,1068,8,2936,22,13437
2018,Cameron,23120,5,57610,14,424462
2018,Camp,897,7,2386,18,13145
2018,Carson,271,5,1049,18,5848
2018,Cass,2584,9,6998,23,30399
2018,Castro,336,5,1196,16,7275
2018,Chambers,2271,6,5011,12,40629
2018,Cherokee,3322,6,8875,17,51985
2018,Childress,478,7,1168,17,7078
2018,Clay,856,9,2247,23,9984
2018,Cochran,229,7,545,17,3279
2018,Coke,174,5,897,28,3236
2018,Coleman,608,7,2123,25,8569
2018,Collin,32242,3,107617,11,983202
2018,Collingsworth,179,6,619,20,3172
2018,Colorado,1296,6,4712,22,21199
2018,Comal,9835,7,25612,19,138302
2018,Comanche,951,7,3245,24,13260
2018,Concho,139,3,774,19,4132
2018,Cooke,2795,7,7528,19,39470
2018,Coryell,8756,11,6904,9,77622
2018,Cottle,131,9,440,29,1512
2018,Crane,255,4,758,13,5783
2018,Crockett,188,5,799,20,3982
2018,Crosby,579,9,1338,21,6363
2018,Culberson,318,14,527,23,2275
2018,Dallam,545,8,681,10,7112
2018,Dallas,133813,5,276730,10,2660715
2018,Dawson,1471,11,2059,15,13629
2018,Deaf Smith,863,5,2256,12,18352
2018,Delta,522,10,1300,24,5355
2018,Denton,34589,4,85275,10,844707
2018,DeWitt,1622,8,4334,20,21374
2018,Dickens,271,12,555,25,2204
2018,Dimmit,1362,12,1778,16,11335
2018,Donley,186,5,844,24,3461
2018,Duval,1587,13,2212,19,11814
2018,Eastland,2248,12,4147,23,18307
2018,Ector,11379,7,17328,10,173797
2018,Edwards,259,13,584,29,2012
2018,Ellis,9874,6,22787,13,171816
2018,El Paso,60386,7,108525,13,861806
2018,Erath,2327,6,6002,15,40662
2018,Falls,1913,11,3141,19,16835
2018,Fannin,2611,8,7063,20,34459
2018,Fayette,1709,7,6344,25,25722
2018,Fisher,263,7,1005,25,3985
2018,Floyd,292,5,1257,21,5886
2018,Foard,89,7,361,29,1248
2018,Fort Bend,29108,4,88860,11,781965
2018,Franklin,841,8,2193,20,10847
2018,Freestone,1915,10,3827,19,19872
2018,Frio,1748,9,2585,13,19421
2018,Gaines,1145,5,2201,10,21130
2018,Galveston,23816,7,48481,14,341737
2018,Garza,579,9,784,12,6725
2018,Gillespie,1070,4,7549,29,25848
2018,Glasscock,13,1,282,21,1336
2018,Goliad,515,7,1917,25,7622
2018,Gonzales,1723,8,3681,17,21075
2018,Gray,2384,10,3704,16,23830
2018,Grayson,11261,9,23497,18,129610
2018,Gregg,8709,7,19101,15,125113
2018,Grimes,1609,6,5143,18,28476
2018,Guadalupe,10196,6,22618,14,161541
2018,Hale,1790,5,4600,14,33824
2018,Hall,252,8,809,24,3311
2018,Hamilton,924,11,2040,25,8254
2018,Hansford,304,5,922,16,5780
2018,Hardeman,536,14,762,20,3899
2018,Hardin,4505,8,9620,17,56216
2018,Harris,232512,5,482565,10,4796533
2018,Harrison,3704,5,11171,16,67764
2018,Hartley,322,5,908,15,6041
2018,Haskell,756,12,1348,22,6107
2018,Hays,9956,5,26467,12,216516
2018,Hemphill,366,8,623,14,4426
2018,Henderson,6265,8,18048,22,80755
2018,Hidalgo,53930,6,95656,11,851285
2018,Hill,2906,8,7519,21,35617
2018,Hockley,1888,8,3639,15,24257
2018,Hood,2713,5,14391,25,57119
2018,Hopkins,3115,8,7123,19,36710
2018,Houston,1628,7,4826,21,22832
2018,Howard,4000,10,4887,12,39836
2018,Hudspeth,497,15,715,21,3398
2018,Hunt,7749,8,15579,17,93305
2018,Hutchinson,2129,10,3548,16,21563
2018,Irion,77,5,380,25,1518
2018,Jack,828,9,1524,17,8866
2018,Jackson,1443,9,2797,18,15520
2018,Jasper,2974,8,7042,20,35649
2018,Jeff Davis,135,6,734,34,2151
2018,Jefferson,18783,7,36607,14,257363
2018,Jim Hogg,517,10,899,18,5122
2018,Jim Wells,3010,7,6637,16,42509
2018,Johnson,8716,5,24717,15,167450
2018,Jones,2752,14,3070,16,19790
2018,Karnes,1060,7,2389,16,15238
2018,Kaufman,8232,7,16446,14,120400
2018,Kendall,2487,6,8886,21,43173
2018,Kenedy,32,7,104,22,464
2018,Kent,103,13,242,31,791
2018,Kerr,4286,8,13918,27,51716
2018,Kimble,362,8,1261,29,4387
2018,King,17,6,61,20,303
2018,Kinney,373,11,846,24,3467
2018,Kleberg,2313,7,4314,14,31028
2018,Knox,343,9,861,22,3888
2018,Lamar,3987,8,10024,20,50031
2018,Lamb,1032,8,2406,18,13018
2018,Lampasas,1985,10,4242,20,20727
2018,La Salle,792,10,1316,16,8000
2018,Lavaca,1290,6,4476,22,20324
2018,Lee,966,6,3268,19,17407
2018,Leon,1497,9,4184,24,17504
2018,Liberty,7758,9,12138,15,83276
2018,Limestone,1908,8,4509,19,23556
2018,Lipscomb,235,7,675,19,3573
2018,Live Oak,1111,9,2551,21,11912
2018,Llano,1996,10,6623,34,19408
2018,Loving,10,11,28,31,90
2018,Lubbock,22925,7,40021,13,308208
2018,Lynn,636,11,996,18,5642
2018,Madison,1264,9,2235,16,14312
2018,Marion,968,9,2597,25,10389
2018,Martin,208,4,859,15,5757
2018,Mason,231,6,1176,30,3904
2018,Matagorda,2974,8,6296,17,37045
2018,Maverick,4773,8,7563,13,58820
2018,McCulloch,752,9,2041,24,8576
2018,McLennan,16696,7,36022,14,249470
2018,McMullen,76,10,253,33,766
2018,Medina,3926,8,8337,17,49615
2018,Menard,182,8,693,32,2187
2018,Midland,8622,5,17022,10,175090
2018,Milam,2167,9,5225,21,24662
2018,Mills,522,11,1341,27,4885
2018,Mitchell,663,7,1630,17,9764
2018,Montague,1755,9,4345,23,19298
2018,Montgomery,28760,5,77812,13,578410
2018,Moore,962,4,2436,11,21660
2018,Morris,1110,9,2866,23,12551
2018,Motley,83,7,396,34,1177
2018,Nacogdoches,6082,10,9916,16,63839
2018,Navarro,4034,8,8625,18,47962
2018,Newton,1550,11,2734,20,13847
2018,Nolan,1472,9,2815,18,15524
2018,Nueces,26049,7,51790,14,374431
2018,Ochiltree,538,5,1241,11,11073
2018,Oldham,99,5,412,19,2177
2018,Orange,7330,9,14849,17,85320
2018,Palo Pinto,2550,9,5500,20,27931
2018,Panola,1802,7,4623,19,24471
2018,Parker,8082,6,22329,17,131578
2018,Parmer,622,7,1335,14,9387
2018,Pecos,895,5,2220,14,16397
2018,Polk,5568,12,9477,20,48283
2018,Potter,7860,6,16557,14,122573
2018,Presidio,472,8,1399,23,6206
2018,Rains,907,8,2756,24,11281
2018,Randall,7175,5,20346,15,134004
2018,Reagan,138,3,547,14,4017
2018,Real,267,8,1078,32,3392
2018,Red River,1078,9,3081,24,12673
2018,Reeves,762,5,1987,13,15287
2018,Refugio,773,10,1773,23,7554
2018,Roberts,61,6,226,23,976
2018,Robertson,1300,8,3267,19,16823
2018,Rockwall,4245,4,12778,13,97062
2018,Runnels,614,6,2454,23,10890
2018,Rusk,4074,8,8929,17,52892
2018,Sabine,1275,13,3014,30,10116
2018,San Augustine,1046,12,2318,27,8498
2018,San Jacinto,3235,11,6084,21,28348
2018,San Patricio,4747,7,10909,16,69908
2018,San Saba,413,7,1401,24,5901
2018,Schleicher,149,5,635,19,3292
2018,Scurry,1309,7,2655,15,18045
2018,Shackelford,301,9,672,20,3387
2018,Shelby,2429,9,4475,17,25580
2018,Sherman,242,8,540,17,3211
2018,Smith,15360,7,37617,16,230250
2018,Somervell,368,4,1904,21,9101
2018,Starr,5816,9,7868,12,64118
2018,Stephens,963,10,1959,20,9567
2018,Sterling,129,11,287,23,1227
2018,Stonewall,79,5,459,30,1513
2018,Sutton,162,4,857,20,4325
2018,Swisher,646,9,1464,20,7486
2018,Tarrant,114047,5,238583,12,2074551
2018,Taylor,10861,8,20186,15,137915
2018,Terrell,36,3,316,30,1044
2018,Terry,915,7,2002,15,12961
2018,Throckmorton,118,8,414,27,1537
2018,Titus,2113,6,4876,15,32896
2018,Tom Green,8098,7,18637,15,120367
2018,Travis,57871,5,117300,9,1238590
2018,Trinity,2006,14,3813,27,14321
2018,Tyler,2974,14,4677,22,21396
2018,Upshur,3662,9,7703,19,41140
2018,Upton,123,3,702,18,3853
2018,Uvalde,1831,7,4543,16,27541
2018,Val Verde,3498,7,7126,15,48408
2018,Van Zandt,4981,9,11647,21,54886
2018,Victoria,6706,7,14729,15,95346
2018,Walker,2865,4,9501,13,72447
2018,Waller,2934,6,6509,13,49136
2018,Ward,835,6,1812,14,12880
2018,Washington,2086,6,7340,21,34859
2018,Webb,15686,6,25855,10,270758
2018,Wharton,2783,7,7283,17,41833
2018,Wheeler,379,7,1219,21,5712
2018,Wichita,12364,9,20712,16,132841
2018,Wilbarger,1533,12,2517,19,13130
2018,Willacy,1890,9,3054,14,22162
2018,Williamson,28722,5,66786,12,552353
2018,Wilson,2971,6,8402,17,49908
2018,Winkler,424,5,1064,12,8754
2018,Wise,6006,9,10600,16,64505
2018,Wood,4286,10,12192,27,44666
2018,Yoakum,245,3,1154,13,8899
2018,Young,1257,7,4036,22,18667
2018,Zapata,1286,9,1842,13,14377
2018,Zavala,1605,13,1709,14,12472
2018,Unknown,,,,,
2018,Out of State,,,,,
2018,None Specified,,,,,
2017,Anderson,4937,8,8498,15,58342
2017,Andrews,918,5,1995,10,19526
2017,Angelina,8450,9,13901,16,89557
2017,Aransas,2249,9,7133,27,26228
2017,Archer,598,7,1663,20,8516
2017,Armstrong,64,3,543,28,1952
2017,Atascosa,2913,6,7255,15,49504
2017,Austin,1945,7,5640,19,29801
2017,Bailey,424,6,1057,14,7525
2017,Bandera,2056,10,5517,26,20992
2017,Bastrop,6212,8,12610,15,82448
2017,Baylor,304,8,884,24,3645
2017,Bee,3466,10,4052,12,33657
2017,Bell,29897,9,33971,10,341136
2017,Bexar,155327,8,233868,12,1974510
2017,Blanco,855,8,2798,25,11201
2017,Borden,57,9,194,29,669
2017,Bosque,1265,7,4406,25,17875
2017,Bowie,6555,7,15509,17,92598
2017,Brazoria,17703,5,41661,12,356123
2017,Brazos,9646,4,19075,9,217040
2017,Brewster,970,11,1858,20,9204
2017,Briscoe,47,3,432,27,1582
2017,Brooks,653,9,1417,20,7195
2017,Brown,2483,6,8089,21,38758
2017,Burleson,1129,6,3618,21,17551
2017,Burnet,3910,8,10204,22,46513
2017,Caldwell,2956,7,6097,14,42322
2017,Calhoun,2053,9,3864,17,22436
2017,Callahan,1069,8,2892,22,13442
2017,Cameron,23013,5,55776,13,422582
2017,Camp,894,7,2331,18,13047
2017,Carson,273,5,1041,18,5877
2017,Cass,2601,9,6898,23,30442
2017,Castro,342,5,1170,16,7365
2017,Chambers,2235,6,4733,12,39835
2017,Cherokee,3326,6,8706,17,51873
2017,Childress,479,7,1138,16,7079
2017,Clay,873,9,2193,22,10075
2017,Cochran,229,7,534,16,3251
2017,Coke,174,5,896,28,3246
2017,Coleman,614,7,2128,25,8609
2017,Collin,31324,3,100583,11,956327
2017,Collingsworth,179,6,606,19,3151
2017,Colorado,1303,6,4605,22,21145
2017,Comal,9562,7,24407,18,134065
2017,Comanche,959,7,3229,24,13346
2017,Concho,139,3,765,19,4124
2017,Cooke,2800,7,7323,19,39339
2017,Coryell,8694,11,6783,9,77317
2017,Cottle,131,9,439,29,1514
2017,Crane,245,4,725,13,5577
2017,Crockett,190,5,762,19,3953
2017,Crosby,578,9,1306,21,6326
2017,Culberson,322,14,508,22,2288
2017,Dallam,543,8,661,9,7060
2017,Dallas,132249,5,266549,10,2624075
2017,Dawson,1474,11,2049,15,13644
2017,Deaf Smith,867,5,2239,12,18470
2017,Delta,524,10,1266,24,5340
2017,Denton,33516,4,79475,10,819532
2017,DeWitt,1615,8,4244,20,21199
2017,Dickens,276,12,542,24,2223
2017,Dimmit,1346,12,1738,16,11140
2017,Donley,188,5,842,24,3488
2017,Duval,1589,13,2182,18,11822
2017,Eastland,2263,12,4118,22,18357
2017,Ector,11038,7,16788,10,168589
2017,Edwards,266,13,558,28,2009
2017,Ellis,9722,6,21738,13,168947
2017,El Paso,60070,7,104788,12,854479
2017,Erath,2310,6,5832,14,40231
2017,Falls,1931,11,3114,18,16972
2017,Fannin,2615,8,6887,20,34370
2017,Fayette,1716,7,6197,24,25545
2017,Fisher,264,7,991,25,3979
2017,Floyd,297,5,1229,21,5928
2017,Foard,91,7,360,29,1256
2017,Fort Bend,28151,4,81341,11,754361
2017,Franklin,840,8,2172,20,10802
2017,Freestone,1922,10,3746,19,19863
2017,Frio,1720,9,2514,13,19130
2017,Gaines,1121,5,2101,10,20667
2017,Galveston,23482,7,46146,14,335200
2017,Garza,581,9,763,11,6691
2017,Gillespie,1072,4,7385,29,25682
2017,Glasscock,13,1,265,20,1318
2017,Goliad,514,7,1867,25,7575
2017,Gonzales,1718,8,3603,17,20937
2017,Gray,2363,10,3681,16,23623
2017,Grayson,11210,9,22955,18,128563
2017,Gregg,8722,7,18662,15,124780
2017,Grimes,1611,6,4938,17,28230
2017,Guadalupe,9945,6,21603,14,157370
2017,Hale,1807,5,4556,13,34150
2017,Hall,252,8,814,25,3308
2017,Hamilton,924,11,2067,25,8274
2017,Hansford,303,5,901,16,5753
2017,Hardeman,542,14,770,20,3923
2017,Hardin,4493,8,9328,17,56051
2017,Harris,228608,5,460594,10,4706369
2017,Harrison,3711,5,10886,16,67523
2017,Hartley,322,5,901,15,6040
2017,Haskell,752,12,1328,22,6061
2017,Hays,9594,5,24325,12,207880
2017,Hemphill,358,8,605,14,4336
2017,Henderson,6270,8,17693,22,80527
2017,Hidalgo,53144,6,92319,11,841585
2017,Hill,2914,8,7423,21,35582
2017,Hockley,1883,8,3524,15,24083
2017,Hood,2693,5,13932,25,56362
2017,Hopkins,3118,9,6929,19,36535
2017,Houston,1643,7,4792,21,22931
2017,Howard,3936,10,4820,12,39167
2017,Hudspeth,500,15,682,20,3399
2017,Hunt,7693,8,15114,16,92298
2017,Hutchinson,2147,10,3474,16,21624
2017,Irion,78,5,370,24,1524
2017,Jack,838,9,1473,17,8888
2017,Jackson,1431,9,2725,18,15330
2017,Jasper,2990,8,6917,19,35679
2017,Jeff Davis,139,6,713,33,2168
2017,Jefferson,18822,7,35803,14,256679
2017,Jim Hogg,527,10,880,17,5150
2017,Jim Wells,3010,7,6474,15,42298
2017,Johnson,8643,5,23802,14,165360
2017,Jones,2759,14,3040,15,19827
2017,Karnes,1065,7,2322,15,15171
2017,Kaufman,8096,7,15592,13,118095
2017,Kendall,2414,6,8464,20,41764
2017,Kenedy,33,7,97,21,458
2017,Kent,103,13,238,30,787
2017,Kerr,4287,8,13676,27,51421
2017,Kimble,366,8,1263,29,4420
2017,King,17,6,58,19,301
2017,Kinney,373,11,858,25,3468
2017,Kleberg,2312,7,4264,14,31057
2017,Knox,341,9,863,22,3866
2017,Lamar,4003,8,9847,20,50022
2017,Lamb,1041,8,2377,18,13128
2017,Lampasas,1984,10,4081,20,20581
2017,La Salle,778,10,1274,16,7844
2017,Lavaca,1284,6,4436,22,20155
2017,Lee,964,6,3189,18,17298
2017,Leon,1499,9,4122,24,17414
2017,Liberty,7721,9,11620,14,82278
2017,Limestone,1912,8,4432,19,23538
2017,Lipscomb,235,7,654,18,3541
2017,Live Oak,1113,9,2499,21,11859
2017,Llano,2010,10,6584,34,19387
2017,Loving,11,12,25,28,89
2017,Lubbock,22653,7,38667,13,303884
2017,Lynn,637,11,988,17,5663
2017,Madison,1262,9,2204,15,14223
2017,Marion,975,9,2583,25,10409
2017,Martin,204,4,826,15,5626
2017,Mason,233,6,1160,30,3914
2017,Matagorda,2988,8,6141,17,37030
2017,Maverick,4732,8,7307,13,58254
2017,McCulloch,756,9,1982,23,8539
2017,McLennan,16650,7,34895,14,247655
2017,McMullen,77,10,243,32,761
2017,Medina,3896,8,8079,16,49136
2017,Menard,185,8,684,31,2194
2017,Midland,8342,5,16589,10,169373
2017,Milam,2178,9,5126,21,24661
2017,Mills,525,11,1313,27,4879
2017,Mitchell,664,7,1579,16,9713
2017,Montague,1767,9,4341,22,19350
2017,Montgomery,27974,5,73466,13,561436
2017,Moore,966,4,2389,11,21696
2017,Morris,1125,9,2812,22,12593
2017,Motley,85,7,387,33,1184
2017,Nacogdoches,6105,10,9584,15,63691
2017,Navarro,4055,8,8373,17,47959
2017,Newton,1564,11,2698,19,13912
2017,Nolan,1472,10,2782,18,15478
2017,Nueces,25793,7,50267,14,369869
2017,Ochiltree,533,5,1204,11,10958
2017,Oldham,98,5,401,19,2163
2017,Orange,7329,9,14438,17,84886
2017,Palo Pinto,2555,9,5398,19,27955
2017,Panola,1812,7,4486,18,24402
2017,Parker,8024,6,21230,16,129607
2017,Parmer,631,7,1309,14,9489
2017,Pecos,895,5,2172,13,16313
2017,Polk,5533,12,9297,19,47886
2017,Potter,7879,6,16028,13,122482
2017,Presidio,486,8,1411,22,6371
2017,Rains,909,8,2698,24,11234
2017,Randall,7110,5,19525,15,132035
2017,Reagan,136,3,522,13,3928
2017,Real,272,8,1069,32,3386
2017,Red River,1088,9,3040,24,12701
2017,Reeves,752,5,1951,13,15081
2017,Refugio,776,10,1739,23,7529
2017,Roberts,61,6,217,22,974
2017,Robertson,1300,8,3195,19,16791
2017,Rockwall,4126,4,11976,13,94557
2017,Runnels,612,6,2416,22,10822
2017,Rusk,4100,8,8669,16,52941
2017,Sabine,1288,13,3020,30,10201
2017,San Augustine,1064,12,2290,27,8543
2017,San Jacinto,3226,11,5926,21,28106
2017,San Patricio,4709,7,10593,15,69197
2017,San Saba,417,7,1378,23,5910
2017,Schleicher,151,5,609,18,3292
2017,Scurry,1300,7,2629,15,17902
2017,Shackelford,304,9,661,20,3382
2017,Shelby,2437,10,4412,17,25574
2017,Sherman,241,8,528,17,3177
2017,Smith,15228,7,36640,16,227753
2017,Somervell,367,4,1815,20,9002
2017,Starr,5775,9,7703,12,63778
2017,Stephens,971,10,1915,20,9567
2017,Sterling,128,11,282,23,1218
2017,Stonewall,80,5,451,30,1511
2017,Sutton,161,4,825,19,4295
2017,Swisher,651,9,1442,19,7515
2017,Tarrant,112298,6,227646,11,2040538
2017,Taylor,10813,8,19854,14,137105
2017,Terrell,36,3,307,30,1040
2017,Terry,911,7,1992,15,12915
2017,Throckmorton,118,8,419,27,1548
2017,Titus,2121,6,4741,14,32855
2017,Tom Green,8029,7,18088,15,118925
2017,Travis,56741,5,110748,9,1211795
2017,Trinity,2026,14,3746,26,14371
2017,Tyler,3008,14,4600,21,21446
2017,Upshur,3647,9,7504,18,40887
2017,Upton,123,3,668,18,3780
2017,Uvalde,1806,7,4500,16,27339
2017,Val Verde,3511,7,6996,14,48482
2017,Van Zandt,4980,9,11374,21,54600
2017,Victoria,6621,7,14339,15,94187
2017,Walker,2856,4,9131,13,71699
2017,Waller,2897,6,6206,13,48346
2017,Ward,815,6,1780,14,12543
2017,Washington,2089,6,7179,21,34698
2017,Webb,15460,6,25027,9,267971
2017,Wharton,2789,7,7108,17,41777
2017,Wheeler,379,7,1195,21,5680
2017,Wichita,12405,9,20154,15,132632
2017,Wilbarger,1547,12,2456,19,13181
2017,Willacy,1901,9,2980,13,22174
2017,Williamson,27821,5,62316,12,534550
2017,Wilson,2919,6,8009,16,48995
2017,Winkler,416,5,1045,12,8509
2017,Wise,5965,9,10164,16,63820
2017,Wood,4274,10,12023,27,44331
2017,Yoakum,241,3,1137,13,8752
2017,Young,1267,7,3927,21,18640
2017,Zapata,1288,9,1795,13,14353
2017,Zavala,1596,13,1673,14,12368
2017,Unknown,,,,,
2017,Out of State,,,,,
2017,None Specified,,,,,
2016,Anderson,4952,8,8305,14,58382
2016,Andrews,879,5,1949,10,18708
2016,Angelina,8425,9,13661,15,89219
2016,Aransas,2222,9,6931,27,25763
2016,Archer,605,7,1613,19,8582
2016,Armstrong,65,3,522,27,1951
2016,Atascosa,2872,6,7052,14,48782
2016,Austin,1943,7,5428,18,29603
2016,Bailey,422,6,1037,14,7464
2016,Bandera,2070,10,5315,25,20912
2016,Bastrop,6152,8,11970,15,81259
2016,Baylor,306,8,880,24,3650
2016,Bee,3450,10,3955,12,33379
2016,Bell,29639,9,33036,10,337015
2016,Bexar,152471,8,225050,12,1935868
2016,Blanco,857,8,2678,24,11094
2016,Borden,57,9,192,29,667
2016,Bosque,1275,7,4329,24,17909
2016,Bowie,6564,7,15192,16,92597
2016,Brazoria,17423,5,39701,11,349762
2016,Brazos,9509,4,18240,9,213043
2016,Brewster,983,11,1821,20,9214
2016,Briscoe,48,3,423,27,1587
2016,Brooks,654,9,1410,20,7203
2016,Brown,2489,6,7908,20,38686
2016,Burleson,1131,6,3570,20,17507
2016,Burnet,3876,8,9908,22,45948
2016,Caldwell,2924,7,5838,14,41678
2016,Calhoun,2048,9,3755,17,22287
2016,Callahan,1068,8,2836,21,13447
2016,Cameron,22887,5,54214,13,420614
2016,Camp,888,7,2285,18,12957
2016,Carson,275,5,1029,17,5906
2016,Cass,2617,9,6787,22,30472
2016,Castro,348,5,1144,15,7458
2016,Chambers,2195,6,4559,12,39083
2016,Cherokee,3324,6,8548,17,51738
2016,Childress,481,7,1120,16,7079
2016,Clay,889,9,2143,21,10169
2016,Cochran,228,7,516,16,3219
2016,Coke,175,5,896,28,3257
2016,Coleman,617,7,2129,25,8656
2016,Collin,30446,3,94106,10,930091
2016,Collingsworth,178,6,599,19,3127
2016,Colorado,1309,6,4526,21,21097
2016,Comal,9310,7,23270,18,129967
2016,Comanche,971,7,3193,24,13437
2016,Concho,140,3,741,18,4119
2016,Cooke,2804,7,7146,18,39215
2016,Coryell,8635,11,6627,9,77013
2016,Cottle,132,9,428,28,1507
2016,Crane,238,4,680,13,5376
2016,Crockett,190,5,735,19,3922
2016,Crosby,579,9,1256,20,6274
2016,Culberson,329,14,486,21,2306
2016,Dallam,538,8,662,9,6993
2016,Dallas,130704,5,257288,10,2587530
2016,Dawson,1476,11,2052,15,13666
2016,Deaf Smith,872,5,2208,12,18578
2016,Delta,525,10,1240,23,5323
2016,Denton,32484,4,74061,9,795196
2016,DeWitt,1609,8,4173,20,21030
2016,Dickens,278,12,530,24,2234
2016,Dimmit,1327,12,1697,15,10955
2016,Donley,189,5,841,24,3509
2016,Duval,1601,14,2169,18,11836
2016,Eastland,2280,12,4039,22,18379
2016,Ector,10711,7,16290,10,163571
2016,Edwards,270,13,542,27,2002
2016,Ellis,9570,6,20708,12,166103
2016,El Paso,59660,7,101400,12,847036
2016,Erath,2293,6,5690,14,39847
