Fiscal Year,County,Adult Disabled 18-64: Population,Adult Disabled 18-64: % of Population,65 and older: Population,65 and older: % of Population,Total Population
2021,Kimble,303,7,1316,31,4309
2021,King,34,11,81,26,313
2021,Kinney,450,13,858,25,3458
2021,Kleberg,2128,7,4585,15,30910
2021,Knox,331,8,900,23,3960
2021,Lamar,4400,9,10627,21,50009
2021,Lamb,925,7,2528,20,12672
2021,Lampasas,2393,11,4698,22,21193
2021,La Salle,827,10,1386,16,8479
2021,Lavaca,1111,5,4631,22,20958
2021,Lee,877,5,3604,20,17691
2021,Leon,1619,9,4371,25,17805
2021,Liberty,7490,9,13667,16,86326
2021,Limestone,1880,8,4908,21,23559
2021,Lipscomb,220,6,747,20,3694
2021,Live Oak,1228,10,2652,22,12081
2021,Llano,1941,10,6791,35,19481
2021,Loving,11,12,37,40,93
2021,Lubbock,22997,7,44436,14,321818
2021,Lynn,675,12,1038,19,5562
2021,Madison,1121,8,2357,16,14636
2021,Marion,878,9,2651,26,10255
2021,Martin,227,4,970,16,6195
2021,Mason,179,5,1203,31,3900
2021,Matagorda,2634,7,6734,18,37055
2021,Maverick,4326,7,8269,14,60484
2021,McCulloch,737,8,2195,25,8700
2021,McLennan,16581,7,39227,15,254824
2021,McMullen,55,7,301,38,787
2021,Medina,4267,8,9080,18,51121
2021,Menard,215,10,731,33,2185
2021,Midland,10112,5,18663,10,193981
2021,Milam,2100,9,5617,23,24634
2021,Mills,410,8,1415,29,4863
2021,Mitchell,650,7,1762,18,9895
2021,Montague,1967,10,4484,23,19154
2021,Montgomery,30139,5,92118,15,632702
2021,Moore,881,4,2666,12,21543
2021,Morris,1161,9,3028,24,12393
2021,Motley,53,5,405,35,1165
2021,Nacogdoches,6062,9,10807,17,64181
2021,Navarro,4123,9,9298,19,47962
2021,Newton,1326,10,2852,21,13654
2021,Nolan,1436,9,2951,19,15689
2021,Nueces,26070,7,57203,15,388438
2021,Ochiltree,604,5,1395,12,11431
2021,Oldham,63,3,467,21,2210
2021,Orange,7015,8,16237,19,86539
2021,Palo Pinto,2460,9,5885,21,27815
2021,Panola,1839,7,4947,20,24647
2021,Parker,7850,6,25748,19,137707
2021,Parmer,554,6,1400,15,9097
2021,Pecos,848,5,2367,14,16598
2021,Polk,5496,11,10352,21,49480
2021,Potter,7757,6,18233,15,122765
2021,Presidio,447,8,1352,23,5758
2021,Rains,940,8,2857,25,11425
2021,Randall,7658,5,22818,16,140273
2021,Reagan,119,3,649,15,4326
2021,Real,283,8,1138,33,3415
2021,Red River,1023,8,3201,25,12565
2021,Reeves,886,6,2118,13,15931
2021,Refugio,620,8,1861,25,7589
2021,Roberts,68,7,256,26,991
2021,Robertson,1299,8,3465,20,16924
2021,Rockwall,4006,4,15512,15,104969
2021,Runnels,793,7,2606,24,11072
2021,Rusk,3606,7,9510,18,52713
2021,Sabine,1234,13,3007,31,9840
2021,San Augustine,951,11,2330,28,8365
2021,San Jacinto,3092,11,6586,23,29085
