Fiscal Year,County,Region,Children in DFPS Responsibility
2018,Freestone,7-Austin,54
2018,Frio,8-San Antonio,105
2018,Gaines,9-Midland,54
2018,Galveston,6-Houston,442
2018,Garza,1-Lubbock,4
2018,Gillespie,8-San Antonio,25
2018,Goliad,8-San Antonio,9
2018,Gonzales,8-San Antonio,34
2018,Gray,1-Lubbock,96
2018,Grayson,3-Arlington,358
2018,Gregg,4-Tyler,553
2018,Grimes,7-Austin,59
2018,Guadalupe,8-San Antonio,241
2018,Hale,1-Lubbock,92
2018,Hall,1-Lubbock,22
2018,Hamilton,7-Austin,18
2018,Hansford,1-Lubbock,4
2018,Hardeman,2-Abilene,8
2018,Hardin,5-Beaumont,110
2018,Harris,6-Houston,5670
2018,Harrison,4-Tyler,183
2018,Hartley,1-Lubbock,2
2018,Haskell,2-Abilene,24
2018,Hays,7-Austin,410
2018,Hemphill,1-Lubbock,3
2018,Henderson,4-Tyler,381
2018,Hidalgo,11-Edinburg,1116
2018,Hill,7-Austin,157
2018,Hockley,1-Lubbock,119
2018,Hood,3-Arlington,154
2018,Hopkins,4-Tyler,93
2018,Houston,5-Beaumont,117
2018,Howard,9-Midland,116
2018,Hudspeth,10-El Paso,3
2018,Hunt,3-Arlington,348
2018,Hutchinson,1-Lubbock,76
2018,Irion,9-Midland,1
2018,Jack,2-Abilene,33
2018,Jackson,8-San Antonio,29
2018,Jasper,5-Beaumont,198
2018,Jeff Davis,10-El Paso,2
2018,Jefferson,5-Beaumont,435
2018,Jim Hogg,11-Edinburg,18
2018,Jim Wells,11-Edinburg,161
2018,Johnson,3-Arlington,384
2018,Jones,2-Abilene,73
2018,Karnes,8-San Antonio,74
2018,Kaufman,3-Arlington,163
2018,Kendall,8-San Antonio,23
2018,Kerr,8-San Antonio,95
2018,Kimble,9-Midland,31
2018,Kinney,8-San Antonio,3
2018,Kleberg,11-Edinburg,107
2018,Knox,2-Abilene,3
2018,La Salle,8-San Antonio,9
2018,Lamar,4-Tyler,196
2018,Lamb,1-Lubbock,39
2018,Lampasas,7-Austin,75
2018,Lavaca,8-San Antonio,25
2018,Lee,7-Austin,43
2018,Leon,7-Austin,29
2018,Liberty,6-Houston,264
2018,Limestone,7-Austin,38
2018,Lipscomb,1-Lubbock,1
2018,Live Oak,11-Edinburg,31
2018,Llano,7-Austin,112
2018,Lubbock,1-Lubbock,1291
2018,Lynn,1-Lubbock,6
2018,Madison,7-Austin,15
2018,Marion,4-Tyler,38
2018,Martin,9-Midland,6
2018,Mason,9-Midland,15
2018,Matagorda,6-Houston,100
2018,Maverick,8-San Antonio,23
2018,McCulloch,9-Midland,37
2018,McLennan,7-Austin,1016
2018,Medina,8-San Antonio,139
2018,Menard,9-Midland,14
2018,Midland,9-Midland,184
2018,Milam,7-Austin,149
2018,Mills,7-Austin,12
2018,Mitchell,2-Abilene,32
2018,Montague,2-Abilene,89
2018,Montgomery,6-Houston,804
2018,Moore,1-Lubbock,47
2018,Morris,4-Tyler,51
2018,Motley,1-Lubbock,3
2018,Nacogdoches,5-Beaumont,224
2018,Navarro,3-Arlington,91
2018,Newton,5-Beaumont,34
2018,Nolan,2-Abilene,74
2018,Nueces,11-Edinburg,864
2018,Ochiltree,1-Lubbock,27
2018,Oldham,1-Lubbock,9
2018,Orange,5-Beaumont,267
2018,Palo Pinto,3-Arlington,193
2018,Panola,4-Tyler,71
2018,Parker,3-Arlington,230
2018,Parmer,1-Lubbock,15
2018,Pecos,9-Midland,35
2018,Polk,5-Beaumont,117
2018,Potter,1-Lubbock,591
2018,Presidio,10-El Paso,2
2018,Rains,4-Tyler,38
2018,Randall,1-Lubbock,396
2018,Reagan,9-Midland,14
2018,Real,8-San Antonio,18
2018,Red River,4-Tyler,29
2018,Reeves,9-Midland,16
2018,Refugio,11-Edinburg,16
2018,Robertson,7-Austin,48
2018,Rockwall,3-Arlington,90
2018,Runnels,2-Abilene,37
2018,Rusk,4-Tyler,157
2018,Sabine,5-Beaumont,37
2018,San Augustine,5-Beaumont,20
2018,San Jacinto,5-Beaumont,63
2018,San Patricio,11-Edinburg,181
2018,San Saba,7-Austin,25
2018,Schleicher,9-Midland,11
2018,Scurry,2-Abilene,50
2018,Shackelford,2-Abilene,9
2018,Shelby,5-Beaumont,73
2018,Sherman,1-Lubbock,7
2018,Smith,4-Tyler,470
2018,Somervell,3-Arlington,25
2018,Starr,11-Edinburg,114
2018,Stephens,2-Abilene,18
2018,Stonewall,2-Abilene,2
2018,Sutton,9-Midland,23
2018,Swisher,1-Lubbock,27
2018,Tarrant,3-Arlington,1996
2018,Taylor,2-Abilene,790
2018,Terrell,9-Midland,2
2018,Terry,1-Lubbock,32
2018,Throckmorton,2-Abilene,1
2018,Titus,4-Tyler,91
2018,Tom Green,9-Midland,445
2018,Travis,7-Austin,1861
2018,Trinity,5-Beaumont,55
2018,Tyler,5-Beaumont,69
2018,Upshur,4-Tyler,219
2018,Upton,9-Midland,24
2018,Uvalde,8-San Antonio,92
2018,Val Verde,8-San Antonio,52
2018,Van Zandt,4-Tyler,185
2018,Victoria,8-San Antonio,192
2018,Walker,6-Houston,98
2018,Waller,6-Houston,95
2018,Ward,9-Midland,30
2018,Washington,7-Austin,57
2018,Webb,11-Edinburg,433
2018,Wharton,6-Houston,98
2018,Wheeler,1-Lubbock,9
2018,Wichita,2-Abilene,412
2018,Wilbarger,2-Abilene,31
2018,Willacy,11-Edinburg,38
2018,Williamson,7-Austin,540
2018,Wilson,8-San Antonio,83
2018,Winkler,9-Midland,21
2018,Wise,3-Arlington,147
2018,Wood,4-Tyler,120
2018,Yoakum,1-Lubbock,7
2018,Young,2-Abilene,64
2018,Zapata,11-Edinburg,21
2018,Zavala,8-San Antonio,24
2017,Anderson,4-Tyler,179
2017,Andrews,9-Midland,61
2017,Angelina,5-Beaumont,237
2017,Aransas,11-Edinburg,104
2017,Archer,2-Abilene,11
2017,Atascosa,8-San Antonio,201
2017,Austin,6-Houston,21
2017,Bailey,1-Lubbock,17
2017,Bandera,8-San Antonio,49
2017,Bastrop,7-Austin,202
2017,Baylor,2-Abilene,11
2017,Bee,11-Edinburg,142
2017,Bell,7-Austin,1276
2017,Bexar,8-San Antonio,5437
2017,Blanco,7-Austin,26
2017,Bosque,7-Austin,94
2017,Bowie,4-Tyler,230
2017,Brazoria,6-Houston,268
2017,Brazos,7-Austin,128
2017,Brewster,10-El Paso,4
2017,Briscoe,1-Lubbock,1
2017,Brooks,11-Edinburg,25
2017,Brown,2-Abilene,306
2017,Burleson,7-Austin,54
2017,Burnet,7-Austin,217
2017,Caldwell,7-Austin,148
2017,Calhoun,8-San Antonio,64
2017,Callahan,2-Abilene,25
2017,Cameron,11-Edinburg,729
2017,Camp,4-Tyler,41
2017,Carson,1-Lubbock,17
2017,Cass,4-Tyler,85
2017,Castro,1-Lubbock,17
2017,Chambers,6-Houston,76
2017,Cherokee,4-Tyler,221
2017,Childress,1-Lubbock,26
2017,Clay,2-Abilene,13
2017,Cochran,1-Lubbock,6
2017,Coke,9-Midland,11
2017,Coleman,2-Abilene,40
2017,Collin,3-Arlington,536
2017,Collingsworth,1-Lubbock,5
2017,Colorado,6-Houston,16
2017,Comal,8-San Antonio,417
2017,Comanche,2-Abilene,36
2017,Concho,9-Midland,2
2017,Cooke,3-Arlington,211
2017,Coryell,7-Austin,244
2017,Crane,9-Midland,15
2017,Crockett,9-Midland,26
2017,Crosby,1-Lubbock,40
2017,Culberson,10-El Paso,6
2017,Dallam,1-Lubbock,31
2017,Dallas,3-Arlington,4310
2017,Dawson,9-Midland,32
2017,DeWitt,8-San Antonio,76
2017,Deaf Smith,1-Lubbock,65
2017,Delta,4-Tyler,8
2017,Denton,3-Arlington,744
2017,Dickens,1-Lubbock,4
2017,Dimmit,8-San Antonio,52
2017,Donley,1-Lubbock,23
2017,Duval,11-Edinburg,33
2017,Eastland,2-Abilene,59
2017,Ector,9-Midland,398
2017,Edwards,8-San Antonio,5
2017,El Paso,10-El Paso,648
2017,Ellis,3-Arlington,123
2017,Erath,3-Arlington,51
2017,Falls,7-Austin,42
2017,Fannin,3-Arlington,117
2017,Fayette,7-Austin,64
2017,Fisher,2-Abilene,13
2017,Floyd,1-Lubbock,20
2017,Foard,2-Abilene,1
2017,Fort Bend,6-Houston,313
2017,Franklin,4-Tyler,27
2017,Freestone,7-Austin,38
2017,Frio,8-San Antonio,113
2017,Gaines,9-Midland,38
2017,Galveston,6-Houston,399
2017,Garza,1-Lubbock,10
2017,Gillespie,8-San Antonio,35
2017,Goliad,8-San Antonio,14
2017,Gonzales,8-San Antonio,45
2017,Gray,1-Lubbock,92
2017,Grayson,3-Arlington,386
2017,Gregg,4-Tyler,448
2017,Grimes,7-Austin,50
2017,Guadalupe,8-San Antonio,254
2017,Hale,1-Lubbock,119
2017,Hall,1-Lubbock,13
2017,Hamilton,7-Austin,16
2017,Hansford,1-Lubbock,13
2017,Hardeman,2-Abilene,3
2017,Hardin,5-Beaumont,63
2017,Harris,6-Houston,5893
2017,Harrison,4-Tyler,187
2017,Hartley,1-Lubbock,5
2017,Haskell,2-Abilene,15
2017,Hays,7-Austin,311
2017,Hemphill,1-Lubbock,11
2017,Henderson,4-Tyler,396
2017,Hidalgo,11-Edinburg,1040
2017,Hill,7-Austin,135
2017,Hockley,1-Lubbock,89
2017,Hood,3-Arlington,161
2017,Hopkins,4-Tyler,118
2017,Houston,5-Beaumont,114
2017,Howard,9-Midland,133
2017,Hudspeth,10-El Paso,4
2017,Hunt,3-Arlington,313
2017,Hutchinson,1-Lubbock,76
2017,Irion,9-Midland,1
2017,Jack,2-Abilene,41
2017,Jackson,8-San Antonio,24
2017,Jasper,5-Beaumont,188
2017,Jefferson,5-Beaumont,442
2017,Jim Hogg,11-Edinburg,6
2017,Jim Wells,11-Edinburg,150
2017,Johnson,3-Arlington,465
2017,Jones,2-Abilene,39
2017,Karnes,8-San Antonio,75
2017,Kaufman,3-Arlington,158
2017,Kendall,8-San Antonio,29
2017,Kerr,8-San Antonio,136
2017,Kimble,9-Midland,22
2017,Kinney,8-San Antonio,2
2017,Kleberg,11-Edinburg,86
2017,Knox,2-Abilene,2
2017,La Salle,8-San Antonio,17
2017,Lamar,4-Tyler,209
2017,Lamb,1-Lubbock,45
2017,Lampasas,7-Austin,80
2017,Lavaca,8-San Antonio,28
2017,Lee,7-Austin,48
2017,Leon,7-Austin,28
2017,Liberty,6-Houston,304
2017,Limestone,7-Austin,36
2017,Lipscomb,1-Lubbock,3
2017,Live Oak,11-Edinburg,29
2017,Llano,7-Austin,93
2017,Lubbock,1-Lubbock,1298
2017,Lynn,1-Lubbock,14
2017,Madison,7-Austin,14
2017,Marion,4-Tyler,55
2017,Martin,9-Midland,14
2017,Mason,9-Midland,8
2017,Matagorda,6-Houston,69
2017,Maverick,8-San Antonio,26
2017,McCulloch,9-Midland,36
2017,McLennan,7-Austin,907
2017,Medina,8-San Antonio,140
2017,Menard,9-Midland,10
2017,Midland,9-Midland,205
2017,Milam,7-Austin,166
2017,Mills,7-Austin,15
2017,Mitchell,2-Abilene,18
2017,Montague,2-Abilene,92
2017,Montgomery,6-Houston,652
2017,Moore,1-Lubbock,55
2017,Morris,4-Tyler,31
2017,Motley,1-Lubbock,3
2017,Nacogdoches,5-Beaumont,214
2017,Navarro,3-Arlington,87
2017,Newton,5-Beaumont,40
2017,Nolan,2-Abilene,52
2017,Nueces,11-Edinburg,893
2017,Ochiltree,1-Lubbock,21
2017,Oldham,1-Lubbock,1
2017,Orange,5-Beaumont,266
2017,Out of State,Out of State,2
2017,Palo Pinto,3-Arlington,225
2017,Panola,4-Tyler,78
2017,Parker,3-Arlington,245
2017,Parmer,1-Lubbock,10
2017,Pecos,9-Midland,23
2017,Polk,5-Beaumont,100
2017,Potter,1-Lubbock,496
2017,Rains,4-Tyler,36
2017,Randall,1-Lubbock,348
2017,Reagan,9-Midland,9
2017,Real,8-San Antonio,25
2017,Red River,4-Tyler,45
2017,Reeves,9-Midland,16
2017,Refugio,11-Edinburg,9
2017,Robertson,7-Austin,24
2017,Rockwall,3-Arlington,53
2017,Runnels,2-Abilene,35
2017,Rusk,4-Tyler,168
2017,Sabine,5-Beaumont,38
2017,San Augustine,5-Beaumont,14
2017,San Jacinto,5-Beaumont,62
2017,San Patricio,11-Edinburg,179
2017,San Saba,7-Austin,28
2017,Schleicher,9-Midland,13
2017,Scurry,2-Abilene,36
2017,Shackelford,2-Abilene,6
2017,Shelby,5-Beaumont,79
2017,Sherman,1-Lubbock,8
2017,Smith,4-Tyler,485
2017,Somervell,3-Arlington,25
2017,Starr,11-Edinburg,94
2017,Stephens,2-Abilene,19
2017,Sterling,9-Midland,4
2017,Stonewall,2-Abilene,1
2017,Sutton,9-Midland,20
2017,Swisher,1-Lubbock,21
2017,Tarrant,3-Arlington,1998
2017,Taylor,2-Abilene,707
2017,Terry,1-Lubbock,39
2017,Titus,4-Tyler,85
2017,Tom Green,9-Midland,477
2017,Travis,7-Austin,1856
2017,Trinity,5-Beaumont,56
2017,Tyler,5-Beaumont,48
2017,Upshur,4-Tyler,167
2017,Upton,9-Midland,13
2017,Uvalde,8-San Antonio,93
2017,Val Verde,8-San Antonio,46
2017,Van Zandt,4-Tyler,213
2017,Victoria,8-San Antonio,190
2017,Walker,6-Houston,54
2017,Waller,6-Houston,68
2017,Ward,9-Midland,34
2017,Washington,7-Austin,57
2017,Webb,11-Edinburg,508
2017,Wharton,6-Houston,83
2017,Wheeler,1-Lubbock,5
2017,Wichita,2-Abilene,379
2017,Wilbarger,2-Abilene,39
2017,Willacy,11-Edinburg,45
2017,Williamson,7-Austin,438
2017,Wilson,8-San Antonio,98
2017,Winkler,9-Midland,20
2017,Wise,3-Arlington,157
2017,Wood,4-Tyler,143
2017,Yoakum,1-Lubbock,5
2017,Young,2-Abilene,53
2017,Zapata,11-Edinburg,30
2017,Zavala,8-San Antonio,39
2016,Anderson,4-Tyler,162
2016,Andrews,9-Midland,56
2016,Angelina,5-Beaumont,208
2016,Aransas,11-Edinburg,91
2016,Archer,2-Abilene,5
2016,Armstrong,1-Lubbock,2
2016,Atascosa,8-San Antonio,180
2016,Austin,6-Houston,22
2016,Bailey,1-Lubbock,16
2016,Bandera,8-San Antonio,42
2016,Bastrop,7-Austin,279
2016,Baylor,2-Abilene,8
2016,Bee,11-Edinburg,139
2016,Bell,7-Austin,1137
2016,Bexar,8-San Antonio,4834
2016,Blanco,7-Austin,27
2016,Bosque,7-Austin,78
2016,Bowie,4-Tyler,235
2016,Brazoria,6-Houston,258
2016,Brazos,7-Austin,113
2016,Brewster,10-El Paso,1
2016,Briscoe,1-Lubbock,3
2016,Brooks,11-Edinburg,25
2016,Brown,2-Abilene,211
2016,Burleson,7-Austin,63
2016,Burnet,7-Austin,153
2016,Caldwell,7-Austin,150
2016,Calhoun,8-San Antonio,55
2016,Callahan,2-Abilene,19
2016,Cameron,11-Edinburg,715
2016,Camp,4-Tyler,33
2016,Carson,1-Lubbock,13
2016,Cass,4-Tyler,108
2016,Castro,1-Lubbock,26
2016,Chambers,6-Houston,76
2016,Cherokee,4-Tyler,217
2016,Childress,1-Lubbock,13
2016,Clay,2-Abilene,10
2016,Cochran,1-Lubbock,4
2016,Coke,9-Midland,10
2016,Coleman,2-Abilene,25
2016,Collin,3-Arlington,515
2016,Collingsworth,1-Lubbock,7
2016,Colorado,6-Houston,19
2016,Comal,8-San Antonio,455
2016,Comanche,2-Abilene,24
2016,Concho,9-Midland,2
2016,Cooke,3-Arlington,160
2016,Coryell,7-Austin,220
2016,Crane,9-Midland,11
2016,Crockett,9-Midland,22
2016,Crosby,1-Lubbock,53
2016,Culberson,10-El Paso,2
2016,Dallam,1-Lubbock,29
2016,Dallas,3-Arlington,4626
2016,Dawson,9-Midland,56
2016,DeWitt,8-San Antonio,97
2016,Deaf Smith,1-Lubbock,73
2016,Delta,4-Tyler,13
2016,Denton,3-Arlington,687
2016,Dickens,1-Lubbock,4
2016,Dimmit,8-San Antonio,66
2016,Donley,1-Lubbock,9
2016,Duval,11-Edinburg,46
2016,Eastland,2-Abilene,48
2016,Ector,9-Midland,425
2016,Edwards,8-San Antonio,6
2016,El Paso,10-El Paso,630
2016,Ellis,3-Arlington,132
2016,Erath,3-Arlington,40
2016,Falls,7-Austin,28
2016,Fannin,3-Arlington,76
2016,Fayette,7-Austin,62
2016,Fisher,2-Abilene,3
2016,Floyd,1-Lubbock,18
2016,Foard,2-Abilene,2
2016,Fort Bend,6-Houston,285
2016,Franklin,4-Tyler,33
2016,Freestone,7-Austin,22
2016,Frio,8-San Antonio,120
2016,Gaines,9-Midland,24
2016,Galveston,6-Houston,465
2016,Garza,1-Lubbock,17
2016,Gillespie,8-San Antonio,39
2016,Goliad,8-San Antonio,10
2016,Gonzales,8-San Antonio,58
2016,Gray,1-Lubbock,61
2016,Grayson,3-Arlington,406
2016,Gregg,4-Tyler,429
2016,Grimes,7-Austin,43
2016,Guadalupe,8-San Antonio,264
2016,Hale,1-Lubbock,123
2016,Hall,1-Lubbock,9
2016,Hamilton,7-Austin,24
2016,Hansford,1-Lubbock,17
2016,Hardeman,2-Abilene,5
2016,Hardin,5-Beaumont,63
2016,Harris,6-Houston,5938
2016,Harrison,4-Tyler,180
2016,Hartley,1-Lubbock,5
2016,Haskell,2-Abilene,10
2016,Hays,7-Austin,321
2016,Hemphill,1-Lubbock,15
2016,Henderson,4-Tyler,419
2016,Hidalgo,11-Edinburg,961
2016,Hill,7-Austin,133
2016,Hockley,1-Lubbock,65
2016,Hood,3-Arlington,177
2016,Hopkins,4-Tyler,113
2016,Houston,5-Beaumont,119
2016,Howard,9-Midland,147
2016,Hunt,3-Arlington,311
2016,Hutchinson,1-Lubbock,60
2016,Jack,2-Abilene,32
2016,Jackson,8-San Antonio,29
2016,Jasper,5-Beaumont,133
2016,Jefferson,5-Beaumont,448
2016,Jim Hogg,11-Edinburg,10
2016,Jim Wells,11-Edinburg,134
2016,Johnson,3-Arlington,467
2016,Jones,2-Abilene,29
2016,Karnes,8-San Antonio,69
2016,Kaufman,3-Arlington,153
2016,Kendall,8-San Antonio,27
2016,Kerr,8-San Antonio,174
2016,Kimble,9-Midland,12
2016,Kleberg,11-Edinburg,97
2016,Knox,2-Abilene,2
2016,La Salle,8-San Antonio,15
2016,Lamar,4-Tyler,170
2016,Lamb,1-Lubbock,48
2016,Lampasas,7-Austin,47
2016,Lavaca,8-San Antonio,31
2016,Lee,7-Austin,59
2016,Leon,7-Austin,28
2016,Liberty,6-Houston,275
2016,Limestone,7-Austin,39
2016,Lipscomb,1-Lubbock,1
2016,Live Oak,11-Edinburg,30
2016,Llano,7-Austin,91
2016,Lubbock,1-Lubbock,1160
2016,Lynn,1-Lubbock,18
2016,Madison,7-Austin,11
2016,Marion,4-Tyler,36
2016,Martin,9-Midland,8
2016,Mason,9-Midland,2
2016,Matagorda,6-Houston,59
2016,Maverick,8-San Antonio,24
2016,McCulloch,9-Midland,31
2016,McLennan,7-Austin,885
2016,Medina,8-San Antonio,156
2016,Menard,9-Midland,6
2016,Midland,9-Midland,216
2016,Milam,7-Austin,154
2016,Mills,7-Austin,15
2016,Mitchell,2-Abilene,14
2016,Montague,2-Abilene,103
2016,Montgomery,6-Houston,559
2016,Moore,1-Lubbock,43
2016,Morris,4-Tyler,33
2016,Motley,1-Lubbock,3
2016,Nacogdoches,5-Beaumont,179
2016,Navarro,3-Arlington,85
2016,Newton,5-Beaumont,43
2016,Nolan,2-Abilene,50
2016,Nueces,11-Edinburg,813
2016,Ochiltree,1-Lubbock,16
2016,Oldham,1-Lubbock,1
2016,Orange,5-Beaumont,293
2016,Palo Pinto,3-Arlington,229
2016,Panola,4-Tyler,69
2016,Parker,3-Arlington,321
2016,Parmer,1-Lubbock,13
2016,Pecos,9-Midland,17
2016,Polk,5-Beaumont,91
2016,Potter,1-Lubbock,423
2016,Presidio,10-El Paso,2
2016,Rains,4-Tyler,33
2016,Randall,1-Lubbock,265
2016,Reagan,9-Midland,4
2016,Real,8-San Antonio,19
2016,Red River,4-Tyler,48
2016,Reeves,9-Midland,29
2016,Refugio,11-Edinburg,6
2016,Robertson,7-Austin,17
2016,Rockwall,3-Arlington,50
2016,Runnels,2-Abilene,31
2016,Rusk,4-Tyler,193
2016,Sabine,5-Beaumont,16
2016,San Augustine,5-Beaumont,11
2016,San Jacinto,5-Beaumont,61
2016,San Patricio,11-Edinburg,155
2016,San Saba,7-Austin,45
2016,Schleicher,9-Midland,12
2016,Scurry,2-Abilene,47
2016,Shackelford,2-Abilene,11
2016,Shelby,5-Beaumont,88
2016,Sherman,1-Lubbock,7
2016,Smith,4-Tyler,562
2016,Somervell,3-Arlington,22
2016,Starr,11-Edinburg,59
2016,Stephens,2-Abilene,14
2016,Sterling,9-Midland,4
2016,Sutton,9-Midland,10
2016,Swisher,1-Lubbock,21
2016,Tarrant,3-Arlington,1958
2016,Taylor,2-Abilene,615
2016,Terry,1-Lubbock,35
2016,Titus,4-Tyler,87
2016,Tom Green,9-Midland,503
2016,Travis,7-Austin,1872
2016,Trinity,5-Beaumont,55
2016,Tyler,5-Beaumont,37
2016,Upshur,4-Tyler,116
2016,Upton,9-Midland,8
2016,Uvalde,8-San Antonio,107
2016,Val Verde,8-San Antonio,51
2016,Van Zandt,4-Tyler,236
2016,Victoria,8-San Antonio,213
2016,Walker,6-Houston,59
2016,Waller,6-Houston,81
2016,Ward,9-Midland,28
2016,Washington,7-Austin,63
2016,Webb,11-Edinburg,547
2016,Wharton,6-Houston,45
2016,Wheeler,1-Lubbock,10
2016,Wichita,2-Abilene,338
2016,Wilbarger,2-Abilene,29
2016,Willacy,11-Edinburg,61
2016,Williamson,7-Austin,482
2016,Wilson,8-San Antonio,95
2016,Winkler,9-Midland,22
2016,Wise,3-Arlington,158
2016,Wood,4-Tyler,126
2016,Yoakum,1-Lubbock,6
2016,Young,2-Abilene,32
2016,Zapata,11-Edinburg,29
2016,Zavala,8-San Antonio,41
2015,Anderson,4-Tyler,147
2015,Andrews,9-Midland,41
2015,Angelina,5-Beaumont,205
2015,Aransas,11-Edinburg,100
2015,Archer,2-Abilene,6
2015,Armstrong,1-Lubbock,1
2015,Atascosa,8-San Antonio,214
2015,Austin,6-Houston,27
2015,Bailey,1-Lubbock,22
2015,Bandera,8-San Antonio,41
2015,Bastrop,7-Austin,294
2015,Baylor,2-Abilene,4
2015,Bee,11-Edinburg,174
2015,Bell,7-Austin,1045
2015,Bexar,8-San Antonio,5002
2015,Blanco,7-Austin,16
2015,Bosque,7-Austin,64
2015,Bowie,4-Tyler,207
2015,Brazoria,6-Houston,256
2015,Brazos,7-Austin,128
2015,Brewster,10-El Paso,3
2015,Briscoe,1-Lubbock,5
2015,Brooks,11-Edinburg,19
2015,Brown,2-Abilene,160
2015,Burleson,7-Austin,59
2015,Burnet,7-Austin,126
2015,Caldwell,7-Austin,137
2015,Calhoun,8-San Antonio,51
2015,Callahan,2-Abilene,20
2015,Cameron,11-Edinburg,684
2015,Camp,4-Tyler,46
2015,Carson,1-Lubbock,11
2015,Cass,4-Tyler,86
2015,Castro,1-Lubbock,24
2015,Chambers,6-Houston,52
2015,Cherokee,4-Tyler,195
2015,Childress,1-Lubbock,8
2015,Clay,2-Abilene,8
2015,Cochran,1-Lubbock,2
2015,Coke,9-Midland,7
2015,Coleman,2-Abilene,22
2015,Collin,3-Arlington,541
2015,Collingsworth,1-Lubbock,10
2015,Colorado,6-Houston,23
2015,Comal,8-San Antonio,411
2015,Comanche,2-Abilene,17
2015,Concho,9-Midland,2
2015,Cooke,3-Arlington,128
2015,Coryell,7-Austin,200
2015,Cottle,2-Abilene,3
2015,Crane,9-Midland,3
2015,Crockett,9-Midland,17
2015,Crosby,1-Lubbock,35
2015,Culberson,10-El Paso,4
2015,Dallam,1-Lubbock,21
2015,Dallas,3-Arlington,4646
2015,Dawson,9-Midland,66
2015,DeWitt,8-San Antonio,70
2015,Deaf Smith,1-Lubbock,52
2015,Delta,4-Tyler,24
2015,Denton,3-Arlington,616
2015,Dickens,1-Lubbock,10
2015,Dimmit,8-San Antonio,71
2015,Donley,1-Lubbock,10
2015,Duval,11-Edinburg,41
2015,Eastland,2-Abilene,29
2015,Ector,9-Midland,457
2015,Edwards,8-San Antonio,5
2015,El Paso,10-El Paso,721
2015,Ellis,3-Arlington,146
2015,Erath,3-Arlington,48
2015,Falls,7-Austin,33
2015,Fannin,3-Arlington,50
2015,Fayette,7-Austin,57
2015,Fisher,2-Abilene,7
2015,Floyd,1-Lubbock,28
2015,Foard,2-Abilene,1
2015,Fort Bend,6-Houston,253
2015,Franklin,4-Tyler,29
2015,Freestone,7-Austin,34
2015,Frio,8-San Antonio,124
2015,Gaines,9-Midland,27
2015,Galveston,6-Houston,463
2015,Garza,1-Lubbock,26
2015,Gillespie,8-San Antonio,35
2015,Goliad,8-San Antonio,15
2015,Gonzales,8-San Antonio,57
2015,Gray,1-Lubbock,55
2015,Grayson,3-Arlington,279
2015,Gregg,4-Tyler,382
2015,Grimes,7-Austin,49
2015,Guadalupe,8-San Antonio,252
2015,Hale,1-Lubbock,120
2015,Hall,1-Lubbock,8
2015,Hamilton,7-Austin,12
2015,Hansford,1-Lubbock,24
2015,Hardeman,2-Abilene,7
2015,Hardin,5-Beaumont,61
2015,Harris,6-Houston,5910
2015,Harrison,4-Tyler,164
2015,Hartley,1-Lubbock,1
2015,Haskell,2-Abilene,9
2015,Hays,7-Austin,310
2015,Hemphill,1-Lubbock,18
2015,Henderson,4-Tyler,350
2015,Hidalgo,11-Edinburg,993
2015,Hill,7-Austin,121
2015,Hockley,1-Lubbock,65
2015,Hood,3-Arlington,157
2015,Hopkins,4-Tyler,104
2015,Houston,5-Beaumont,81
2015,Howard,9-Midland,136
2015,Hunt,3-Arlington,309
2015,Hutchinson,1-Lubbock,64
2015,Jack,2-Abilene,31
2015,Jackson,8-San Antonio,17
2015,Jasper,5-Beaumont,76
2015,Jefferson,5-Beaumont,379
2015,Jim Hogg,11-Edinburg,7
2015,Jim Wells,11-Edinburg,103
2015,Johnson,3-Arlington,437
2015,Jones,2-Abilene,22
2015,Karnes,8-San Antonio,78
2015,Kaufman,3-Arlington,142
2015,Kendall,8-San Antonio,33
2015,Kerr,8-San Antonio,152
2015,Kimble,9-Midland,20
2015,Kleberg,11-Edinburg,86
2015,Knox,2-Abilene,5
2015,La Salle,8-San Antonio,21
2015,Lamar,4-Tyler,173
2015,Lamb,1-Lubbock,40
2015,Lampasas,7-Austin,68
2015,Lavaca,8-San Antonio,31
2015,Lee,7-Austin,53
2015,Leon,7-Austin,36
2015,Liberty,6-Houston,261
2015,Limestone,7-Austin,50
2015,Lipscomb,1-Lubbock,1
2015,Live Oak,11-Edinburg,49
2015,Llano,7-Austin,87
2015,Lubbock,1-Lubbock,1005
2015,Lynn,1-Lubbock,14
2015,Madison,7-Austin,24
2015,Marion,4-Tyler,26
2015,Mason,9-Midland,3
2015,Matagorda,6-Houston,61
2015,Maverick,8-San Antonio,31
2015,McCulloch,9-Midland,20
2015,McLennan,7-Austin,874
2015,McMullen,11-Edinburg,4
2015,Medina,8-San Antonio,170
2015,Menard,9-Midland,3
2015,Midland,9-Midland,185
2015,Milam,7-Austin,130
2015,Mills,7-Austin,16
2015,Mitchell,2-Abilene,10
2015,Montague,2-Abilene,70
2015,Montgomery,6-Houston,568
2015,Moore,1-Lubbock,29
2015,Morris,4-Tyler,28
2015,Motley,1-Lubbock,2
2015,Nacogdoches,5-Beaumont,177
2015,Navarro,3-Arlington,71
2015,Newton,5-Beaumont,24
2015,Nolan,2-Abilene,42
2015,Nueces,11-Edinburg,682
2015,Ochiltree,1-Lubbock,12
2015,Oldham,1-Lubbock,1
2015,Orange,5-Beaumont,286
