"fips","Name","pov_perc_all","pov_perc_under_18","pov_perc_under_5","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","County","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","percent_comp"
48049,"Brown County",15.6,22.3,NA,1.5848,0.3108,21.1156,2.1442,4.8167,37924,156,150,3.8,"Brown County","38,923",29,74.5,"7",18,"51",131,21,54,"15",38.5,"30",77.1,"Micropolitan Statistical Area","Central",15220,"Brownwood, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,0.942857142857143
48051,"Burleson County",13.1,19.9,NA,2.0416,0,16.2596,2.4061,2.479,18389,62,63,3.3,"Burleson County","17,718",1,5.6,"0",0,"0",0,0,0,"0",0,"4",22.6,"Metropolitan Statistical Area","Outlying",17780,"College Station-Bryan, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.942857142857143
48053,"Burnet County",9.5,16.4,NA,2.021,NA,15.9783,3.9283,1.7936,47542,428,452,2.7,"Burnet County","48,196",19,39.4,"10",20.7,"26",53.9,4,8.3,"7",14.5,"45",93.4,NA,NA,NA,NA,NA,6,"TX",6,4,0.771428571428571
48055,"Caldwell County",12.7,18.6,NA,2.324,NA,17.9245,3.9577,3.1753,43247,194,100,3.2,"Caldwell County","44,284",12,27.1,"13",29.4,"19",42.9,3,6.8,"9",20.3,"15",33.9,"Metropolitan Statistical Area","Outlying",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.914285714285714
48057,"Calhoun County",12.4,21.4,NA,1.8654,NA,18.4877,1.8321,3.1979,21561,56,32,3.3,"Calhoun County","22,840",0,0,"2",8.8,"10",43.8,1,4.4,"1",4.4,"16",70.1,"Micropolitan Statistical Area","Central",38920,"Port Lavaca, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,0.914285714285714
48059,"Callahan County",12.2,19,NA,1.8114,0,17.9749,2.7868,2.601,13994,6,5,3.3,"Callahan County","13,456",3,22.3,"2",14.9,"4",29.7,3,22.3,"2",14.9,"2",14.9,"Metropolitan Statistical Area","Outlying",10180,"Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.942857142857143
48061,"Cameron County",24.4,34.6,NA,2.2909,0.2913,20.3517,2.3376,3.6755,423908,1115,902,6.1,"Cameron County","427,881",59,13.8,"52",12.2,"212",49.5,77,18,"83",19.4,"254",59.4,"Metropolitan Statistical Area","Central",15180,"Brownsville-Harlingen, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,0.942857142857143
48063,"Camp County",16.7,24.8,NA,1.59,NA,14.5372,2.7257,3.7479,13033,26,10,4.1,"Camp County","13,322",3,22.5,"0",0,"5",37.5,2,15,"3",22.5,"12",90.1,"Micropolitan Statistical Area","Outlying",34420,"Mount Pleasant, TX","Micropolitan Statistical Area-Outlying",6,"TX",6,6,0.914285714285714
48065,"Carson County",8.3,10.7,NA,NA,NA,14.7668,2.8497,2.4611,6005,25,25,2.7,"Carson County","5,799",0,0,"0",0,"2",34.5,2,34.5,"0",0,"0",0,"Metropolitan Statistical Area","Outlying",11100,"Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,0.885714285714286
48067,"Cass County",17.7,25.6,NA,1.2934,NA,18.3946,3.2232,3.0179,30119,86,62,4.6,"Cass County","30,327",3,9.9,"4",13.2,"11",36.3,4,13.2,"3",9.9,"9",29.7,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48069,"Castro County",15.3,20.4,NA,1.812,0,11.0985,1.6988,1.6988,7665,18,11,2.5,"Castro County","7,103",1,14.1,"0",0,"2",28.2,2,28.2,"0",0,"4",56.3,NA,NA,NA,NA,NA,6,"TX",6,6,0.8
48071,"Chambers County",9.3,11,NA,1.1181,NA,17.0298,4.6732,1.9209,42454,98,40,5.9,"Chambers County","42,320",9,21.3,"2",4.7,"13",30.7,1,2.4,"2",4.7,"6",14.2,"Metropolitan Statistical Area","Central",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,0.914285714285714
48073,"Cherokee County",16.7,24.4,NA,1.6355,NA,19.264,3.3024,3.5383,52592,130,74,4.4,"Cherokee County","52,178",10,19.2,"9",17.2,"34",65.2,35,67.1,"4",7.7,"35",67.1,"Micropolitan Statistical Area","Central",27380,"Jacksonville, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,0.914285714285714
48075,"Childress County",21.4,24.1,NA,2.7685,0,14.5072,2.5471,1.9934,7291,60,65,2.9,"Childress County","7,062",0,0,"1",14.2,"3",42.5,1,14.2,"0",0,"10",141.6,NA,NA,NA,NA,NA,7,"TX",6,11,0.8
48077,"Clay County",11.1,14.6,NA,1.6446,0,20.6897,5.6233,1.9629,10456,20,21,3.4,"Clay County","9,787",2,20.4,"0",0,"5",51.1,2,20.4,"0",0,"5",51.1,"Metropolitan Statistical Area","Outlying",48660,"Wichita Falls, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.942857142857143
48079,"Cochran County",19.2,29.4,NA,NA,NA,14.0921,NA,NA,2836,3,1,4.8,"Cochran County","3,348",1,29.9,"0",0,"2",59.7,1,29.9,"0",0,"1",29.9,NA,NA,NA,NA,NA,9,"TX",6,10,0.685714285714286
48081,"Coke County",11.4,18,NA,NA,0,16.8831,3.4091,3.2468,3370,NA,NA,3.5,"Coke County","3,215",0,0,"0",0,"2",62.2,1,31.1,"2",62.2,"0",0,NA,NA,NA,NA,NA,8,"TX",6,7,0.714285714285714
48083,"Coleman County",16,28.1,NA,0.9709,NA,16.4509,1.5102,1.9417,8397,7,2,4.1,"Coleman County","8,478",2,23.6,"0",0,"1",11.8,2,23.6,"0",0,"4",47.2,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48085,"Collin County",6.2,6.7,NA,1.3896,0.1328,19.5319,2.2956,2.2434,1005146,1010,705,2.9,"Collin County","1,039,369",128,12.3,"276",26.6,"1,071",103,79,7.6,"364",35,"1,055",101.5,"Metropolitan Statistical Area","Central",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,0.942857142857143
48087,"Collingsworth County",16.9,25.5,NA,NA,0,14.7705,2.7944,2.5948,2962,10,4,2.7,"Collingsworth County","3,210",0,0,"0",0,"1",31.2,0,0,"0",0,"1",31.2,NA,NA,NA,NA,NA,9,"TX",6,10,0.771428571428571
48089,"Colorado County",12.7,18.4,NA,1.248,NA,14.6906,1.118,2.8861,21217,46,53,3.4,"Colorado County","21,273",6,28.2,"1",4.7,"4",18.8,2,9.4,"1",4.7,"20",94,NA,NA,NA,NA,NA,6,"TX",6,4,0.771428571428571
48091,"Comal County",7.5,9.4,NA,1.5732,0.1675,15.4022,2.5577,1.6341,148373,282,196,3.1,"Comal County","147,330",18,12.2,"52",35.3,"145",98.4,16,10.9,"56",38,"112",76,"Metropolitan Statistical Area","Central",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,0.942857142857143
48093,"Comanche County",15.9,24,NA,1.2505,NA,17.7413,1.3286,2.0711,13534,42,29,3,"Comanche County","13,075",4,30.6,"1",7.6,"5",38.2,9,68.8,"1",7.6,"12",91.8,NA,NA,NA,NA,NA,7,"TX",6,9,0.771428571428571
48095,"Concho County",13.5,20.9,NA,NA,0,16.7002,2.6157,2.8169,4276,14.02,8.34,2.6,"Concho County","4,147",0,0,"0",0,"0",0,0,0,"0",0,"1",24.1,NA,NA,NA,NA,NA,8,"TX",6,6,0.771428571428571
48097,"Cooke County",11.3,16.1,NA,1.6189,NA,16.4496,2.9959,2.3074,40574,70,38,3.1,"Cooke County","39,727",5,12.6,"3",7.6,"24",60.4,15,37.8,"2",5,"17",42.8,"Micropolitan Statistical Area","Central",23620,"Gainesville, TX","Micropolitan Statistical Area-Central",6,"TX",5,3,0.914285714285714
48099,"Coryell County",12.7,16.8,NA,2.5535,0.2461,20.12,4.9223,2.6611,74808,77,74,4.1,"Coryell County","78,317",28,35.8,"34",43.4,"62",79.2,11,14,"31",39.6,"21",26.8,"Metropolitan Statistical Area","Central",28660,"Killeen-Temple, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,0.942857142857143
48101,"Cottle County",17.9,31.7,NA,NA,0,11.5789,0,NA,1389,NA,NA,3,"Cottle County","1,510",0,0,"0",0,"0",0,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,12,0.685714285714286
48103,"Crane County",9,12.9,NA,2.9557,NA,19.2118,2.7094,3.9409,4794,12,3,6.3,"Crane County","6,209",0,0,"0",0,"0",0,0,0,"0",0,"2",32.2,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48105,"Crockett County",12.4,17.7,NA,NA,0,10.7724,NA,2.6423,3499,30,10,4.5,"Crockett County","4,040",0,0,"0",0,"1",24.8,0,0,"0",0,"1",24.8,NA,NA,NA,NA,NA,7,"TX",6,11,0.742857142857143
48107,"Crosby County",19.8,30.3,NA,2.2107,NA,17.6853,2.0806,3.1209,5779,8,10,3.6,"Crosby County","6,464",0,0,"0",0,"3",46.4,3,46.4,"1",15.5,"1",15.5,"Metropolitan Statistical Area","Outlying",31180,"Lubbock, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,0.914285714285714
48109,"Culberson County",18.6,29.4,NA,NA,0,12.3249,NA,NA,2204,10,0,2.9,"Culberson County","2,245",1,44.5,"1",44.5,"0",0,0,0,"0",0,"2",89.1,NA,NA,NA,NA,NA,9,"TX",6,12,0.714285714285714
48111,"Dallam County",11.1,16,NA,NA,0,9.2375,1.6129,2.0528,7200,17.9,10.85,1.8,"Dallam County","7,237",0,0,"0",0,"0",0,1,13.8,"0",0,"0",0,NA,NA,NA,NA,NA,7,"TX",6,11,0.771428571428571
48113,"Dallas County",13.7,20.1,NA,1.897,0.1674,19.7851,3.8785,3.1388,2637772,5210,4005,3.7,"Dallas County","2,734,111",505,18.5,"972",35.6,"2,535",92.7,307,11.2,"1,224",44.8,"2,424",88.7,"Metropolitan Statistical Area","Central",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,0.942857142857143
48115,"Dawson County",18.7,24.4,NA,1.0566,NA,12.3679,1.4916,1.9267,12619,39,20,4.6,"Dawson County","13,592",0,0,"2",14.7,"4",29.4,3,22.1,"2",14.7,"6",44.1,"Micropolitan Statistical Area","Central",29500,"Lamesa, TX","Micropolitan Statistical Area-Central",7,"TX",5,8,0.914285714285714
48117,"Deaf Smith County",15.5,22.6,NA,1.2848,0,11.4026,1.6595,1.9807,18760,73,41,2.5,"Deaf Smith County","18,143",0,0,"1",5.5,"6",33.1,8,44.1,"5",27.6,"6",33.1,"Micropolitan Statistical Area","Central",25820,"Hereford, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,0.942857142857143
48119,"Delta County",14.3,21.5,NA,NA,NA,15.8849,3.9446,3.9446,5349,17,6,3.6,"Delta County","5,367",0,0,"0",0,"3",55.9,0,0,"1",18.6,"0",0,NA,NA,NA,NA,NA,8,"TX",6,4,0.742857142857143
48121,"Denton County",6.9,7.6,NA,1.4876,0.2331,18.8744,2.7137,2.3043,859064,1188,781,2.9,"Denton County","897,953",146,16.3,"211",23.5,"941",104.8,89,9.9,"322",35.9,"496",55.2,"Metropolitan Statistical Area","Outlying",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.942857142857143
48123,"DeWitt County",20.5,27.6,NA,1.801,NA,16.1172,5.0061,2.8083,20187,115,60,3.1,"De Witt County","21,737",0,0,"3",13.8,"11",50.6,1,4.6,"6",27.6,"13",59.8,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48125,"Dickens County",18.9,27.7,NA,NA,0,15.7025,NA,NA,2249,371.02,211.88,3.4,"Dickens County","2,174",1,46,"0",0,"0",0,1,46,"0",0,"0",0,NA,NA,NA,NA,NA,8,"TX",6,7,0.714285714285714
48127,"Dimmit County",25.5,34.4,NA,2.1739,NA,16.7297,1.7013,2.4575,10308,66,64,3.7,"Dimmit County","11,743",0,0,"0",0,"2",17,1,8.5,"0",0,"7",59.6,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48129,"Donley County",16.3,24.8,NA,2.8939,0,17.0418,2.2508,5.1447,3319,12,9,2.8,"Donley County","3,410",0,0,"0",0,"0",0,2,58.7,"0",0,"1",29.3,NA,NA,NA,NA,NA,8,"TX",6,7,0.8
48131,"Duval County",20,32.1,NA,2.4096,0,20.8584,3.0873,3.991,11212,28,12,5.4,"Duval County","11,796",8,67.8,"0",0,"3",25.4,1,8.5,"1",8.5,"0",0,"Micropolitan Statistical Area","Outlying",10860,"Alice, TX","Micropolitan Statistical Area-Outlying",7,"TX",6,9,0.942857142857143
48133,"Eastland County",17,23.2,NA,0.9514,NA,16.4042,2.1654,2.395,18322,80,65,3.9,"Eastland County","18,205",8,43.9,"0",0,"12",65.9,7,38.5,"4",22,"9",49.4,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48135,"Ector County",13.6,17.9,NA,2.2335,0.1613,17.0376,2.0077,2.3464,162124,636,450,5.1,"Ector County","184,841",29,15.7,"9",4.9,"64",34.6,23,12.4,"8",4.3,"103",55.7,"Metropolitan Statistical Area","Central",36220,"Odessa, TX","Metropolitan Statistical Area-Central",3,"TX",4,2,0.942857142857143
48137,"Edwards County",19.1,31.8,NA,NA,0,11.5578,NA,NA,1928,8,1,2.8,"Edwards County","1,991",1,50.2,"0",0,"1",50.2,0,0,"0",0,"1",50.2,NA,NA,NA,NA,NA,9,"TX",6,12,0.714285714285714
48139,"Ellis County",7.9,11.1,NA,1.505,0.2041,20.6811,3.1631,2.6529,179436,465,460,3.1,"Ellis County","177,721",18,10.1,"28",15.8,"139",78.2,16,9,"60",33.8,"104",58.5,"Metropolitan Statistical Area","Central",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,0.942857142857143
48141,"El Paso County",17.6,22.7,NA,1.6697,0.2069,15.4533,2.0859,2.2174,840758,2330,1435,4.3,"El Paso County","876,120",158,18,"190",21.7,"502",57.3,141,16.1,"368",42,"512",58.4,"Metropolitan Statistical Area","Central",21340,"El Paso, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,0.942857142857143
48143,"Erath County",12.6,15.5,NA,0.9091,0.9313,17.6497,1.3304,2.439,42446,72,72,2.9,"Erath County","41,526",22,53,"5",12,"50",120.4,6,14.4,"17",40.9,"21",50.6,"Micropolitan Statistical Area","Central",44500,"Stephenville, TX","Micropolitan Statistical Area-Central",4,"TX",5,3,0.942857142857143
48145,"Falls County",20,25.2,NA,3.125,NA,19.0678,3.3898,3.072,17335,35,30,3.7,"Falls County","16,603",4,24.1,"4",24.1,"11",66.3,2,12,"2",12,"1",6,"Metropolitan Statistical Area","Outlying",47380,"Waco, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,0.914285714285714
48147,"Fannin County",15.4,17.5,NA,1.4551,0.2298,18.8589,4.0781,2.9102,35286,452,452,2.9,"Fannin County","34,597",4,11.6,"15",43.4,"13",37.6,12,34.7,"13",37.6,"10",28.9,"Micropolitan Statistical Area","Central",14300,"Bonham, TX","Micropolitan Statistical Area-Central",6,"TX",6,4,0.942857142857143
48149,"Fayette County",9.4,14.4,NA,1.5449,NA,15.7504,1.5851,2.5482,25349,27,12,3.1,"Fayette County","26,086",0,0,"0",0,"5",19.2,6,23,"4",15.3,"12",46,NA,NA,NA,NA,NA,6,"TX",6,4,0.771428571428571
48151,"Fisher County",13.3,17.6,NA,2.2624,0,18.4012,1.6591,NA,3839,7,5,3,"Fisher County","3,985",0,0,"0",0,"1",25.1,0,0,"1",25.1,"2",50.2,NA,NA,NA,NA,NA,8,"TX",6,7,0.771428571428571
48153,"Floyd County",17.7,29.5,NA,NA,0,15.6489,2.1628,1.7812,5837,NA,NA,3.9,"Floyd County","5,786",0,0,"0",0,"3",51.8,1,17.3,"1",17.3,"3",51.8,NA,NA,NA,NA,NA,6,"TX",6,6,0.714285714285714
48155,"Foard County",16.8,29.9,NA,NA,0,21.3439,7.5099,NA,1200,NA,NA,2.4,"Foard County","1,240",0,0,"0",0,"0",0,2,161.3,"1",80.6,"0",0,NA,NA,NA,NA,NA,9,"TX",6,10,0.685714285714286
48157,"Fort Bend County",7.4,9.4,NA,1.2157,0.2998,13.7463,1.7153,3.1333,787858,987,2847,4,"Fort Bend County","840,383",122,14.5,"175",20.8,"573",68.2,46,5.5,"256",30.5,"539",64.1,"Metropolitan Statistical Area","Central",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,0.942857142857143
48159,"Franklin County",12.9,20.4,NA,1.5532,0.7168,19.6535,2.7479,4.0024,10766,34,46,3,"Franklin County","10,924",2,18.3,"1",9.2,"3",27.5,1,9.2,"4",36.6,"3",27.5,NA,NA,NA,NA,NA,7,"TX",6,9,0.8
48161,"Freestone County",13.3,16.7,NA,1.6886,NA,18.5366,3.2645,2.7017,19808,56,47,5.5,"Freestone County","19,860",0,0,"0",0,"7",35.2,0,0,"1",5,"9",45.3,NA,NA,NA,NA,NA,7,"TX",6,9,0.771428571428571
48163,"Frio County",22.3,28.8,NA,2.2606,NA,13.8298,2.3936,4.7872,19816,348,48,3.3,"Frio County","20,023",0,0,"2",10,"3",15,0,0,"1",5,"10",49.9,"Micropolitan Statistical Area","Central",37770,"Pearsall, TX","Micropolitan Statistical Area-Central",6,"TX",6,4,0.914285714285714
48165,"Gaines County",11.1,19.8,NA,1.2295,NA,15.4372,1.776,1.571,20901,21,17,2.8,"Gaines County","22,121",1,4.5,"0",0,"3",13.6,1,4.5,"1",4.5,"8",36.2,NA,NA,NA,NA,NA,7,"TX",6,9,0.771428571428571
