"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","Temp_MH_Services_NewApp_2020","Ext_MH_Services_NewApp_2020","Modification_NewApp_2020","Auth_Meds_NewApp_2020","Temp_MH_Services_Hearing_2020","Ext_MH_Services_Hearing_2020","Modification_Hearing_2020","Auth_Meds_Hearing_2020","Temp_MH_Services_NewApp_2020_per100k","Ext_MH_Services_NewApp_2020_per100k","Modification_NewApp_2020_per100k","Auth_Meds_NewApp_2020_per100k","Temp_MH_Services_Hearing_2020_per100k","Ext_MH_Services_Hearing_2020_per100k","Modification_Hearing_2020_per100k","Auth_Meds_Hearing_2020_per100k","X2020.Psychiatrist.Total","Ratio.of.Psychiatrists.to.100.000.Population","Total Traffic Fatalities","Total Traffic Fatalities BAC gt 08","Percent Traffic Fatalities BAC gt 08","Traffic_Fatalities_per_100k","Total.number.of.waivered.providers","Patient.capacity","High.need.for.treatment.services","Low.to.no.patient.capacity","Frequent_Mental_Distress","Average_Bad_MH_Days","Deaths_Suicide","Suicide_Rate_AA","Perc_Food_Insecure","Perc_Limited_Acc_Healthy_Foods","Perc_Physically_Inactive","Perc_With_Acc_Exercise","Income_80th","Income_20th","Income_Ratio","Perc_Severe_Housing_Issues","Dev2019","I_35","percent_comp"
"48021","Bastrop","10.800000000000001","16.399999999999999",2.3939,,18.6427,3.6247,2.4277,86976,304,271,"     3.1",86105,"32",37.2,"24",27.9,"55",63.9,"8",9.3,"18",20.9,"25",29,"Metropolitan Statistical Area","Outlying","12420","Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,13.3,5.14318630678078,5.93523699802502,27.741950750351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,33,14,42,38.3253005051971,"4","330","No","Yes",14,4.4,75,17,12,6,32,46,125545,30478,4.1,16,1.642644753,"I-35 Corridor",0.974025974025974
"48023","Baylor","15.300000000000001","21.800000000000001",1.7949,,20.8974,4.2308,3.0769,3582,7.07,4.89,"     2.6",3624,"0",0,"0",0,"2",55.2,"1",27.6,"0",0,"6",165.6,,,,,,8,"TX",6,6,33.8,,6.40692640692641,21.9790354371071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,60,82.7814569536424,"1","100","No","No",15,4.7,,,16,1,29,85,83857,16978,4.9,6,0.526694479,"Non I-35 Corridor",0.87012987012987
"48025","Bee","23.100000000000001","26.100000000000001",2.6349,,18.6115,5.5207,2.6767,32587,98,70,"     6.3",34445,"5",14.5,"1",2.9,"12",34.8,"5",14.5,"3",8.7,"14",40.6,"Micropolitan Statistical Area","Central","13300","Beeville, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,14.1,12.8836924662608,6.18095146068863,23.7079069018364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,5.80635796196835,"0","0","No","Yes",14,4.4,36,21,17,11,37,46,91403,18274,5,21,1.209088152,"Non I-35 Corridor",0.974025974025974
"48027","Bell","14.699999999999999","21.399999999999999",2.4743,0.1624,19.3586,3.7321,2.73,355642,797,257,"     4.1",353629,"97",27.4,"204",57.7,"355",100.4,"70",19.8,"206",58.3,"304",86,"Metropolitan Statistical Area","Central","28660","Killeen-Temple, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,53.8,8.90335008781941,15.0299341421892,15.4006317257881,1166,0,0,141,1054,0,0,120,329.724089370498,0,0,39.8722955413725,298.052478727706,0,0,33.9338685458489,40,11.3,44,17,39,12.4424184668113,"24","1,140","No","Yes",14,4.4,314,18,15,11,30,79,104538,24926,4.2,15,5.476302291,"Non I-35 Corridor",0.987012987012987
"48029","Bexar","15","20.5",1.7822,0.2527,16.3502,3.1242,2.6771,1986049,3867,3657,"     3.6",2093502,"508",24.3,"730",34.9,"1,948",93,"181",8.6,"1,071",51.2,"1,714",81.9,"Metropolitan Statistical Area","Central","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,44.1,12.7903712890504,7.97288043142868,17.4580678343773,2101,22,7,228,4331,1,0,112,100.358155855595,1.0508707419434,0.334367963345629,10.8908422346862,206.878235607131,0.0477668519065184,0,5.34988741353006,223,10.7,179,76,43,8.55026649126679,"130","6,770","No","Yes",13,4.1,1242,13,14,10,29,87,115285,24725,4.7,18,19.53827631,"I-35 Corridor",0.987012987012987
"48031","Blanco","9.8000000000000007","14.6",2.0659,,14.0679,2.607,1.033,11702,24,11,"     2.5",11504,"3",26.1,"2",17.4,"6",52.2,"1",8.7,"3",26.1,"4",34.8,,,,,,8,"TX",6,4,7,26.3759451380341,8.95902936521892,21.7678442597389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,13,52.1557719054242,"0","0","No","Yes",14,4.4,17,28,13,1,27,34,122750,28287,4.3,13,0.638764557,"I-35 Corridor",0.909090909090909
"48033","Borden","7.5","8.5",,0,,0,,648,1.61,0.45,"     2.0",685,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,,,,,,8,"TX",6,7,,,8.71632329635499,24.1987973451614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,33,875.912408759124,"0","0","No","Yes",12,4,,,13,15,22,1,136938,38000,3.6,5,0.251918669,"Non I-35 Corridor",0.831168831168831
"48035","Bosque","12.5","19.199999999999999",2.0747,,19.3983,2.2476,3.2503,18691,29,21,"     3.3",17765,"5",28.1,"1",5.6,"7",39.4,"4",22.5,"4",22.5,"12",67.5,,,,,,6,"TX",6,4,13.9,,7.98464491362764,20.4605266451836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,18,22.5161835068956,"0","0","No","Yes",16,4.8,16,18,17,10,31,24,106042,26847,3.9,13,0.792146942,"Non I-35 Corridor",0.896103896103896
"48037","Bowie","17.399999999999999","23.399999999999999",1.5431,0.1163,18.4166,3.1483,2.9777,94324,793,453,"     4.3",92570,"20",21.6,"16",17.3,"63",68.1,"14",15.1,"19",20.5,"109",117.7,"Metropolitan Statistical Area","Central","45500","Texarkana, TX-AR","Metropolitan Statistical Area-Central",3,"TX",4,2,104,3.22952213837426,7.80144897893275,20.0122356414795,49,0,0,3,43,0,0,0,52.9329156314141,0,0,3.24079075294372,46.4513341255266,0,0,0,6,6.5,10,1,12,10.8026358431457,"5","395","No","Yes",16,4.9,88,18,16,9,31,38,104363,18727,5.6,16,3.738186263,"Non I-35 Corridor",0.987012987012987
"48039","Brazoria","8.3000000000000007","10",1.6638,0.2216,16.4082,2.8522,2.6145,370200,894,521,"     4.8",375869,"66",17.6,"65",17.3,"210",55.9,"31",8.2,"86",22.9,"217",57.7,"Metropolitan Statistical Area","Central","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,27.9,5.37589609468028,5.26703419876301,18.9304128289223,7,1,0,0,4,1,0,0,1.86235097866544,0.266050139809348,0,0,1.06420055923739,0.266050139809348,0,0,16,4.3,48,20,41,12.7704067108487,"19","1,585","No","Yes",13,4,243,13,11,7,29,79,153477,36375,4.2,13,4.656036701,"Non I-35 Corridor",0.987012987012987
