"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","I_35","percent_comp"
"48027","Bell","14.699999999999999","21.399999999999999",2.4743,0.1624,19.3586,3.7321,2.73,355642,797,257,"     4.1","353,629","97",27.4,"204",57.7,"355",100.4,"70",19.8,"206",58.3,"304",86,"Metropolitan Statistical Area","Central","28660","Killeen-Temple, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,53.8,8.90335008781941,15.0299341421892,15.4006317257881,"Non I-35 Corridor",0.973684210526316
"48029","Bexar","15","20.5",1.7822,0.2527,16.3502,3.1242,2.6771,1986049,3867,3657,"     3.6","2,093,502","508",24.3,"730",34.9,"1,948",93,"181",8.6,"1,071",51.2,"1,714",81.9,"Metropolitan Statistical Area","Central","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,44.1,12.7903712890504,7.97288043142868,17.4580678343773,"I-35 Corridor",0.973684210526316
"48031","Blanco","9.8000000000000007","14.6",2.0659,NA,14.0679,2.607,1.033,11702,24,11,"     2.5","11,504","3",26.1,"2",17.4,"6",52.2,"1",8.7,"3",26.1,"4",34.8,NA,NA,NA,NA,NA,8,"TX",6,4,7,26.3759451380341,8.95902936521892,21.7678442597389,"I-35 Corridor",0.815789473684211
"48033","Borden","7.5","8.5",NA,0,NA,0,NA,648,1.61,0.45,"     2.0","685","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,NA,NA,NA,NA,NA,8,"TX",6,7,NA,NA,8.71632329635499,24.1987973451614,"Non I-35 Corridor",0.710526315789474
"48035","Bosque","12.5","19.199999999999999",2.0747,NA,19.3983,2.2476,3.2503,18691,29,21,"     3.3","17,765","5",28.1,"1",5.6,"7",39.4,"4",22.5,"4",22.5,"12",67.5,NA,NA,NA,NA,NA,6,"TX",6,4,13.9,NA,7.98464491362764,20.4605266451836,"Non I-35 Corridor",0.789473684210526
"48037","Bowie","17.399999999999999","23.399999999999999",1.5431,0.1163,18.4166,3.1483,2.9777,94324,793,453,"     4.3","92,570","20",21.6,"16",17.3,"63",68.1,"14",15.1,"19",20.5,"109",117.7,"Metropolitan Statistical Area","Central","45500","Texarkana, TX-AR","Metropolitan Statistical Area-Central",3,"TX",4,2,104,3.22952213837426,7.80144897893275,20.0122356414795,"Non I-35 Corridor",0.973684210526316
"48039","Brazoria","8.3000000000000007","10",1.6638,0.2216,16.4082,2.8522,2.6145,370200,894,521,"     4.8","375,869","66",17.6,"65",17.3,"210",55.9,"31",8.2,"86",22.9,"217",57.7,"Metropolitan Statistical Area","Central","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,27.9,5.37589609468028,5.26703419876301,18.9304128289223,"Non I-35 Corridor",0.973684210526316
"48041","Brazos","22.300000000000001","19.5",1.6265,0.1925,19.0002,2.3435,2.7352,226758,658,425,"     2.8","229,410","45",19.6,"24",10.5,"153",66.7,"27",11.8,"48",20.9,"224",97.6,"Metropolitan Statistical Area","Central","17780","College Station-Bryan, TX","Metropolitan Statistical Area-Central",3,"TX",4,2,39.7,14.9669230999491,4.05945717108048,14.7291049361229,"Non I-35 Corridor",0.973684210526316
"48043","Brewster","14","16.600000000000001",2.2777,NA,12.05,NA,1.543,9267,41,47,"     3.2","9,133","1",10.9,"1",10.9,"13",142.3,"1",10.9,"1",10.9,"12",131.4,NA,NA,NA,NA,NA,7,"TX",6,11,20.2,52.3779593547035,8.50618059920386,24.4458824396133,"Non I-35 Corridor",0.789473684210526
"48045","Briscoe","13.4","22.800000000000001",NA,0,14.8026,NA,NA,1516,NA,NA,"     3.1","1,568","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,12,0.2,NA,5.15679442508711,23.2821360230446,"Non I-35 Corridor",0.684210526315789
"48047","Brooks","28.699999999999999","45",2.0089,NA,22.7679,3.683,3.5714,7114,588,633,"     6.4","7,175","0",0,"0",0,"0",0,"0",0,"0",0,"1",13.9,NA,NA,NA,NA,NA,7,"TX",6,9,18.3,NA,3.94290559638214,22.7710723876953,"Non I-35 Corridor",0.789473684210526
"48049","Brown","15.6","22.300000000000001",1.5848,0.3108,21.1156,2.1442,4.8167,37924,156,150,"     3.8","38,923","29",74.5,"7",18,"51",131,"21",54,"15",38.5,"30",77.1,"Micropolitan Statistical Area","Central","15220","Brownwood, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,59.7,NA,7.79629872686704,27.9468238353729,"Non I-35 Corridor",0.947368421052632
